Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,39.790001,39.799999,39.099998,39.25,1509800,39.25
2016-04-01,39.200001,39.93,38.91,39.880001,1588600,39.880001
2016-03-31,39.66,39.919998,39.209999,39.450001,1561900,39.450001
2016-03-30,39.810001,40.48,39.59,39.77,1112100,39.77
2016-03-29,38.950001,39.490002,38.509998,39.400002,1522600,39.400002
2016-03-28,39.049999,39.490002,38.84,39.299999,1147400,39.299999
2016-03-24,39.27,39.27,38.360001,38.900002,2340500,38.900002
2016-03-23,40.630001,40.630001,39.560001,39.759998,1765800,39.759998
2016-03-22,40.549999,40.919998,40.419998,40.68,1639500,40.68
2016-03-21,41.32,41.619999,40.779999,41.220001,1202500,41.220001
2016-03-18,40.849998,41.68,40.84,41.43,2654000,41.43
2016-03-17,39.900002,40.950001,39.610001,40.66,1589400,40.66
2016-03-16,39.279999,40.09,39.169998,39.91,1608500,39.91
2016-03-15,39.32,39.490002,38.810001,39.349998,1184300,39.349998
2016-03-14,40.060001,40.150002,39.439999,39.799999,1182000,39.799999
2016-03-11,39.400002,40.400002,38.869999,40.360001,1613800,40.360001
2016-03-10,38.93,39.029999,37.689999,38.459999,1164500,38.459999
2016-03-09,38.580002,38.779999,37.779999,38.32,1529900,38.32
2016-03-08,38.82,39.34,37.880001,38.18,1610500,38.18
2016-03-07,38.970001,39.52,38.73,39.509998,1903000,39.509998
2016-03-04,39.27,39.57,38.869999,39.349998,1633600,39.349998
2016-03-03,39.09,39.209999,38.529999,39.099998,2093900,39.099998
2016-03-02,39.560001,39.84,39.169998,39.470001,1969900,39.090001
2016-03-01,38.209999,39.52,38.16,39.52,2113900,39.139518
2016-02-29,38.400002,38.529999,37.779999,37.810001,1929600,37.445983
2016-02-26,37.68,38.98,37.52,38.470001,2509200,38.099628
2016-02-25,37.209999,37.790001,37.07,37.740002,1589300,37.376657
2016-02-24,36.540001,37.509998,35.73,37.130001,1554400,36.772529
2016-02-23,37.290001,37.459999,36.830002,36.93,1474200,36.574454
2016-02-22,37.740002,37.740002,36.990002,37.380001,1594900,37.020122
2016-02-19,36.84,37.040001,36.419998,36.810001,1885500,36.45561
2016-02-18,37.66,37.689999,36.93,37.18,2091800,36.822047
2016-02-17,37.060001,37.720001,37.060001,37.560001,2828700,37.198389
2016-02-16,36.119999,36.52,35.549999,36.459999,3155600,36.108978
2016-02-12,35.169998,35.490002,34.599998,35.380001,3534400,35.039377
2016-02-11,34.779999,34.990002,33.720001,34.34,3184300,34.009389
2016-02-10,36.380001,36.970001,35.459999,36.009998,2167700,35.663309
2016-02-09,34.950001,36.25,34.950001,35.98,3126000,35.633599
2016-02-08,36.029999,36.18,35.259998,35.779999,3003100,35.435524
