Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,50.290001,50.990002,50.049999,50.16,636500,50.16
2016-04-01,49.029999,50.459999,48.970001,50.34,596800,50.34
2016-03-31,49.209999,49.91,48.990002,49.459999,681000,49.459999
2016-03-30,49.669998,49.91,49.220001,49.34,403000,49.34
2016-03-29,48.360001,49.389999,48.189999,49.330002,622900,49.330002
2016-03-28,48.560001,48.669998,47.799999,48.299999,696400,48.299999
2016-03-24,48.490002,48.709999,47.990002,48.419998,423700,48.419998
2016-03-23,48.790001,49.07,48.599998,48.650002,840200,48.650002
2016-03-22,48.099998,48.970001,47.990002,48.68,420600,48.68
2016-03-21,48.740002,48.98,48.439999,48.450001,451400,48.450001
2016-03-18,47.59,49.439999,47.470001,48.93,1368500,48.93
2016-03-17,48.00,48.130001,47.080002,47.509998,669300,47.509998
2016-03-16,47.610001,47.990002,47.23,47.950001,750900,47.950001
2016-03-15,48.110001,48.310001,47.580002,47.700001,615400,47.700001
2016-03-14,48.490002,48.75,48.110001,48.52,403400,48.52
2016-03-11,48.189999,48.73,47.77,48.709999,738200,48.709999
2016-03-10,48.02,48.23,47.299999,47.639999,702800,47.639999
2016-03-09,47.959999,48.029999,47.560001,47.790001,913500,47.790001
2016-03-08,48.650002,48.73,47.529999,47.630001,772600,47.630001
2016-03-07,48.490002,49.41,48.369999,48.869999,1021200,48.869999
2016-03-04,48.959999,49.240002,48.709999,48.82,739600,48.82
2016-03-03,49.200001,49.25,48.43,48.939999,883500,48.939999
2016-03-02,47.91,49.450001,47.720001,49.16,1669900,49.16
2016-03-01,47.310001,47.970001,47.27,47.959999,1430900,47.959999
2016-02-29,47.84,48.200001,47.259998,47.259998,937500,47.259998
2016-02-26,47.73,48.299999,47.650002,47.950001,1087500,47.950001
2016-02-25,47.279999,47.939999,47.119999,47.619999,915000,47.619999
2016-02-24,46.75,47.669998,46.59,47.369999,892600,47.369999
2016-02-23,47.540001,48.139999,47.00,47.200001,1013500,47.200001
2016-02-22,47.400002,47.990002,47.029999,47.790001,1200300,47.790001
2016-02-19,45.57,47.040001,45.43,46.970001,2934700,46.970001
2016-02-18,45.689999,46.57,45.490002,45.68,891500,45.68
2016-02-17,45.900002,46.259998,45.599998,45.700001,1239500,45.700001
2016-02-16,44.98,46.09,44.810001,45.669998,1181700,45.669998
2016-02-12,44.400002,44.59,43.59,44.41,1272000,44.41
2016-02-11,43.18,43.68,42.810001,43.41,1513900,43.41
2016-02-10,42.849998,44.970001,42.68,43.990002,1335700,43.990002
2016-02-09,40.91,43.189999,40.41,42.470001,1359200,42.470001
2016-02-08,42.650002,42.98,41.02,41.450001,1328800,41.450001
2016-02-05,42.459999,45.200001,39.50,43.259998,3341100,43.259998
2016-02-04,46.709999,47.43,46.18,46.580002,1117300,46.580002
2016-02-03,47.709999,47.709999,45.75,46.799999,1043700,46.799999
2016-02-02,47.68,47.93,47.18,47.529999,675900,47.529999
2016-02-01,48.110001,48.509998,47.279999,48.23,1583400,48.23
2016-01-29,47.169998,48.34,47.060001,48.32,1190900,48.32
2016-01-28,48.59,48.59,46.599998,46.970001,1033200,46.970001
2016-01-27,48.849998,49.650002,48.220001,48.610001,872700,48.610001
2016-01-26,48.509998,48.970001,47.799999,48.93,613100,48.93
2016-01-25,48.849998,49.130001,48.240002,48.389999,462700,48.389999
2016-01-22,48.119999,49.150002,47.75,49.130001,717500,49.130001
2016-01-21,48.209999,48.240002,47.27,47.52,638600,47.52
2016-01-20,47.00,48.68,46.57,48.16,1032900,48.16
2016-01-19,48.119999,48.119999,46.919998,47.77,622800,47.77
2016-01-15,46.779999,47.50,46.779999,47.41,881100,47.41
2016-01-14,47.360001,48.490002,47.040001,48.099998,765800,48.099998
2016-01-13,48.669998,48.759998,46.84,47.09,538600,47.09
2016-01-12,48.169998,48.68,47.75,48.549999,733400,48.479998
2016-01-11,49.549999,49.759998,47.25,47.75,1677300,47.681152
2016-01-08,50.27,50.75,49.27,49.32,866700,49.248888
2016-01-07,51.00,51.41,49.849998,50.060001,847800,49.987823
2016-01-06,52.099998,52.860001,52.02,52.25,2087800,52.174664
2016-01-05,52.720001,53.259998,52.490002,53.009998,726200,52.933567
2016-01-04,52.790001,52.810001,51.720001,52.43,911500,52.354405
2015-12-31,53.779999,54.259998,53.560001,53.57,498900,53.492761
