Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,99.959999,100.480003,99.470001,100.360001,4173500,100.360001
2016-04-01,97.769997,99.830002,97.550003,99.75,4176700,99.75
2016-03-31,98.529999,99.010002,98.010002,98.110001,4246600,98.110001
2016-03-30,99.029999,99.529999,98.639999,98.690002,3384200,98.690002
2016-03-29,98.019997,98.889999,97.370003,98.860001,4819300,98.860001
2016-03-28,97.860001,98.209999,97.419998,97.860001,3206800,97.860001
2016-03-24,97.040001,97.599998,96.660004,97.57,3674800,97.57
2016-03-23,96.739998,97.290001,96.279999,97.07,3028900,97.07
2016-03-22,97.339996,97.690002,96.43,96.739998,3655200,96.739998
2016-03-21,98.080002,98.82,97.760002,98.589996,3784300,97.569996
2016-03-18,99.029999,99.239998,97.919998,98.169998,9472700,97.154344
2016-03-17,97.290001,99.330002,97.290001,98.900002,7378200,97.876794
2016-03-16,96.410004,97.360001,95.650002,97.18,3936900,96.174588
2016-03-15,95.910004,96.699997,95.800003,96.440002,5039700,95.442246
2016-03-14,96.580002,97.129997,96.00,96.440002,4625300,95.442246
2016-03-11,96.989998,97.150002,96.059998,96.489998,7202800,95.491724
2016-03-10,95.989998,96.879997,95.75,96.839996,5428700,95.838102
2016-03-09,94.870003,96.07,94.660004,96.010002,6544300,95.016695
2016-03-08,94.07,94.790001,93.760002,94.449997,5455200,93.472829
2016-03-07,94.019997,94.190002,93.099998,93.900002,4888800,92.928524
2016-03-04,93.290001,94.910004,93.25,94.489998,5729300,93.512416
2016-03-03,91.540001,93.290001,91.309998,93.260002,4144100,92.295146
2016-03-02,91.290001,91.889999,90.790001,91.559998,3258500,90.612729
2016-03-01,91.599998,91.730003,91.019997,91.540001,4489800,90.592939
2016-02-29,91.00,91.769997,90.480003,91.029999,4697700,90.088214
2016-02-26,92.540001,92.870003,91.110001,91.449997,4025100,90.503867
2016-02-25,91.529999,92.480003,91.360001,92.449997,3146400,91.493521
2016-02-24,91.849998,91.910004,90.699997,91.459999,4534100,90.513765
2016-02-23,92.419998,92.790001,91.800003,92.050003,3590000,91.097665
2016-02-22,92.339996,92.849998,92.019997,92.540001,3796800,91.582594
2016-02-19,91.580002,92.190002,90.779999,91.940002,4121500,90.988803
2016-02-18,91.139999,91.82,91.07,91.650002,5886200,90.701802
2016-02-17,90.059998,92.190002,89.760002,91.230003,6288600,90.286149
2016-02-16,89.50,90.339996,88.599998,90.120003,4482900,89.187632
2016-02-12,89.029999,89.50,88.25,89.059998,4930400,88.138594
2016-02-11,88.150002,88.75,87.50,88.339996,4181200,87.426042
2016-02-10,90.25,90.389999,89.040001,89.230003,3730600,88.306841
