Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,75.599998,75.809998,74.879997,75.370003,603900,75.370003
2016-04-01,75.019997,75.57,74.720001,75.489998,716100,75.489998
2016-03-31,74.68,75.150002,74.489998,75.07,857600,75.07
2016-03-30,74.57,74.839996,74.07,74.690002,541800,74.690002
2016-03-29,73.599998,74.690002,73.43,74.639999,628600,74.639999
2016-03-28,73.559998,74.080002,73.160004,73.43,375100,73.43
2016-03-24,73.040001,73.699997,72.720001,73.489998,553400,73.489998
2016-03-23,72.540001,73.529999,72.239998,73.290001,526000,73.290001
2016-03-22,72.93,73.339996,72.470001,72.629997,779200,72.629997
2016-03-21,72.440002,73.080002,71.75,72.860001,541500,72.860001
2016-03-18,73.529999,73.529999,72.589996,72.699997,1649700,72.699997
2016-03-17,72.550003,73.50,72.260002,73.389999,784600,73.389999
2016-03-16,71.550003,72.620003,70.849998,72.510002,487700,72.510002
2016-03-15,71.330002,71.989998,71.330002,71.82,505800,71.82
2016-03-14,71.00,71.769997,70.449997,71.50,848900,71.50
2016-03-11,71.610001,71.919998,70.900002,71.18,828900,71.18
2016-03-10,70.739998,71.809998,69.910004,71.370003,1779400,71.370003
2016-03-09,69.940002,70.949997,69.800003,70.739998,987500,70.739998
2016-03-08,69.360001,70.279999,68.959999,70.120003,1022600,70.120003
2016-03-07,68.889999,69.599998,68.769997,69.18,769700,69.18
2016-03-04,68.080002,69.330002,67.800003,69.00,1049000,69.00
2016-03-03,68.589996,68.589996,67.550003,68.480003,976100,68.480003
2016-03-02,67.720001,68.50,66.349998,68.489998,1098100,68.489998
2016-03-01,69.199997,69.440002,67.830002,67.919998,1560800,67.919998
2016-02-29,68.410004,69.260002,67.900002,68.830002,1325100,68.830002
2016-02-26,70.709999,70.790001,68.489998,68.540001,1386700,68.540001
2016-02-25,70.550003,71.400002,70.120003,71.209999,692000,71.209999
2016-02-24,69.900002,70.540001,69.32,70.150002,880000,70.150002
2016-02-23,69.169998,70.07,68.519997,69.889999,675900,69.889999
2016-02-22,68.93,69.849998,68.32,69.550003,1175500,69.550003
2016-02-19,67.540001,68.650002,66.620003,68.25,1943200,68.25
2016-02-18,66.940002,68.019997,66.559998,67.470001,1542600,67.470001
2016-02-17,67.18,67.18,66.220001,66.830002,975700,66.830002
2016-02-16,67.349998,67.440002,66.669998,67.25,853600,67.25
2016-02-12,67.440002,67.910004,66.419998,67.220001,908900,67.220001
2016-02-11,68.43,68.989998,67.540001,67.580002,821400,67.580002
2016-02-10,68.349998,69.25,67.510002,68.75,935000,68.75
