Date,Open,High,Low,Close,Volume,Adj Close
2016-03-24,26.93,26.93,26.93,26.93,000,26.93
2016-03-23,21.360001,27.219999,21.24,26.93,33248100,26.93
2016-03-22,21.91,22.02,21.120001,21.24,8660900,21.24
2016-03-21,22.00,22.059999,21.76,21.969999,3610500,21.969999
2016-03-18,21.83,22.129999,21.809999,21.969999,4023500,21.969999
2016-03-17,22.01,22.02,21.559999,21.870001,4680400,21.870001
2016-03-16,21.90,22.10,21.620001,22.00,3655400,22.00
2016-03-15,22.110001,22.40,21.90,21.940001,3207000,21.940001
2016-03-14,22.049999,22.530001,21.76,22.219999,5587500,22.219999
2016-03-11,24.209999,24.940001,22.049999,22.07,16605800,22.07
2016-03-10,23.90,24.370001,23.889999,24.25,2042900,24.25
2016-03-09,23.99,24.00,23.67,23.889999,3901800,23.889999
2016-03-08,24.09,24.379999,23.809999,23.99,3195000,23.99
2016-03-07,24.41,25.24,23.90,24.18,7116400,24.18
2016-03-04,23.26,24.58,23.190001,24.42,6697200,24.42
2016-03-03,23.549999,23.59,22.76,23.190001,7885300,23.190001
2016-03-02,23.00,23.84,22.940001,23.66,7648800,23.66
2016-03-01,26.280001,26.370001,22.01,22.809999,27506900,22.809999
2016-02-29,26.57,26.65,26.01,26.18,5823100,26.18
2016-02-26,26.50,27.129999,24.02,26.60,20338200,26.60
2016-02-25,26.549999,26.620001,26.23,26.52,5608000,26.52
2016-02-24,26.43,26.860001,26.43,26.530001,3802600,26.530001
2016-02-23,26.50,26.57,26.34,26.48,2107500,26.48
2016-02-22,26.50,26.549999,26.43,26.549999,1399900,26.549999
2016-02-19,26.700001,26.700001,26.389999,26.42,1870800,26.42
2016-02-18,26.440001,26.74,26.370001,26.690001,2393500,26.690001
2016-02-17,26.690001,26.690001,26.33,26.389999,2637500,26.389999
2016-02-16,26.68,26.690001,26.49,26.639999,943500,26.639999
2016-02-12,26.27,26.709999,26.209999,26.59,2491100,26.59
2016-02-11,26.32,26.440001,26.23,26.32,2170300,26.32
2016-02-10,26.15,26.440001,26.15,26.34,1305500,26.34
2016-02-09,26.43,26.58,25.73,26.200001,3668300,26.200001
2016-02-08,26.620001,26.67,26.40,26.43,1419000,26.43
2016-02-05,26.700001,26.700001,26.58,26.59,2520500,26.59
2016-02-04,26.639999,26.76,26.57,26.700001,1406600,26.700001
2016-02-03,26.49,26.75,26.49,26.639999,2601200,26.639999
2016-02-02,26.719999,26.77,26.620001,26.68,1631200,26.68
2016-02-01,26.690001,26.76,26.620001,26.74,1261800,26.74
2016-01-29,26.66,26.76,26.59,26.68,1650100,26.68
2016-01-28,26.530001,26.799999,26.459999,26.620001,1624100,26.620001
2016-01-27,26.450001,26.60,26.280001,26.530001,1498900,26.530001
2016-01-26,26.309999,26.57,26.27,26.50,1348800,26.50
2016-01-25,26.299999,26.389999,26.25,26.34,1770800,26.34
2016-01-22,26.309999,26.360001,26.209999,26.26,2394700,26.26
2016-01-21,26.24,26.40,26.17,26.25,1688900,26.25
2016-01-20,26.10,26.379999,26.07,26.24,1776500,26.24
2016-01-19,26.18,26.25,26.120001,26.190001,1470000,26.190001
2016-01-15,26.01,26.23,26.00,26.17,1531700,26.17
2016-01-14,26.23,26.59,26.040001,26.139999,4020400,26.139999
2016-01-13,26.290001,26.32,26.129999,26.219999,2757300,26.219999
2016-01-12,26.26,26.370001,26.07,26.17,1766800,26.17
2016-01-11,25.85,26.41,25.85,26.27,2592800,26.27
2016-01-08,25.620001,26.040001,25.60,25.75,2180500,25.75
2016-01-07,25.66,25.809999,25.59,25.620001,1741900,25.620001
2016-01-06,25.860001,25.92,25.75,25.799999,1200700,25.799999
2016-01-05,25.98,26.110001,25.860001,25.950001,1025900,25.950001
2016-01-04,25.90,26.110001,25.780001,25.90,1706100,25.90
2015-12-31,26.24,26.24,25.940001,26.01,903200,26.01
2015-12-30,26.17,26.27,25.91,26.17,987800,26.17
2015-12-29,26.23,26.32,26.10,26.16,832000,26.16
2015-12-28,26.190001,26.32,26.17,26.219999,656900,26.219999
2015-12-24,26.24,26.280001,26.18,26.200001,239900,26.200001
2015-12-23,26.209999,26.290001,26.129999,26.26,559800,26.26
2015-12-22,25.93,26.219999,25.780001,26.139999,1090400,26.139999
2015-12-21,25.690001,25.91,25.50,25.860001,1229400,25.860001
2015-12-18,26.280001,26.280001,25.84,25.84,2786800,25.84
2015-12-17,26.48,26.50,26.26,26.280001,757400,26.280001
2015-12-16,26.299999,26.50,26.24,26.450001,931600,26.450001
2015-12-15,26.379999,26.50,26.209999,26.25,749800,26.25
2015-12-14,26.200001,26.42,26.030001,26.35,1138400,26.35
2015-12-11,25.98,26.309999,25.940001,26.139999,1004100,26.139999
2015-12-10,26.219999,26.34,26.10,26.139999,1593700,26.139999
2015-12-09,26.190001,26.42,26.139999,26.309999,1768900,26.309999
2015-12-08,26.110001,26.26,25.940001,26.190001,849200,26.190001
2015-12-07,26.25,26.58,26.23,26.459999,2396200,26.189999
2015-12-04,26.129999,26.27,26.040001,26.24,1436200,25.972245
2015-12-03,26.08,26.290001,25.99,26.08,1784800,25.813878
2015-12-02,26.15,26.15,25.74,26.08,1914100,25.813878
2015-12-01,25.82,26.110001,25.74,26.07,1535600,25.803979
2015-11-30,25.389999,25.690001,25.27,25.67,9025100,25.408061
2015-11-27,25.68,25.74,25.25,25.27,1564300,25.012143
2015-11-25,25.709999,25.809999,25.540001,25.629999,1870600,25.368469
2015-11-24,25.809999,25.860001,25.59,25.67,2210100,25.408061
2015-11-23,25.99,26.17,25.77,25.889999,1747000,25.625816
2015-11-20,26.02,26.139999,25.68,25.950001,2734800,25.685205
2015-11-19,26.17,26.200001,25.92,25.940001,1406400,25.675307
2015-11-18,25.860001,26.209999,25.860001,26.200001,1353900,25.932654
2015-11-17,26.32,26.42,25.889999,25.940001,1778100,25.675307
2015-11-16,26.360001,26.50,26.16,26.40,1049400,26.130612
2015-11-13,26.299999,26.549999,26.280001,26.440001,1312800,26.170205
2015-11-12,26.280001,26.49,26.27,26.299999,1085500,26.031632
2015-11-11,26.50,26.58,26.450001,26.50,668500,26.229592
2015-11-10,26.540001,26.60,26.450001,26.50,922700,26.229592
2015-11-09,26.50,26.639999,26.389999,26.59,1716500,26.318674
2015-11-06,26.65,26.68,26.459999,26.540001,1195000,26.269185
2015-11-05,26.68,26.700001,26.59,26.67,636100,26.397857
2015-11-04,26.58,26.700001,26.540001,26.68,638400,26.407756
2015-11-03,26.639999,26.709999,26.57,26.629999,958200,26.358265
2015-11-02,26.59,26.709999,26.549999,26.639999,733200,26.368163
2015-10-30,26.58,26.690001,26.549999,26.629999,1186900,26.358265
2015-10-29,26.51,26.67,26.35,26.60,843100,26.328572
2015-10-28,25.940001,26.889999,25.450001,26.620001,6176600,26.348368
2015-10-27,26.25,26.299999,25.879999,25.950001,2011900,25.685205
2015-10-26,26.299999,26.41,26.23,26.27,1016900,26.001939
2015-10-23,26.469999,26.57,26.33,26.389999,2096300,26.120714
2015-10-22,26.469999,26.719999,26.41,26.49,1414800,26.219694
2015-10-21,26.50,26.639999,26.459999,26.48,1564600,26.209796
2015-10-20,26.43,26.58,26.41,26.52,1101600,26.249388
2015-10-19,26.26,26.48,26.26,26.43,1146800,26.160307
2015-10-16,26.59,26.610001,26.40,26.48,1542200,26.209796
2015-10-15,26.40,26.610001,26.40,26.51,1959400,26.23949
2015-10-14,26.40,26.51,26.389999,26.40,1406600,26.130612
2015-10-13,26.459999,26.549999,26.41,26.41,2187700,26.14051
2015-10-12,26.450001,26.530001,26.43,26.43,1755500,26.160307
2015-10-09,26.42,26.60,26.42,26.49,3104600,26.219694
2015-10-08,26.389999,26.549999,26.32,26.48,3802100,26.209796
2015-10-07,26.35,26.60,26.24,26.379999,6259800,26.110816
2015-10-06,25.34,26.969999,25.25,26.219999,4655500,25.952448
2015-10-05,25.559999,25.75,25.08,25.41,3053800,25.150714
