Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,38.240002,38.299999,37.779999,38.029999,2377100,38.029999
2016-04-01,38.099998,38.23,37.630001,38.189999,3563900,38.189999
2016-03-31,37.66,38.09,37.57,38.07,4771300,38.07
2016-03-30,37.73,37.849998,37.459999,37.700001,2157500,37.700001
2016-03-29,37.279999,37.610001,37.110001,37.599998,3043800,37.599998
2016-03-28,37.259998,37.439999,36.959999,37.169998,1637300,37.169998
2016-03-24,37.060001,37.310001,36.880001,37.189999,2370600,37.189999
2016-03-23,36.970001,37.240002,36.73,37.060001,4755500,37.060001
2016-03-22,37.25,37.360001,36.959999,37.009998,4790100,37.009998
2016-03-21,37.169998,37.43,36.799999,37.189999,3283500,37.189999
2016-03-18,37.439999,37.669998,37.029999,37.060001,7419500,37.060001
2016-03-17,36.900002,37.68,36.779999,37.57,5114600,37.57
2016-03-16,36.509998,36.98,36.139999,36.93,3350100,36.93
2016-03-15,36.220001,36.630001,36.189999,36.509998,2622300,36.509998
2016-03-14,36.450001,36.669998,36.189999,36.360001,2694900,36.360001
2016-03-11,36.580002,36.77,36.389999,36.560001,3437700,36.560001
2016-03-10,36.450001,36.59,36.139999,36.549999,4777500,36.549999
2016-03-09,36.00,36.599998,36.00,36.459999,4374100,36.459999
2016-03-08,35.669998,36.07,35.509998,35.959999,3934100,35.959999
2016-03-07,35.669998,36.18,35.509998,36.060001,5442600,35.680002
2016-03-04,35.009998,35.91,34.82,35.669998,4531900,35.294108
2016-03-03,35.029999,35.27,34.57,35.259998,4235600,34.888429
2016-03-02,34.700001,34.939999,34.00,34.919998,5463700,34.552012
2016-03-01,35.220001,35.32,34.610001,34.830002,6173700,34.462964
2016-02-29,34.82,35.59,34.639999,34.990002,6843900,34.621278
2016-02-26,36.169998,36.299999,34.75,34.82,9262600,34.453067
2016-02-25,36.07,36.369999,35.759998,36.349998,5827700,35.966943
2016-02-24,36.00,36.169998,35.419998,35.93,6767300,35.551371
2016-02-23,36.00,36.360001,35.900002,36.07,3031300,35.689895
2016-02-22,36.279999,36.349998,35.50,36.00,6808600,35.620633
2016-02-19,36.509998,36.529999,36.060001,36.259998,5287300,35.877891
2016-02-18,36.060001,36.650002,35.93,36.52,3729100,36.135153
2016-02-17,36.099998,36.200001,35.790001,35.990002,3542300,35.61074
2016-02-16,35.91,36.25,35.599998,36.029999,4805500,35.650315
2016-02-12,35.950001,36.049999,35.529999,35.740002,4590800,35.363374
2016-02-11,36.099998,36.349998,35.810001,35.900002,4446700,35.521688
2016-02-10,36.02,36.470001,35.610001,36.27,4498000,35.887788
2016-02-09,35.970001,36.549999,35.75,36.130001,5172200,35.749264
2016-02-08,35.77,36.41,35.619999,35.990002,5847800,35.61074
2016-02-05,36.32,36.549999,35.849998,36.16,7619500,35.778946
2016-02-04,36.369999,37.23,35.900002,36.66,8225200,36.273677
2016-02-03,36.470001,37.049999,36.360001,36.689999,7882000,36.30336
2016-02-02,35.57,36.57,35.52,36.369999,8670800,35.986733
2016-02-01,35.150002,36.099998,35.080002,35.919998,10278200,35.541474
2016-01-29,34.689999,35.150002,34.50,35.060001,5248900,34.69054
2016-01-28,33.84,34.549999,33.599998,34.32,3880700,33.958336
2016-01-27,33.709999,34.110001,33.540001,33.84,3901000,33.483395
2016-01-26,33.799999,34.290001,33.66,33.830002,4058200,33.473502
2016-01-25,33.98,34.169998,33.709999,33.759998,4359600,33.404236
2016-01-22,33.459999,34.099998,33.240002,34.009998,4789700,33.651602
2016-01-21,32.900002,33.310001,32.619999,33.23,5108800,32.879822
2016-01-20,33.400002,33.549999,32.18,32.799999,8371500,32.454353
2016-01-19,33.549999,33.759998,33.259998,33.630001,6161400,33.275609
2016-01-15,33.610001,33.990002,32.970001,33.290001,6194400,32.939191
2016-01-14,33.549999,34.41,33.23,34.16,6294400,33.800022
2016-01-13,33.619999,33.849998,33.400002,33.50,4977500,33.146978
2016-01-12,33.990002,33.990002,33.259998,33.549999,5806400,33.19645
2016-01-11,33.59,34.009998,33.450001,33.889999,5937800,33.532867
2016-01-08,33.57,33.82,33.330002,33.389999,5717700,33.038136
2016-01-07,33.669998,33.830002,33.419998,33.540001,3897700,33.186557
2016-01-06,33.77,34.130001,33.639999,33.93,4119100,33.572447
2016-01-05,33.689999,34.099998,33.23,34.040001,5068800,33.681288
2016-01-04,33.900002,33.93,33.369999,33.68,5092500,33.325081
2015-12-31,34.389999,34.389999,33.75,34.130001,3044700,33.77034
2015-12-30,34.450001,34.470001,34.16,34.34,2568000,33.978126
2015-12-29,34.34,34.48,34.240002,34.439999,2857900,34.077071
2015-12-28,34.110001,34.299999,34.02,34.139999,2733700,33.780233
2015-12-24,34.16,34.419998,34.099998,34.259998,1269100,33.898967
2015-12-23,33.970001,34.400002,33.950001,34.240002,3840100,33.879181
2015-12-22,33.48,33.91,33.150002,33.810001,4702900,33.453712
2015-12-21,33.73,33.84,33.27,33.380001,3737400,33.028243
2015-12-18,33.830002,33.860001,33.240002,33.639999,6779600,33.285502
2015-12-17,33.810001,34.099998,33.549999,33.919998,3339300,33.56255
2015-12-16,33.389999,33.91,33.349998,33.830002,5380100,33.473502
2015-12-15,32.869999,33.349998,32.810001,33.259998,3940400,32.909505
2015-12-14,32.650002,32.889999,32.360001,32.77,4005900,32.424671
2015-12-11,32.73,33.02,32.57,32.709999,3855300,32.365302
2015-12-10,33.360001,33.41,32.869999,32.93,3079900,32.582985
2015-12-09,32.970001,33.68,32.939999,33.43,4937000,33.077716
2015-12-08,33.119999,33.220001,32.950001,33.110001,4660100,32.761088
2015-12-07,33.619999,33.799999,33.27,33.57,6527100,32.842222
2015-12-04,33.139999,33.799999,33.139999,33.740002,5228700,33.008539
2015-12-03,33.02,33.18,32.849998,33.009998,5776500,32.294361
2015-12-02,34.040001,34.150002,33.09,33.18,5805800,32.460678
2015-12-01,34.200001,34.34,33.82,34.200001,7239000,33.458565
2015-11-30,33.720001,34.310001,33.639999,34.040001,6453100,33.302034
2015-11-27,33.650002,33.790001,33.580002,33.650002,2026400,32.92049
2015-11-25,33.91,33.93,33.419998,33.650002,3172800,32.92049
2015-11-24,33.779999,33.98,33.48,33.93,4136200,33.194418
2015-11-23,34.93,35.00,33.849998,33.970001,4436600,33.233552
2015-11-20,34.330002,34.799999,34.18,34.50,6515100,33.752061
2015-11-19,33.740002,34.169998,33.73,34.110001,4281100,33.370516
2015-11-18,33.400002,33.709999,33.00,33.619999,3662900,32.891137
2015-11-17,33.91,34.169998,33.25,33.369999,3353300,32.646557
2015-11-16,33.119999,34.040001,33.099998,34.029999,4382300,33.292249
2015-11-13,33.369999,33.700001,32.970001,33.060001,4640300,32.34328
2015-11-12,33.860001,34.290001,33.290001,33.310001,7406600,32.58786
2015-11-11,33.439999,34.049999,33.380001,33.990002,4481000,33.253119
2015-11-10,33.07,33.369999,33.040001,33.279999,3427700,32.558508
2015-11-09,32.990002,33.169998,32.619999,33.049999,3387100,32.333495
2015-11-06,33.610001,33.740002,32.779999,33.080002,6791700,32.362847
2015-11-05,34.459999,34.599998,34.220001,34.220001,2259000,33.478132
2015-11-04,34.290001,34.599998,34.27,34.52,3289400,33.771628
2015-11-03,34.099998,34.389999,33.889999,34.349998,3143000,33.605311
2015-11-02,34.330002,34.48,33.830002,34.150002,5790600,33.40965
2015-10-30,33.939999,34.48,33.82,34.400002,5514800,33.65423
2015-10-29,33.799999,33.93,33.00,33.790001,7157700,33.057454
