Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,50.810001,51.110001,50.509998,50.650002,6289600,50.650002
2016-04-01,51.080002,51.110001,50.009998,50.880001,9373800,50.880001
2016-03-31,50.869999,51.43,50.830002,51.139999,6672300,51.139999
2016-03-30,51.169998,51.650002,50.73,50.990002,6675400,50.990002
2016-03-29,50.00,50.939999,49.669998,50.689999,9564000,50.689999
2016-03-28,50.43,50.610001,49.950001,50.189999,9033300,50.189999
2016-03-24,50.630001,50.900002,50.130001,50.860001,7508400,50.860001
2016-03-23,52.119999,52.16,50.810001,50.990002,8615300,50.990002
2016-03-22,51.84,52.32,51.790001,52.02,6606100,52.02
2016-03-21,51.599998,52.349998,51.509998,52.209999,11481500,52.209999
2016-03-18,51.689999,51.869999,51.23,51.59,27569500,51.59
2016-03-17,51.150002,51.689999,51.119999,51.380001,10183300,51.380001
2016-03-16,51.630001,51.630001,50.91,51.299999,20519600,51.299999
2016-03-15,51.75,51.830002,50.98,51.630001,12532400,51.630001
2016-03-14,52.240002,52.41,51.740002,52.09,7407200,52.09
2016-03-11,52.59,52.639999,51.889999,52.220001,11400600,52.220001
2016-03-10,51.91,52.369999,51.169998,52.02,9519100,52.02
2016-03-09,52.41,52.52,51.740002,51.950001,13689100,51.950001
2016-03-08,52.889999,53.209999,51.98,52.459999,11593200,52.459999
2016-03-07,52.439999,53.52,52.360001,53.299999,10171500,53.299999
2016-03-04,52.330002,52.900002,51.900002,52.66,12730200,52.66
2016-03-03,52.450001,52.810001,51.860001,52.380001,12365200,52.380001
2016-03-02,52.389999,52.98,52.240002,52.849998,15664800,52.849998
2016-03-01,51.080002,52.110001,51.060001,52.110001,11977400,52.110001
2016-02-29,51.169998,51.529999,50.709999,50.790001,12127300,50.790001
2016-02-26,52.00,52.00,51.220001,51.619999,9528400,51.139998
2016-02-25,51.50,51.790001,50.900002,51.639999,8352400,51.159812
2016-02-24,50.00,51.66,49.73,51.52,10966600,51.040929
2016-02-23,51.00,51.00,50.110001,50.419998,9358700,49.951156
2016-02-22,50.080002,51.290001,50.07,51.279999,16793600,50.803159
2016-02-19,49.040001,50.040001,48.759998,49.419998,16196800,48.960454
2016-02-18,48.41,49.310001,48.02,49.080002,13173100,48.62362
2016-02-17,47.049999,48.529999,47.009998,48.41,14868200,47.959848
2016-02-16,45.599998,46.830002,45.400002,46.73,13832500,46.295469
2016-02-12,43.349998,44.759998,43.080002,44.560001,11696500,44.145649
2016-02-11,42.509998,43.290001,42.240002,43.00,12537700,42.600154
2016-02-10,44.00,44.52,42.900002,42.959999,10044600,42.560525
2016-02-09,43.650002,44.060001,43.169998,43.610001,10339800,43.204482
2016-02-08,43.509998,44.16,42.830002,43.889999,12799000,43.481878
2016-02-05,45.450001,45.599998,43.77,44.02,10709800,43.61067
2016-02-04,44.619999,45.759998,44.380001,45.66,10798900,45.235419
2016-02-03,43.599998,45.00,43.310001,44.73,16733600,44.314067
2016-02-02,45.18,45.400002,42.880001,43.150002,21079700,42.748761
2016-02-01,44.709999,46.41,44.389999,46.110001,13120400,45.681236
2016-01-29,44.049999,45.349998,43.669998,45.34,24039200,44.918395
2016-01-28,45.799999,45.82,43.470001,43.59,27935200,43.184668
2016-01-27,48.00,48.580002,47.16,47.529999,12305000,47.08803
2016-01-26,47.599998,48.849998,47.52,48.52,9273400,48.068826
2016-01-25,47.970001,48.389999,47.52,47.580002,9365800,47.137568
2016-01-22,47.810001,48.279999,47.439999,48.07,12154900,47.623009
2016-01-21,46.360001,47.439999,45.709999,47.049999,12913700,46.612493
2016-01-20,45.50,46.18,44.389999,45.93,14761500,45.502909
2016-01-19,46.50,46.580002,45.470001,46.09,12680000,45.661421
2016-01-15,46.040001,46.509998,45.130001,45.82,17273300,45.393931
2016-01-14,46.209999,48.009998,45.84,47.73,21649400,47.286171
2016-01-13,47.220001,47.970001,46.07,46.099998,17285100,45.671326
2016-01-12,46.450001,46.68,45.619999,46.52,9290700,46.087423
2016-01-11,46.360001,46.529999,45.330002,46.07,13624900,45.641607
2016-01-08,46.810001,46.849998,45.84,45.880001,15285500,45.453375
2016-01-07,47.779999,48.00,45.98,46.139999,20495600,45.710955
2016-01-06,48.360001,48.66,47.759998,48.639999,15783500,48.187709
2016-01-05,50.459999,50.599998,49.07,49.139999,13482300,48.683059
2016-01-04,49.43,50.18,48.91,50.119999,12571300,49.653946
2015-12-31,50.060001,50.439999,49.889999,49.990002,7613400,49.525158
2015-12-30,50.880001,51.25,50.360001,50.41,8529300,49.94125
2015-12-29,50.279999,51.25,50.07,50.880001,14371300,50.406881
2015-12-28,49.450001,49.810001,49.23,49.580002,8395600,49.11897
2015-12-24,49.00,49.880001,49.00,49.549999,5352000,49.089247
2015-12-23,49.240002,49.52,48.900002,49.040001,9397900,48.583991
2015-12-22,48.529999,49.189999,48.43,49.07,10139800,48.61371
2015-12-21,47.610001,48.93,47.540001,48.759998,16779000,48.306592
2015-12-18,47.369999,48.040001,47.02,47.43,46440200,46.988961
2015-12-17,49.32,49.599998,47.540001,47.540001,15328000,47.097939
2015-12-16,48.25,48.599998,47.150002,48.07,13308300,47.623009
2015-12-15,47.709999,48.810001,46.799999,48.02,19880200,47.573475
2015-12-14,47.41,47.959999,45.93,46.830002,17157400,46.394542
2015-12-11,48.200001,48.360001,47.34,47.459999,12977600,47.018681
2015-12-10,48.650002,49.57,48.470001,48.57,11619500,48.11836
2015-12-09,49.639999,49.98,48.419998,48.59,16131000,48.138174
2015-12-08,50.630001,50.959999,49.310001,49.48,18917100,49.019898
2015-12-07,52.310001,52.540001,51.889999,52.43,10160700,51.942467
2015-12-04,52.09,52.57,51.41,52.34,16177700,51.853304
2015-12-03,52.16,52.240002,50.369999,51.400002,25438100,50.922046
2015-12-02,51.91,53.439999,51.799999,51.849998,36745100,51.367859
2015-12-01,48.75,49.32,48.599998,49.299999,9915800,48.841571
2015-11-30,48.599998,48.860001,48.299999,48.790001,13716000,48.336315
2015-11-27,48.669998,48.849998,48.470001,48.540001,3441600,48.08864
2015-11-25,49.41,49.650002,48.849998,49.099998,9967100,48.167895
2015-11-24,49.029999,49.73,48.860001,49.41,12090100,48.472011
2015-11-23,49.09,49.580002,48.759998,48.970001,11632800,48.040365
2015-11-20,48.799999,49.77,48.50,49.619999,17229800,48.678024
2015-11-19,48.509998,49.279999,48.23,48.389999,20547900,47.471374
2015-11-18,51.939999,51.939999,47.52,48.00,45214500,47.088778
2015-11-17,52.700001,53.549999,52.57,52.98,10686200,51.974239
2015-11-16,51.959999,52.860001,51.959999,52.77,9214000,51.768226
2015-11-13,52.299999,52.75,51.82,51.939999,10439900,50.953981
2015-11-12,52.75,53.189999,52.52,52.580002,10807000,51.581835
2015-11-11,52.599998,53.240002,52.369999,52.849998,11026300,51.846706
2015-11-10,52.529999,52.990002,51.950001,52.27,13489500,51.277718
2015-11-09,52.880001,53.349998,52.619999,52.939999,15092000,51.934997
2015-11-06,51.630001,53.700001,51.630001,53.419998,31252900,52.405885
2015-11-05,56.73,56.810001,49.919998,51.07,65856400,50.100498
2015-11-04,60.889999,61.009998,60.07,60.259998,10795900,59.116036
2015-11-03,60.400002,61.18,60.259998,60.869999,7704300,59.714456
2015-11-02,59.700001,60.759998,59.509998,60.639999,8577200,59.488823
2015-10-30,60.119999,60.200001,59.419998,59.419998,8630300,58.291982
2015-10-29,59.669998,60.23,59.580002,60.00,5567700,58.860973
2015-10-28,59.330002,60.299999,59.23,60.27,7738300,59.125848
2015-10-27,58.91,59.349998,58.77,59.279999,9485900,58.15464
2015-10-26,60.91,60.91,58.700001,59.209999,13381000,58.085969
2015-10-23,60.630001,61.189999,60.490002,60.73,9175600,59.577115
2015-10-22,59.490002,60.639999,59.490002,60.43,10913600,59.28281
2015-10-21,59.279999,59.77,58.889999,58.970001,6915400,57.850528
2015-10-20,58.68,59.209999,58.68,59.00,9102200,57.879957
