Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,7.87,7.97,7.80,7.87,12077900,7.87
2016-04-01,7.80,7.89,7.67,7.89,15258600,7.89
2016-03-31,7.86,7.95,7.79,7.85,15209500,7.85
2016-03-30,7.94,8.06,7.86,7.90,17122400,7.90
2016-03-29,7.95,7.95,7.75,7.90,22251300,7.90
2016-03-28,8.08,8.12,7.96,8.05,9174600,8.05
2016-03-24,8.02,8.07,7.82,8.06,11387600,8.06
2016-03-23,8.15,8.18,8.06,8.08,13035200,8.08
2016-03-22,8.06,8.25,8.04,8.18,15582300,8.18
2016-03-21,8.23,8.34,8.11,8.21,15634800,8.21
2016-03-18,8.21,8.32,8.10,8.23,30274000,8.23
2016-03-17,7.99,8.13,7.82,8.12,17715400,8.12
2016-03-16,8.13,8.28,7.90,8.02,19917400,8.02
2016-03-15,8.13,8.13,8.01,8.11,13342800,8.11
2016-03-14,8.24,8.28,8.10,8.21,16252200,8.21
2016-03-11,8.07,8.26,8.05,8.24,14626100,8.24
2016-03-10,8.00,8.09,7.82,7.97,23258000,7.97
2016-03-09,8.09,8.12,7.83,7.87,22217100,7.87
2016-03-08,8.27,8.30,7.95,8.05,29012400,7.99
2016-03-07,8.27,8.43,8.25,8.38,14909500,8.31754
2016-03-04,8.37,8.57,8.29,8.39,26469200,8.327466
2016-03-03,8.11,8.30,8.08,8.28,20972500,8.218285
2016-03-02,8.00,8.17,7.96,8.12,16713300,8.059478
2016-03-01,7.61,7.99,7.59,7.98,17608800,7.920522
2016-02-29,7.71,7.74,7.52,7.52,17443400,7.46395
2016-02-26,7.64,7.87,7.56,7.75,19076300,7.692236
2016-02-25,7.43,7.55,7.35,7.51,15091200,7.454025
2016-02-24,7.40,7.45,7.21,7.42,22039600,7.364696
2016-02-23,7.86,7.90,7.50,7.57,19334700,7.513578
2016-02-22,7.79,7.91,7.77,7.90,16755900,7.841118
2016-02-19,7.59,7.75,7.49,7.65,19930100,7.592981
2016-02-18,7.90,7.90,7.51,7.62,24287600,7.563205
2016-02-17,7.94,8.02,7.76,7.82,20674900,7.761714
2016-02-16,7.76,7.93,7.62,7.84,24383700,7.781565
2016-02-12,7.24,7.63,7.22,7.60,32594900,7.543354
2016-02-11,7.25,7.30,7.00,7.08,28325600,7.02723
2016-02-10,7.70,7.79,7.51,7.51,23601200,7.454025
2016-02-09,7.37,7.70,7.34,7.65,26030000,7.592981
2016-02-08,7.67,7.68,7.37,7.53,26654500,7.473876
2016-02-05,7.95,8.05,7.78,7.80,20024500,7.741863
2016-02-04,7.76,8.10,7.74,7.90,22205200,7.841118
2016-02-03,7.70,7.87,7.34,7.82,34311700,7.761714
2016-02-02,7.78,7.78,7.56,7.63,27109100,7.57313
2016-02-01,8.13,8.15,7.88,7.94,24594000,7.88082
2016-01-29,8.02,8.15,7.96,8.12,26117500,8.059478
2016-01-28,8.08,8.26,7.98,8.01,29478000,7.950298
2016-01-27,7.81,8.18,7.75,7.95,28181600,7.890745
2016-01-26,7.63,7.93,7.63,7.82,22821100,7.761714
2016-01-25,7.87,7.91,7.55,7.57,18528400,7.513578
2016-01-22,7.96,8.10,7.91,7.93,17985400,7.870894
2016-01-21,7.86,8.08,7.78,7.83,31909000,7.771639
2016-01-20,7.86,8.03,7.60,7.90,34519400,7.841118
2016-01-19,8.31,8.40,8.00,8.08,29177900,8.019776
2016-01-15,7.18,8.26,7.08,8.20,37304300,8.138882
2016-01-14,8.38,8.48,8.17,8.36,43913000,8.297689
2016-01-13,8.81,8.83,8.28,8.33,27971600,8.267913
2016-01-12,8.78,8.82,8.52,8.74,18781200,8.674857
2016-01-11,8.84,8.90,8.57,8.68,19568600,8.615304
2016-01-08,9.04,9.10,8.73,8.76,23234600,8.694708
2016-01-07,9.05,9.17,8.96,8.96,27113600,8.893217
2016-01-06,9.26,9.34,9.18,9.26,17107900,9.190981
2016-01-05,9.45,9.51,9.33,9.42,16058300,9.349789
2016-01-04,9.35,9.48,9.30,9.44,17834000,9.369639
2015-12-31,9.58,9.73,9.54,9.60,9616300,9.528447
2015-12-30,9.74,9.74,9.61,9.65,6842700,9.578074
2015-12-29,9.70,9.79,9.68,9.76,8090500,9.687255
2015-12-28,9.66,9.68,9.48,9.63,8696100,9.558223
2015-12-24,9.68,9.78,9.66,9.71,3692400,9.637627
2015-12-23,9.57,9.70,9.53,9.69,10672100,9.617776
2015-12-22,9.49,9.51,9.30,9.50,13100700,9.429192
2015-12-21,9.39,9.42,9.25,9.39,14228300,9.320013
2015-12-18,9.52,9.61,9.31,9.35,55937800,9.280311
2015-12-17,9.98,10.02,9.73,9.73,21232800,9.657478
2015-12-16,9.86,9.98,9.64,9.94,30767500,9.865912
2015-12-15,9.52,9.86,9.51,9.77,21968800,9.69718
2015-12-14,9.47,9.52,9.20,9.36,20950400,9.290235
2015-12-11,9.44,9.50,9.30,9.37,17851200,9.300161
2015-12-10,9.45,9.74,9.37,9.61,16280900,9.538372
2015-12-09,9.56,9.66,9.34,9.45,25877300,9.379565
2015-12-08,9.94,9.97,9.60,9.64,24117700,9.508596
2015-12-07,10.21,10.23,9.98,10.03,15003200,9.89328
2015-12-04,10.00,10.28,9.91,10.26,19157400,10.120145
2015-12-03,10.15,10.17,9.93,9.97,15801600,9.834098
2015-12-02,10.28,10.28,10.08,10.10,13473200,9.962326
2015-12-01,10.21,10.28,10.12,10.25,14012700,10.110281
2015-11-30,10.17,10.20,10.06,10.14,11749400,10.001781
