Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,47.200001,47.259998,45.970001,46.00,1215300,46.00
2016-04-01,46.290001,47.23,46.150002,47.200001,1635800,47.200001
2016-03-31,45.799999,46.75,45.799999,46.580002,1104900,46.580002
2016-03-30,45.57,46.189999,45.509998,45.849998,1047100,45.849998
2016-03-29,44.27,45.439999,44.110001,45.41,1172900,45.41
2016-03-28,44.290001,44.689999,43.779999,44.389999,1014500,44.389999
2016-03-24,43.490002,44.23,43.00,44.23,1153800,44.23
2016-03-23,44.009998,44.040001,43.330002,43.630001,1065400,43.630001
2016-03-22,43.23,44.029999,42.98,43.950001,1150400,43.950001
2016-03-21,43.25,43.98,43.130001,43.68,1013700,43.68
2016-03-18,43.349998,44.029999,43.169998,43.32,1124400,43.32
2016-03-17,42.639999,43.279999,42.360001,43.18,1371200,43.18
2016-03-16,41.919998,42.77,41.91,42.68,643600,42.68
2016-03-15,41.919998,42.240002,41.599998,42.169998,650700,42.169998
2016-03-14,42.389999,42.549999,42.00,42.27,742900,42.27
2016-03-11,41.860001,42.779999,41.509998,42.619999,1231400,42.619999
2016-03-10,41.869999,41.900002,41.009998,41.439999,1367800,41.439999
2016-03-09,41.16,41.900002,41.080002,41.52,1219800,41.52
2016-03-08,41.57,41.689999,40.880001,41.060001,897800,41.060001
2016-03-07,41.630001,41.98,41.470001,41.75,1185800,41.75
2016-03-04,41.700001,42.099998,41.490002,41.889999,1182900,41.889999
2016-03-03,40.66,41.73,40.400002,41.700001,1134400,41.700001
2016-03-02,40.779999,40.98,40.369999,40.619999,913600,40.619999
2016-03-01,39.639999,41.080002,39.52,41.00,1733100,41.00
2016-02-29,39.509998,39.790001,39.110001,39.389999,1563000,39.389999
2016-02-26,39.619999,39.75,39.360001,39.580002,991600,39.580002
2016-02-25,39.380001,39.549999,39.029999,39.389999,2025100,39.389999
2016-02-24,38.619999,39.299999,38.369999,39.279999,2297800,39.279999
2016-02-23,38.93,39.310001,38.59,38.959999,955700,38.959999
2016-02-22,38.759998,39.330002,38.759998,39.18,981300,38.96
2016-02-19,38.349998,38.610001,38.029999,38.369999,1147000,38.154547
2016-02-18,38.130001,38.91,38.029999,38.380001,1486700,38.164493
2016-02-17,38.16,38.34,37.810001,37.959999,1157600,37.746849
2016-02-16,37.860001,38.07,37.389999,38.07,1020100,37.856232
2016-02-12,37.130001,37.380001,36.700001,37.34,1043200,37.130332
2016-02-11,36.860001,37.23,36.169998,36.650002,1531100,36.444208
2016-02-10,38.23,38.610001,37.689999,37.700001,1090600,37.488311
2016-02-09,38.610001,39.509998,38.150002,38.220001,1619900,38.005392
2016-02-08,39.139999,39.330002,38.220001,38.98,1849400,38.761122
2016-02-05,39.259998,40.00,39.07,39.68,1561700,39.457193
2016-02-04,39.18,40.349998,38.93,39.259998,2531700,39.039549
2016-02-03,42.009998,42.02,38.549999,39.240002,3313500,39.019665
2016-02-02,42.689999,43.060001,41.759998,42.009998,2584500,41.774107
2016-02-01,43.43,43.75,43.110001,43.380001,2711900,43.136417
