Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,58.869999,59.009998,58.41,58.650002,2941100,58.650002
2016-04-01,57.889999,58.790001,57.619999,58.639999,2307600,58.639999
2016-03-31,58.34,58.77,57.849998,57.900002,1976100,57.900002
2016-03-30,58.27,58.59,57.639999,58.34,1830100,58.34
2016-03-29,57.700001,58.139999,57.50,58.09,2081200,58.09
2016-03-28,57.540001,57.990002,57.299999,57.59,2034400,57.59
2016-03-24,58.349998,58.50,56.880001,57.41,2522500,57.41
2016-03-23,58.040001,58.41,57.619999,58.18,1270200,58.18
2016-03-22,58.860001,58.900002,58.049999,58.119999,2237400,58.119999
2016-03-21,58.849998,59.110001,58.209999,58.43,2359900,58.43
2016-03-18,58.799999,59.68,58.50,59.299999,4665300,59.299999
2016-03-17,57.990002,58.57,57.66,58.529999,2112100,58.529999
2016-03-16,57.849998,58.299999,57.43,58.09,2488800,58.09
2016-03-15,57.849998,58.50,57.849998,58.130001,1784100,58.130001
2016-03-14,57.93,58.299999,57.75,58.169998,1551000,58.169998
2016-03-11,57.939999,58.099998,57.209999,57.959999,2369700,57.959999
2016-03-10,56.279999,57.560001,56.16,57.209999,3016500,57.209999
2016-03-09,56.439999,57.470001,56.25,56.580002,3208400,56.445003
2016-03-08,57.41,58.099998,57.23,57.380001,2346700,57.243094
2016-03-07,57.619999,59.439999,57.25,57.529999,3128300,57.392734
2016-03-04,57.73,57.810001,57.099998,57.419998,3673400,57.282996
2016-03-03,58.27,58.43,56.07,57.849998,4220300,57.71197
2016-03-02,57.849998,58.919998,56.75,57.740002,8993600,57.602236
2016-03-01,55.450001,56.529999,55.360001,56.23,5119700,56.095836
2016-02-29,56.099998,56.57,54.919998,54.98,6074900,54.848819
2016-02-26,56.77,56.82,55.639999,56.290001,2443600,56.155694
2016-02-25,56.549999,56.77,55.709999,56.540001,2804700,56.405098
2016-02-24,55.25,56.380001,54.84,56.25,3838800,56.115789
2016-02-23,55.110001,56.00,55.029999,55.349998,3101300,55.217935
2016-02-22,55.32,55.790001,55.02,55.43,3040400,55.297746
2016-02-19,54.490002,54.73,53.599998,54.689999,3180700,54.55951
2016-02-18,54.77,55.110001,54.290001,54.82,3221000,54.689201
2016-02-17,55.52,55.860001,54.900002,55.07,4409600,54.938604
2016-02-16,54.330002,56.110001,54.240002,55.00,4148200,54.868771
2016-02-12,53.259998,54.060001,52.310001,53.75,2643100,53.621754
2016-02-11,53.220001,53.610001,52.16,52.560001,3467900,52.434595
2016-02-10,54.470001,55.639999,53.810001,53.84,3474200,53.711539
2016-02-09,52.939999,54.860001,52.779999,54.529999,3878400,54.399892
2016-02-08,52.669998,53.599998,52.110001,53.330002,3809900,53.202758
2016-02-05,54.209999,54.25,53.009998,53.32,4347200,53.19278
2016-02-04,54.439999,54.790001,53.349998,54.48,4135900,54.350012
2016-02-03,56.779999,56.919998,54.439999,55.099998,3431400,54.968531
2016-02-02,56.290001,57.189999,55.689999,56.52,3145800,56.385145
2016-02-01,56.259998,57.189999,55.849998,56.759998,4299200,56.62457
2016-01-29,54.27,56.32,54.00,56.259998,3492100,56.125763
2016-01-28,54.259998,54.43,53.23,53.950001,2176800,53.821277
2016-01-27,54.369999,54.82,53.41,53.779999,2477000,53.651681
2016-01-26,53.52,54.48,53.200001,54.330002,2145000,54.200372
2016-01-25,54.080002,54.349998,53.400002,53.619999,2208400,53.492063
2016-01-22,52.959999,54.27,52.740002,54.139999,2638200,54.010823
2016-01-21,52.32,52.68,51.91,52.23,3216200,52.10538
2016-01-20,51.990002,52.830002,50.419998,52.18,4108700,52.0555
2016-01-19,52.889999,53.150002,52.080002,52.580002,3279000,52.454547
2016-01-15,51.209999,52.73,51.209999,52.290001,3656500,52.165238
2016-01-14,52.419998,53.369999,51.720001,52.82,3212600,52.693973
2016-01-13,54.259998,54.27,52.07,52.189999,3565100,52.065475
2016-01-12,53.52,54.860001,53.41,54.450001,3878800,54.320084
2016-01-11,52.52,52.869999,51.880001,52.59,2261900,52.464522
2016-01-08,53.84,53.84,51.959999,52.099998,2830900,51.975689
2016-01-07,52.970001,55.110001,52.50,53.759998,3774700,53.631728
2016-01-06,54.029999,54.529999,53.299999,53.889999,2533700,53.761419
2016-01-05,54.369999,55.169998,54.18,54.73,3029200,54.599415
2016-01-04,53.00,54.369999,52.50,54.369999,4145700,54.240274
2015-12-31,54.439999,54.540001,53.799999,53.810001,1471700,53.681612
2015-12-30,54.959999,55.290001,54.540001,54.549999,1205000,54.419844
2015-12-29,53.189999,55.639999,53.189999,54.939999,1298200,54.808913
2015-12-28,54.07,54.599998,53.91,54.389999,1226700,54.260226
2015-12-24,54.400002,54.580002,54.009998,54.330002,597300,54.200372
2015-12-23,54.50,54.73,53.709999,54.34,2010100,54.210346
2015-12-22,54.279999,54.549999,53.799999,54.310001,2574100,54.180419
2015-12-21,53.700001,54.099998,53.290001,53.810001,2221500,53.681612
2015-12-18,53.459999,53.75,52.900002,52.950001,5095400,52.823663
2015-12-17,55.360001,55.490002,53.73,53.860001,2523500,53.731492
2015-12-16,54.740002,54.990002,53.959999,54.93,2623000,54.798939
2015-12-15,54.959999,55.330002,53.919998,54.080002,2870700,53.950968
2015-12-14,53.860001,54.77,53.610001,54.41,3123400,54.280179
2015-12-11,53.34,54.029999,53.290001,53.560001,2341000,53.432209
2015-12-10,54.25,54.779999,53.610001,54.150002,2360500,54.020801
2015-12-09,54.00,55.099998,53.470001,54.040001,2959500,53.911063
2015-12-08,53.459999,54.700001,53.009998,54.48,2585000,54.350012
2015-12-07,53.759998,54.07,53.130001,53.82,2429600,53.691587
2015-12-04,52.790001,54.279999,52.57,54.16,2970600,53.913056
2015-12-03,53.439999,53.610001,51.91,52.509998,3971900,52.270578
2015-12-02,53.139999,53.98,53.139999,53.52,3703100,53.275975
2015-12-01,52.529999,53.200001,52.23,53.09,4127500,52.847935
2015-11-30,52.830002,52.830002,51.740002,52.009998,3423400,51.772858
2015-11-27,52.860001,53.029999,52.25,52.66,1071200,52.419896
2015-11-25,52.330002,53.049999,52.139999,52.740002,3259300,52.499533
2015-11-24,50.73,52.549999,50.599998,52.419998,4884300,52.180988
2015-11-23,50.970001,51.25,50.57,51.130001,2787600,50.896873
2015-11-20,50.400002,51.00,49.060001,50.84,8054000,50.608194
2015-11-19,45.009998,46.630001,45.009998,46.200001,5138400,45.989351
2015-11-18,46.360001,46.66,45.630001,46.419998,4260500,46.208345
2015-11-17,47.119999,47.32,45.450001,46.310001,4961000,46.09885
2015-11-16,44.869999,46.049999,44.470001,45.77,4936100,45.561311
2015-11-13,44.669998,46.50,43.470001,44.810001,9629900,44.605689
2015-11-12,48.099998,49.220001,48.07,48.110001,2970900,47.890642
2015-11-11,49.970001,49.98,48.439999,48.52,3375200,48.298773
2015-11-10,49.049999,49.990002,48.860001,49.939999,2167500,49.712296
2015-11-09,50.150002,50.290001,48.50,49.119999,3785400,48.896035
2015-11-06,51.50,51.549999,50.049999,50.400002,2175600,50.170202
2015-11-05,51.790001,51.91,51.16,51.540001,2476300,51.305003
2015-11-04,51.790001,51.950001,51.25,51.619999,2416800,51.384637
2015-11-03,50.709999,51.84,50.529999,51.740002,2816600,51.504092
2015-11-02,50.25,50.93,49.48,50.66,2498300,50.429015
2015-10-30,50.09,50.970001,49.93,50.580002,2179100,50.349381
2015-10-29,50.259998,50.380001,49.52,50.18,1376400,49.951204
2015-10-28,49.43,50.389999,49.220001,50.349998,1536000,50.120427
2015-10-27,49.73,49.880001,48.790001,49.240002,2469200,49.015491
2015-10-26,49.580002,50.200001,49.360001,49.880001,1785600,49.652572
2015-10-23,51.41,51.549999,48.970001,49.66,2969200,49.433574
2015-10-22,50.50,51.490002,50.450001,51.040001,2080600,50.807283
2015-10-21,50.43,50.68,50.080002,50.18,1827400,49.951204
2015-10-20,50.169998,50.48,50.02,50.34,2121500,50.110474
2015-10-19,50.259998,50.509998,49.869999,50.389999,2395500,50.160245
2015-10-16,49.57,50.639999,49.34,50.299999,3023100,50.070656
2015-10-15,48.82,49.540001,48.68,49.34,2339600,49.115034
2015-10-14,50.169998,50.279999,48.310001,48.50,3381900,48.278863
2015-10-13,50.27,50.650002,49.369999,49.450001,2600300,49.224533
2015-10-12,49.139999,50.700001,49.049999,50.529999,2859000,50.299606
2015-10-09,48.98,49.110001,47.970001,49.040001,3011300,48.816402
2015-10-08,48.049999,49.049999,47.91,49.02,2669000,48.796493
2015-10-07,47.970001,48.299999,47.360001,48.150002,3749100,47.930461
2015-10-06,49.049999,49.150002,47.41,47.689999,2811400,47.472555
2015-10-05,48.830002,49.240002,48.349998,49.150002,3194500,48.925901
2015-10-02,47.52,48.75,47.119999,48.73,2302000,48.507814
2015-10-01,48.48,49.200001,47.299999,47.860001,4039300,47.641782
2015-09-30,48.139999,48.830002,47.77,48.470001,2875900,48.249001
