Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,16.51,16.58,16.309999,16.370001,1023500,16.370001
2016-04-01,16.299999,16.52,15.94,16.49,1869000,16.49
2016-03-31,16.35,16.49,16.209999,16.40,1317300,16.40
2016-03-30,16.34,16.57,16.129999,16.40,1491700,16.40
2016-03-29,15.95,16.360001,15.68,16.290001,1957400,16.290001
2016-03-28,16.139999,16.200001,15.75,15.96,1410200,15.96
2016-03-24,16.00,16.200001,15.76,16.18,1142900,16.18
2016-03-23,16.60,16.60,16.059999,16.09,1760900,16.09
2016-03-22,16.610001,16.66,16.389999,16.60,1094300,16.60
2016-03-21,16.65,16.790001,16.52,16.719999,1034900,16.719999
2016-03-18,16.450001,16.870001,16.450001,16.67,3373100,16.67
2016-03-17,16.32,16.719999,16.290001,16.530001,1632700,16.530001
2016-03-16,15.99,16.40,15.98,16.40,1793800,16.40
2016-03-15,16.08,16.129999,15.85,16.02,1117000,16.02
2016-03-14,15.99,16.24,15.85,16.15,1508400,16.15
2016-03-11,15.88,16.200001,15.85,16.190001,1363800,16.190001
2016-03-10,15.84,15.84,15.55,15.77,959300,15.77
2016-03-09,15.74,15.90,15.62,15.81,1246800,15.81
2016-03-08,15.85,16.110001,15.62,15.63,1925500,15.63
2016-03-07,15.82,16.030001,15.70,16.02,1704200,16.02
2016-03-04,15.67,16.01,15.67,15.87,1620000,15.87
2016-03-03,15.45,15.81,15.43,15.70,1999200,15.70
2016-03-02,15.09,15.54,15.06,15.54,1544300,15.54
2016-03-01,15.37,15.46,14.92,15.10,2662300,15.10
2016-02-29,14.90,15.30,14.79,15.18,2180700,15.18
2016-02-26,13.62,14.87,13.60,14.86,3643200,14.86
2016-02-25,13.84,13.86,13.02,13.50,1907500,13.50
2016-02-24,13.39,13.60,13.01,13.57,2218700,13.57
2016-02-23,13.51,13.71,13.48,13.56,1324600,13.56
2016-02-22,13.38,13.65,13.30,13.55,1253100,13.55
2016-02-19,13.58,13.72,13.29,13.33,1752600,13.33
2016-02-18,13.66,13.82,13.52,13.69,1002000,13.69
2016-02-17,13.31,13.71,13.25,13.61,1672300,13.61
2016-02-16,12.85,13.27,12.56,13.18,1383700,13.18
2016-02-12,12.45,12.89,12.45,12.72,1381900,12.72
2016-02-11,12.28,12.47,12.07,12.36,1484000,12.36
2016-02-10,13.08,13.23,12.69,12.75,2053200,12.49
