Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,47.20,47.20,47.20,47.20,000,47.20
2016-04-01,48.075,48.075,48.075,48.075,000,46.395
2016-03-31,48.85,48.85,48.85,48.85,000,47.143
2016-03-30,47.73,47.73,47.73,47.73,000,46.062
2016-03-29,46.785,46.785,46.785,46.785,000,45.15
2016-03-28,46.505,46.505,46.505,46.505,000,44.88
2016-03-25,46.505,46.505,46.505,46.505,000,44.88
2016-03-24,46.505,46.505,46.505,46.505,000,44.88
2016-03-23,46.80,46.80,46.80,46.80,000,45.165
2016-03-22,46.11,46.11,46.11,46.11,000,44.499
2016-03-21,46.93,46.93,46.93,46.93,000,45.29
2016-03-18,47.345,47.345,47.345,47.345,000,45.691
2016-03-17,47.915,47.915,47.915,47.915,000,46.241
2016-03-16,48.405,48.405,48.405,48.405,000,46.713
2016-03-15,48.785,48.785,48.785,48.785,000,47.08
2016-03-14,48.69,48.69,48.69,48.69,000,46.989
2016-03-11,47.745,47.745,47.745,47.745,000,46.077
2016-03-10,47.635,47.635,47.635,47.635,000,45.97
2016-03-09,47.61,47.61,47.61,47.61,000,45.946
2016-03-08,47.825,47.825,47.825,47.825,000,46.154
2016-03-07,48.69,48.69,48.69,48.69,000,46.989
2016-03-04,48.905,48.905,48.905,48.905,000,47.196
2016-03-03,48.695,48.695,48.695,48.695,000,46.993
2016-03-02,49.34,49.34,49.34,49.34,000,47.616
2016-03-01,47.27,47.27,47.27,47.27,000,45.618
2016-02-29,46.99,46.99,46.99,46.99,000,45.348
2016-02-26,46.915,46.915,46.915,46.915,000,45.276
2016-02-25,45.885,45.885,45.885,45.885,000,44.282
2016-02-24,47.145,47.145,47.145,47.145,000,45.498
2016-02-23,47.05,47.05,47.05,47.05,000,45.406
2016-02-22,46.815,46.815,46.815,46.815,000,45.179
2016-02-19,46.49,46.49,46.49,46.49,000,44.865
2016-02-18,44.575,44.575,44.575,44.575,000,43.017
2016-02-17,43.035,43.035,43.035,43.035,000,41.531
2016-02-16,43.24,43.24,43.24,43.24,000,41.729
2016-02-15,42.70,42.70,42.70,42.70,000,41.208
2016-02-12,42.28,42.28,42.28,42.28,000,40.803
2016-02-11,43.295,43.295,43.295,43.295,000,41.782
2016-02-10,42.99,42.99,42.99,42.99,000,41.488
2016-02-09,43.18,43.18,43.18,43.18,000,41.671
2016-02-08,46.10,46.10,46.10,46.10,000,44.489
2016-02-05,46.535,46.535,46.535,46.535,000,44.909
2016-02-04,47.52,47.52,47.52,47.52,000,45.859
2016-02-03,47.345,47.345,47.345,47.345,000,45.691
2016-02-02,48.985,48.985,48.985,48.985,000,47.273
2016-02-01,49.735,49.735,49.735,49.735,000,47.997
2016-01-29,49.45,49.45,49.45,49.45,000,47.722
2016-01-28,49.13,49.13,49.13,49.13,000,47.413
2016-01-27,49.63,49.63,49.63,49.63,000,47.896
2016-01-26,49.185,49.185,49.185,49.185,000,47.466
2016-01-25,50.50,50.50,50.50,50.50,000,48.735
2016-01-22,48.82,48.82,48.82,48.82,000,47.114
2016-01-21,46.99,46.99,46.99,46.99,000,45.348
2016-01-20,47.64,47.64,47.64,47.64,000,45.975
2016-01-19,49.28,49.28,49.28,49.28,000,47.558
2016-01-18,49.125,49.125,49.125,49.125,000,47.408
2016-01-15,50.98,50.98,50.98,50.98,000,49.198
2016-01-14,50.99,50.99,50.99,50.99,000,49.208
2016-01-13,52.24,52.24,52.24,52.24,000,50.414
2016-01-12,51.31,51.31,51.31,51.31,000,49.517
2016-01-11,50.85,50.85,50.85,50.85,000,49.073
2016-01-08,52.20,52.20,52.20,52.20,000,50.376
2016-01-07,52.86,52.86,52.86,52.86,000,51.013
2016-01-06,55.08,55.08,55.08,55.08,000,53.155
2016-01-05,55.99,55.99,55.99,55.99,000,54.033
2016-01-04,55.91,55.91,55.91,55.91,000,53.956
2016-01-01,58.40,58.40,58.40,58.40,000,56.359
2015-12-31,58.40,58.40,58.40,58.40,000,56.359
2015-12-30,58.40,58.40,58.40,58.40,000,56.359
2015-12-29,58.13,58.13,58.13,58.13,000,56.099
2015-12-28,58.08,58.08,58.08,58.08,000,56.05
2015-12-25,57.04,57.04,57.04,57.04,000,55.047
2015-12-24,57.04,57.04,57.04,57.04,000,55.047
2015-12-23,57.04,57.04,57.04,57.04,000,55.047
2015-12-22,56.57,56.57,56.57,56.57,000,54.593
2015-12-21,56.09,56.09,56.09,56.09,000,54.13
2015-12-18,56.67,56.67,56.67,56.67,000,54.69
2015-12-17,56.53,56.53,56.53,56.53,000,54.555
2015-12-16,56.55,56.55,56.55,56.55,000,54.574
2015-12-15,55.14,55.14,55.14,55.14,000,53.213
2015-12-14,55.95,55.95,55.95,55.95,000,53.995
2015-12-11,56.68,56.68,56.68,56.68,000,54.699
2015-12-10,55.96,55.96,55.96,55.96,000,54.004
2015-12-09,57.47,57.47,57.47,57.47,000,55.462
2015-12-08,57.94,57.94,57.94,57.94,000,55.915
2015-12-07,58.44,58.44,58.44,58.44,000,56.398
2015-12-04,56.95,56.95,56.95,56.95,000,54.96
2015-12-03,58.79,58.79,58.79,58.79,000,56.736
2015-12-02,58.82,58.82,58.82,58.82,000,56.765
2015-12-01,59.11,59.11,59.11,59.11,000,57.044
2015-11-30,58.26,58.26,58.26,58.26,000,56.224
2015-11-27,57.95,57.95,57.95,57.95,000,55.925
2015-11-26,58.10,58.10,58.10,58.10,000,56.07
2015-11-25,56.86,56.86,56.86,56.86,000,54.873
2015-11-24,57.71,57.71,57.71,57.71,000,55.693
2015-11-23,57.81,57.81,57.81,57.81,000,55.79
2015-11-20,56.94,56.94,56.94,56.94,000,54.95
2015-11-19,56.93,56.93,56.93,56.93,000,54.941
2015-11-18,56.74,56.74,56.74,56.74,000,54.757
2015-11-17,54.17,54.17,54.17,54.17,000,52.277
2015-11-16,52.78,52.78,52.78,52.78,000,50.936
2015-11-13,53.68,53.68,53.68,53.68,000,51.804
2015-11-12,53.69,53.69,53.69,53.69,000,51.814
2015-11-11,53.73,53.73,53.73,53.73,000,51.852
2015-11-10,53.43,53.43,53.43,53.43,000,51.563
2015-11-09,53.83,53.83,53.83,53.83,000,51.949
2015-11-06,53.15,53.15,53.15,53.15,000,51.293
2015-11-05,53.90,53.90,53.90,53.90,000,52.016
2015-11-04,54.03,54.03,54.03,54.03,000,52.142
2015-11-03,54.15,54.15,54.15,54.15,000,52.258
2015-11-02,53.55,53.55,53.55,53.55,000,51.679
2015-10-30,55.09,55.09,55.09,55.09,000,53.165
2015-10-29,51.79,51.79,51.79,51.79,000,49.98
2015-10-28,51.19,51.19,51.19,51.19,000,49.401
2015-10-27,51.20,51.20,51.20,51.20,000,49.411
2015-10-26,51.83,51.83,51.83,51.83,000,50.019
2015-10-23,50.56,50.56,50.56,50.56,000,48.793
2015-10-22,50.41,50.41,50.41,50.41,000,48.648
2015-10-21,51.08,51.08,51.08,51.08,000,49.295
2015-10-20,50.91,50.91,50.91,50.91,000,49.131
2015-10-19,50.79,50.79,50.79,50.79,000,49.015
2015-10-16,51.20,51.20,51.20,51.20,000,49.411
2015-10-15,50.41,50.41,50.41,50.41,000,48.648
2015-10-14,50.21,50.21,50.21,50.21,000,48.455
2015-10-13,50.15,50.15,50.15,50.15,000,48.397
2015-10-12,51.25,51.25,51.25,51.25,000,49.459
2015-10-09,52.61,52.61,52.61,52.61,000,50.772
2015-10-08,52.63,52.63,52.63,52.63,000,50.791
2015-10-07,55.44,55.44,55.44,55.44,000,53.503
2015-10-06,54.63,54.63,54.63,54.63,000,52.721
2015-10-05,41.85,41.85,41.85,41.85,000,40.388
2015-10-02,41.85,41.85,41.85,41.85,000,40.388
2015-10-01,41.85,41.85,41.85,41.85,000,40.388
2015-09-30,41.85,41.85,41.85,41.85,000,40.388
2015-09-29,41.85,41.85,41.85,41.85,000,40.388
2015-09-28,41.85,41.85,41.85,41.85,000,40.388
2015-09-25,41.85,41.85,41.85,41.85,000,40.388
2015-09-24,41.85,41.85,41.85,41.85,000,40.388
2015-09-23,41.85,41.85,41.85,41.85,000,40.388
2015-09-22,41.85,41.85,41.85,41.85,000,40.388
2015-09-21,41.85,41.85,41.85,41.85,000,40.388
2015-09-18,41.85,41.85,41.85,41.85,000,40.388
2015-09-17,41.85,41.85,41.85,41.85,000,40.388
2015-09-16,41.85,41.85,41.85,41.85,000,40.388
2015-09-15,41.85,41.85,41.85,41.85,000,40.388
2015-09-14,41.85,41.85,41.85,41.85,000,40.388
2015-09-11,41.85,41.85,41.85,41.85,000,40.388
2015-09-10,41.85,41.85,41.85,41.85,000,40.388
2015-09-09,41.85,41.85,41.85,41.85,000,40.388
2015-09-08,41.85,41.85,41.85,41.85,000,40.388
2015-09-07,41.85,41.85,41.85,41.85,000,40.388
2015-09-04,41.85,41.85,41.85,41.85,000,40.388
2015-09-03,41.85,41.85,41.85,41.85,000,40.388
2015-09-02,41.85,41.85,41.85,41.85,000,40.388
2015-09-01,41.85,41.85,41.85,41.85,000,40.388
2015-08-31,41.85,41.85,41.85,41.85,000,40.388
2015-08-28,41.85,41.85,41.85,41.85,000,40.388
2015-08-27,41.85,41.85,41.85,41.85,000,40.388
2015-08-26,41.85,41.85,41.85,41.85,000,40.388
2015-08-25,41.85,41.85,41.85,41.85,000,40.388
2015-08-24,41.85,41.85,41.85,41.85,000,40.388
2015-08-21,41.85,41.85,41.85,41.85,000,40.388
2015-08-20,41.85,41.85,41.85,41.85,000,40.388
2015-08-19,41.85,41.85,41.85,41.85,000,40.388
2015-08-18,41.85,41.85,41.85,41.85,000,40.388
2015-08-17,41.85,41.85,41.85,41.85,000,40.388
2015-08-14,41.85,41.85,41.85,41.85,000,40.388
2015-08-13,41.85,41.85,41.85,41.85,000,40.388
2015-08-12,41.85,41.85,41.85,41.85,000,40.388
2015-08-11,41.85,41.85,41.85,41.85,000,40.388
2015-08-10,41.85,41.85,41.85,41.85,000,40.388
2015-08-07,41.85,41.85,41.85,41.85,000,40.388
2015-08-06,41.85,41.85,41.85,41.85,000,40.388
2015-08-05,41.85,41.85,41.85,41.85,000,40.388
2015-08-04,41.85,41.85,41.85,41.85,000,40.388
2015-08-03,41.85,41.85,41.85,41.85,000,40.388
2015-07-31,41.85,41.85,41.85,41.85,000,40.388
2015-07-30,41.85,41.85,41.85,41.85,000,40.388
2015-07-29,41.85,41.85,41.85,41.85,000,40.388
2015-07-28,41.85,41.85,41.85,41.85,000,40.388
2015-07-27,41.85,41.85,41.85,41.85,000,40.388
2015-07-24,41.85,41.85,41.85,41.85,000,40.388
2015-07-23,41.85,41.85,41.85,41.85,000,40.388
2015-07-22,41.85,41.85,41.85,41.85,000,40.388
2015-07-21,41.85,41.85,41.85,41.85,000,40.388
2015-07-20,41.85,41.85,41.85,41.85,000,40.388
2015-07-17,41.85,41.85,41.85,41.85,000,40.388
2015-07-16,41.85,41.85,41.85,41.85,000,40.388
2015-07-15,41.85,41.85,41.85,41.85,000,40.388
2015-07-14,41.85,41.85,41.85,41.85,000,40.388
2015-07-13,41.85,41.85,41.85,41.85,000,40.388
2015-07-10,41.85,41.85,41.85,41.85,000,40.388
2015-07-09,41.85,41.85,41.85,41.85,000,40.388
2015-07-08,41.85,41.85,41.85,41.85,000,40.388
2015-07-07,41.85,41.85,41.85,41.85,000,40.388
2015-07-06,41.85,41.85,41.85,41.85,000,40.388
2015-07-03,41.85,41.85,41.85,41.85,000,40.388
2015-07-02,41.85,41.85,41.85,41.85,000,40.388
2015-07-01,41.85,41.85,41.85,41.85,000,40.388
2015-06-30,41.85,41.85,41.85,41.85,000,40.388
2015-06-29,41.85,41.85,41.85,41.85,000,40.388
2015-06-26,41.85,41.85,41.85,41.85,000,40.388
2015-06-25,41.85,41.85,41.85,41.85,000,40.388
2015-06-24,41.85,41.85,41.85,41.85,000,40.388
2015-06-23,41.85,41.85,41.85,41.85,000,40.388
2015-06-22,41.85,41.85,41.85,41.85,000,40.388
2015-06-19,41.85,41.85,41.85,41.85,000,40.388
2015-06-18,41.85,41.85,41.85,41.85,000,40.388
2015-06-17,41.85,41.85,41.85,41.85,000,40.388
2015-06-16,41.85,41.85,41.85,41.85,000,40.388
2015-06-15,41.85,41.85,41.85,41.85,000,40.388
2015-06-12,41.85,41.85,41.85,41.85,000,40.388
2015-06-11,41.85,41.85,41.85,41.85,000,40.388
2015-06-10,41.85,41.85,41.85,41.85,000,40.388
2015-06-09,41.85,41.85,41.85,41.85,000,40.388
2015-06-08,41.85,41.85,41.85,41.85,000,40.388
2015-06-05,41.85,41.85,41.85,41.85,000,40.388
2015-06-04,41.85,41.85,41.85,41.85,000,40.388
2015-06-03,41.85,41.85,41.85,41.85,000,40.388
2015-06-02,41.85,41.85,41.85,41.85,000,40.388
2015-06-01,41.85,41.85,41.85,41.85,000,40.388
2015-05-29,41.85,41.85,41.85,41.85,000,40.388
2015-05-28,41.85,41.85,41.85,41.85,000,40.388
2015-05-27,41.85,41.85,41.85,41.85,000,40.388
