Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,28.35,28.52,27.92,27.99,4988800,27.99
2016-04-01,27.74,28.450001,27.51,28.379999,6891700,28.379999
2016-03-31,28.15,28.33,27.950001,28.02,7630100,28.02
2016-03-30,28.25,28.549999,27.84,28.17,6563000,28.17
2016-03-29,27.799999,28.09,27.559999,28.02,8648000,28.02
2016-03-28,28.120001,28.219999,27.690001,28.09,6376700,28.09
2016-03-24,27.57,28.110001,27.40,28.09,6642600,28.09
2016-03-23,28.43,28.57,27.90,28.030001,7158000,28.030001
2016-03-22,27.92,28.620001,27.799999,28.41,7003700,28.41
2016-03-21,28.34,29.040001,27.84,28.280001,7111200,28.280001
2016-03-18,27.860001,28.40,27.790001,28.370001,12661900,28.370001
2016-03-17,26.66,27.92,26.65,27.67,9617300,27.67
2016-03-16,27.67,28.200001,26.75,26.92,15965600,26.92
2016-03-15,27.48,27.74,27.290001,27.74,6972100,27.74
2016-03-14,28.00,28.120001,27.51,27.84,6556300,27.84
2016-03-11,27.02,28.26,26.950001,28.200001,11599800,28.200001
2016-03-10,26.84,26.879999,25.98,26.639999,14320400,26.639999
2016-03-09,26.92,27.030001,26.32,26.549999,6938100,26.549999
2016-03-08,27.10,27.299999,26.360001,26.67,11156100,26.67
2016-03-07,26.92,27.59,26.59,27.530001,8372300,27.530001
2016-03-04,27.450001,27.83,26.940001,27.15,10204400,27.15
2016-03-03,26.57,27.18,26.280001,27.110001,9572400,27.110001
2016-03-02,26.41,26.780001,26.309999,26.74,9784300,26.74
2016-03-01,25.370001,26.530001,25.27,26.389999,15659400,26.389999
2016-02-29,25.35,25.559999,25.01,25.049999,10963200,25.049999
2016-02-26,24.43,25.709999,24.389999,25.459999,16588200,25.459999
2016-02-25,23.74,24.10,23.57,24.09,8114900,24.09
2016-02-24,23.65,23.83,23.00,23.68,12107400,23.68
2016-02-23,24.450001,24.50,23.959999,24.129999,10410200,24.129999
2016-02-22,24.440001,25.10,24.33,24.540001,11225300,24.540001
2016-02-19,23.959999,24.67,23.950001,24.440001,9167500,24.440001
2016-02-18,24.50,24.59,23.84,24.16,9019000,24.16
2016-02-17,23.99,24.639999,23.969999,24.48,12620200,24.48
2016-02-16,23.549999,23.77,23.049999,23.58,9857500,23.58
2016-02-12,22.799999,23.02,22.18,22.82,10288400,22.82
2016-02-11,21.889999,22.40,21.51,22.219999,22278800,22.219999
2016-02-10,23.60,24.110001,22.68,22.700001,17125700,22.700001
2016-02-09,22.889999,23.84,22.85,23.34,17332400,23.28
2016-02-08,23.75,23.82,23.139999,23.610001,18211900,23.549307
2016-02-05,24.940001,25.469999,24.26,24.360001,10810100,24.297379
2016-02-04,24.309999,25.17,24.299999,24.969999,13920100,24.905809
2016-02-03,24.33,24.58,22.92,24.379999,23511300,24.317326
2016-02-02,24.85,24.870001,23.879999,24.110001,10292000,24.048021
2016-02-01,25.43,25.49,24.969999,25.280001,9459900,25.215014
2016-01-29,25.129999,25.629999,24.719999,25.530001,13883700,25.464371
2016-01-28,25.530001,25.700001,24.65,24.82,12099100,24.756195
2016-01-27,25.360001,26.02,24.99,25.25,10322900,25.18509
2016-01-26,25.389999,25.74,25.139999,25.450001,11637600,25.384577
2016-01-25,25.719999,25.950001,25.120001,25.17,15281700,25.105296
2016-01-22,25.110001,25.90,24.780001,25.83,20091700,25.763599
2016-01-21,25.290001,25.48,24.370001,24.379999,27541800,24.317326
2016-01-20,25.889999,25.889999,24.370001,25.27,28589700,25.205039
2016-01-19,28.049999,28.09,26.23,26.51,14403600,26.441851
2016-01-15,26.98,27.52,26.530001,27.02,19308000,26.95054
2016-01-14,27.879999,28.389999,26.91,28.120001,10839900,28.047713
2016-01-13,29.110001,29.459999,27.459999,27.709999,12194000,27.638765
2016-01-12,29.040001,29.42,28.809999,29.24,10914400,29.164833
2016-01-11,29.209999,29.379999,28.24,28.74,15918100,28.666118
2016-01-08,29.51,29.82,28.93,29.00,15311800,28.92545
2016-01-07,29.93,30.209999,28.969999,29.18,15041400,29.104988
2016-01-06,31.25,31.379999,30.530001,30.790001,8809000,30.710849
2016-01-05,32.02,32.23,31.57,31.879999,5948200,31.798046
2016-01-04,31.950001,32.080002,31.469999,31.98,9605700,31.897789
2015-12-31,32.98,33.470001,32.700001,32.93,6026400,32.845348
2015-12-30,33.419998,33.720001,33.23,33.25,3142100,33.164525
2015-12-29,33.389999,33.619999,33.290001,33.560001,4152800,33.473729
2015-12-28,32.91,33.110001,32.599998,33.110001,3902000,33.024885
2015-12-24,33.00,33.259998,32.889999,33.049999,1464400,32.965038
2015-12-23,33.139999,33.169998,32.740002,33.060001,6389800,32.975014
2015-12-22,32.549999,32.990002,32.16,32.900002,5330900,32.815426
2015-12-21,32.23,32.400002,31.870001,32.209999,6950100,32.127197
2015-12-18,32.889999,33.029999,31.90,31.91,14251000,31.827969
2015-12-17,34.029999,34.110001,33.080002,33.209999,7335300,33.124627
2015-12-16,33.619999,34.00,32.82,33.810001,15136400,33.723086
2015-12-15,32.689999,33.290001,32.689999,33.18,10841700,33.094705
2015-12-14,32.049999,32.610001,31.620001,32.25,11846900,32.167095
2015-12-11,32.630001,32.799999,31.67,31.77,10214500,31.68833
2015-12-10,33.009998,33.650002,32.880001,33.259998,4641300,33.174497
2015-12-09,33.669998,34.099998,32.84,32.970001,9684800,32.885246
2015-12-08,33.73,34.099998,33.599998,33.860001,6117900,33.772957
2015-12-07,34.389999,34.48,33.880001,34.080002,6641300,33.992393
2015-12-04,33.32,34.52,33.169998,34.509998,14250300,34.421284
2015-12-03,33.790001,33.849998,32.950001,32.98,9018400,32.895218
2015-12-02,34.130001,34.220001,33.48,33.59,7199500,33.503651
2015-12-01,33.919998,34.16,33.459999,34.02,6548600,33.932546
2015-11-30,33.93,33.950001,33.459999,33.709999,6710400,33.623341
2015-11-27,33.689999,33.790001,33.43,33.740002,2004100,33.653267
2015-11-25,33.669998,33.810001,33.43,33.689999,11356600,33.603392
2015-11-24,32.91,33.57,32.790001,33.50,9006800,33.413882
2015-11-23,33.419998,33.549999,33.209999,33.290001,5874500,33.204423
2015-11-20,33.25,33.43,33.16,33.34,9207300,33.254293
2015-11-19,33.360001,33.560001,32.950001,33.040001,7106000,32.955065
2015-11-18,32.869999,33.52,32.77,33.400002,8036400,33.314141
2015-11-17,32.790001,33.240002,32.290001,32.810001,7766000,32.725657
2015-11-16,32.259998,32.59,31.90,32.59,7966700,32.506221
2015-11-13,32.619999,32.91,32.18,32.310001,8309700,32.226942
2015-11-12,33.09,33.259998,32.669998,32.790001,7987900,32.705708
2015-11-11,33.32,33.77,33.32,33.529999,6995200,33.443804
2015-11-10,33.279999,33.459999,32.880001,33.330002,9354800,33.244321
2015-11-09,33.59,33.880001,33.380001,33.490002,17265800,33.403909
2015-11-06,32.52,34.169998,32.52,33.509998,27112100,33.423855
2015-11-05,31.559999,31.799999,31.49,31.57,8704500,31.488843
2015-11-04,31.52,31.73,31.389999,31.440001,7214600,31.359178
2015-11-03,31.26,31.73,31.16,31.49,7132800,31.349202
2015-11-02,30.66,31.48,30.469999,31.370001,7031100,31.22974
2015-10-30,30.90,31.049999,30.48,30.52,6254200,30.38354
2015-10-29,30.940001,31.280001,30.57,31.00,9489300,30.861393
2015-10-28,29.860001,31.049999,29.77,30.940001,25173700,30.801662
2015-10-27,30.120001,30.309999,29.610001,29.85,8956100,29.716536
2015-10-26,30.370001,30.51,30.08,30.450001,6334800,30.313853
2015-10-23,29.91,30.49,29.780001,30.43,11372900,30.293942
2015-10-22,28.959999,29.610001,28.85,29.450001,7644900,29.318324
2015-10-21,29.48,29.620001,28.809999,28.860001,7016000,28.730962
2015-10-20,28.559999,29.40,28.49,29.35,9334600,29.218771
2015-10-19,28.32,28.700001,28.209999,28.50,7015200,28.372571
2015-10-16,28.889999,28.889999,28.35,28.68,9019400,28.551767
2015-10-15,27.82,28.629999,27.73,28.60,7432500,28.472125
2015-10-14,27.98,28.040001,27.51,27.780001,11201100,27.655791
2015-10-13,28.120001,28.540001,28.059999,28.09,5356000,27.964405
2015-10-12,28.15,28.40,27.99,28.389999,5291500,28.263063
2015-10-09,28.34,28.629999,28.09,28.219999,8358700,28.093823
2015-10-08,27.950001,28.49,27.809999,28.33,9136300,28.203331
2015-10-07,27.870001,28.139999,27.48,28.129999,12248900,28.004225
2015-10-06,28.17,28.24,27.60,27.66,13204000,27.536327
2015-10-05,27.91,28.40,27.790001,28.370001,8283600,28.243153
2015-10-02,27.00,27.68,26.40,27.60,30332600,27.476596
2015-10-01,28.52,28.639999,27.84,28.549999,10716100,28.422347
2015-09-30,28.049999,28.59,27.98,28.559999,11409500,28.432302
2015-09-29,27.35,27.799999,27.129999,27.58,13568300,27.456685
2015-09-28,28.049999,28.16,27.10,27.280001,9989600,27.158027
2015-09-25,28.52,29.450001,28.219999,28.42,18246400,28.292929
