Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,30.24,30.59,30.10,30.290001,3662800,30.290001
2016-04-01,30.110001,30.35,29.870001,30.10,3267500,30.10
2016-03-31,30.58,30.74,30.43,30.60,3555000,30.60
2016-03-30,30.49,30.73,30.33,30.549999,2720700,30.549999
2016-03-29,30.08,30.219999,29.68,30.110001,3568800,30.110001
2016-03-28,30.620001,30.629999,30.16,30.42,2608000,30.42
2016-03-24,30.09,30.549999,29.870001,30.440001,4495900,30.440001
2016-03-23,30.57,30.90,30.40,30.40,2359300,30.40
2016-03-22,30.57,31.07,30.559999,30.90,3960400,30.90
2016-03-21,30.75,30.99,30.440001,30.889999,3119000,30.889999
2016-03-18,31.16,31.219999,30.50,31.01,12053500,31.01
2016-03-17,30.530001,31.08,30.35,30.879999,4573400,30.879999
2016-03-16,29.620001,30.40,29.540001,30.18,4006200,30.18
2016-03-15,29.639999,29.790001,28.90,29.540001,5146600,29.540001
2016-03-14,29.940001,30.24,29.65,30.01,5112300,30.01
2016-03-11,30.049999,30.57,30.040001,30.33,5435700,30.33
2016-03-10,29.559999,29.99,29.23,29.889999,8384200,29.889999
2016-03-09,30.17,30.209999,29.51,29.540001,5731400,29.540001
2016-03-08,30.780001,30.799999,29.74,29.84,6889800,29.84
2016-03-07,30.08,30.98,30.01,30.799999,6212600,30.799999
2016-03-04,30.200001,30.59,29.91,30.209999,5741800,30.209999
2016-03-03,29.889999,30.24,29.469999,30.09,6183600,30.09
2016-03-02,29.440001,29.940001,29.18,29.93,3997000,29.93
2016-03-01,29.469999,29.82,28.860001,29.66,4778100,29.66
2016-02-29,29.27,29.84,29.10,29.200001,4187100,29.200001
2016-02-26,29.33,29.450001,29.09,29.219999,3334500,29.219999
2016-02-25,28.629999,28.950001,28.18,28.77,4040600,28.77
2016-02-24,28.27,28.780001,27.67,28.68,5076200,28.68
2016-02-23,28.76,28.940001,28.370001,28.59,5050800,28.59
2016-02-22,29.23,29.32,28.950001,29.02,6500400,29.02
2016-02-19,28.52,28.65,28.01,28.629999,6086000,28.629999
2016-02-18,29.65,29.700001,28.52,29.110001,6539400,29.110001
2016-02-17,29.00,29.42,28.559999,29.309999,6407200,29.309999
2016-02-16,28.799999,29.09,28.139999,28.40,8252400,28.40
2016-02-12,28.01,28.58,27.700001,28.49,5396600,28.49
2016-02-11,27.35,28.01,26.879999,27.59,8124300,27.59
2016-02-10,28.530001,28.709999,27.620001,28.059999,8130100,28.059999
2016-02-09,29.450001,30.09,28.98,29.15,9486600,28.744999
2016-02-08,28.85,30.33,28.27,29.74,11090000,29.326802
2016-02-05,29.01,29.700001,28.559999,29.52,8814200,29.109859
2016-02-04,28.940001,29.82,28.629999,29.280001,9923300,28.873194
2016-02-03,26.969999,28.49,26.41,28.41,10445700,28.015281
2016-02-02,26.309999,26.73,26.110001,26.190001,7633400,25.826125
2016-02-01,27.040001,27.23,26.139999,26.99,8574000,26.61501
2016-01-29,27.32,27.68,26.889999,27.450001,8887200,27.06862
2016-01-28,27.549999,27.77,26.76,27.110001,7671100,26.733343
2016-01-27,26.48,27.219999,25.74,26.57,9691400,26.200845
2016-01-26,26.879999,27.309999,26.23,26.690001,9397800,26.319179
2016-01-25,26.90,27.959999,26.34,26.360001,9115500,25.993764
2016-01-22,26.48,27.440001,26.32,27.389999,12094800,27.009452
2016-01-21,24.200001,25.889999,23.940001,25.67,10667500,25.31335
2016-01-20,24.139999,24.370001,23.51,24.030001,14834500,23.696136
2016-01-19,24.780001,24.940001,24.02,24.469999,8811900,24.130021
2016-01-15,24.059999,25.01,24.059999,24.52,10061600,24.179328
2016-01-14,24.35,25.700001,24.25,25.379999,14718900,25.027378
2016-01-13,24.549999,24.610001,23.639999,24.190001,9474500,23.853913
2016-01-12,24.52,24.690001,23.290001,24.23,8001600,23.893356
2016-01-11,25.059999,25.120001,23.870001,24.110001,8471900,23.775024
2016-01-08,24.76,25.33,24.60,24.799999,7103100,24.455436
2016-01-07,24.459999,25.07,24.35,24.57,7394500,24.228632
2016-01-06,24.75,24.99,24.559999,24.99,7235500,24.642797
2016-01-05,24.84,25.25,24.719999,25.15,9076200,24.800574
2016-01-04,24.02,24.74,23.82,24.74,7733600,24.396271
2015-12-31,23.559999,24.07,23.459999,23.940001,4734800,23.607386
2015-12-30,23.379999,24.02,23.32,23.73,7750800,23.400303
2015-12-29,24.07,24.370001,23.51,23.77,5591300,23.439748
2015-12-28,23.57,23.790001,23.120001,23.73,4637000,23.400303
2015-12-24,23.940001,24.16,23.809999,23.860001,2722900,23.528498
2015-12-23,23.360001,24.120001,23.27,23.950001,9529900,23.617248
2015-12-22,22.50,23.059999,22.450001,22.85,7919700,22.53253
2015-12-21,22.129999,22.469999,21.75,22.450001,7995800,22.138088
2015-12-18,22.83,22.969999,21.959999,21.969999,17511100,21.664756
2015-12-17,23.83,23.91,22.940001,22.940001,8707600,22.62128
2015-12-16,23.15,23.99,23.110001,23.92,7412100,23.587664
2015-12-15,23.07,23.690001,22.940001,23.209999,7569000,22.887527
2015-12-14,22.540001,23.139999,22.23,22.84,9936400,22.522669
2015-12-11,23.25,23.33,22.60,22.709999,8220600,22.394474
2015-12-10,23.879999,24.52,23.49,23.57,9930200,23.242526
2015-12-09,22.65,24.030001,22.549999,23.940001,13271700,23.607386
2015-12-08,21.709999,22.879999,21.43,22.299999,14391800,21.990171
2015-12-07,22.799999,22.799999,21.469999,22.059999,14926900,21.753505
2015-12-04,24.43,24.530001,23.440001,23.559999,8858200,23.232665
2015-12-03,25.459999,25.65,24.440001,24.639999,7991100,24.29766
2015-12-02,25.969999,26.00,25.15,25.33,5916100,24.978073
2015-12-01,26.25,26.59,25.709999,26.200001,6838200,25.835987
2015-11-30,26.690001,26.73,26.16,26.200001,9227400,25.835987
2015-11-27,26.799999,26.860001,26.48,26.629999,1629600,26.260011
2015-11-25,27.059999,27.190001,26.83,26.99,2739400,26.61501
2015-11-24,26.77,27.42,26.76,27.280001,4119000,26.900982
2015-11-23,26.610001,27.23,26.440001,26.940001,4177500,26.565705
2015-11-20,27.26,27.49,26.57,26.690001,3820100,26.319179
2015-11-19,27.52,27.58,26.940001,27.280001,3739300,26.900982
2015-11-18,27.35,27.74,26.92,27.50,4425600,27.117924
2015-11-17,27.370001,27.48,26.93,27.27,5405200,26.89112
2015-11-16,26.379999,27.42,26.35,27.41,5037300,27.029175
2015-11-13,26.290001,26.530001,25.809999,26.309999,4166800,25.944457
2015-11-12,26.48,26.719999,26.219999,26.389999,5667200,26.023346
2015-11-11,27.00,27.17,26.34,26.83,4877200,26.457233
2015-11-10,27.290001,27.549999,26.90,27.040001,4586400,26.664316
2015-11-09,27.950001,28.25,27.50,27.75,4396900,26.999592
2015-11-06,28.360001,28.40,27.620001,27.959999,5246600,27.203912
2015-11-05,28.73,29.23,28.110001,28.360001,5807700,27.593097
2015-11-04,28.77,30.00,28.549999,28.76,5681300,27.98228
2015-11-03,28.860001,29.639999,28.73,29.35,5625100,28.556325
2015-11-02,28.360001,28.969999,28.299999,28.790001,3443400,28.011469
2015-10-30,28.530001,28.84,28.10,28.57,3714300,27.797417
2015-10-29,28.10,28.629999,27.959999,28.49,2767000,27.719581
2015-10-28,27.83,28.469999,27.690001,28.24,5361900,27.476341
2015-10-27,27.889999,27.889999,27.00,27.709999,5421100,26.960673
2015-10-26,28.68,28.73,28.00,28.059999,3812500,27.301208
2015-10-23,28.459999,29.07,28.33,28.77,4160000,27.99201
2015-10-22,28.83,28.889999,28.01,28.50,6836900,27.729311
2015-10-21,28.959999,29.049999,28.52,28.74,4754300,27.96282
2015-10-20,28.99,29.469999,28.860001,28.98,3175900,28.19633
2015-10-19,28.940001,29.129999,28.65,29.110001,3708900,28.322816
2015-10-16,29.66,29.66,28.959999,29.35,3793300,28.556325
2015-10-15,29.059999,29.34,28.58,29.309999,3705500,28.517406
2015-10-14,29.02,29.09,28.58,28.959999,4791100,28.176871
2015-10-13,29.040001,29.60,28.93,29.040001,4150600,28.254709
2015-10-12,29.93,29.93,28.969999,29.35,4580500,28.556325
2015-10-09,30.43,30.43,29.709999,29.85,5136100,29.042805
2015-10-08,29.90,30.549999,29.58,30.379999,5397000,29.558471
2015-10-07,29.860001,30.379999,29.41,30.110001,5799000,29.295774
2015-10-06,29.40,29.889999,29.32,29.40,7768000,28.604973
2015-10-05,28.459999,29.530001,28.379999,29.440001,5295900,28.643892
2015-10-02,26.67,28.25,26.309999,28.25,6457700,27.486071
2015-10-01,26.57,27.09,26.50,26.940001,6504400,26.211496
2015-09-30,25.65,26.309999,25.50,26.27,6934900,25.559614
2015-09-29,26.610001,26.67,25.219999,25.34,9187900,24.654763
2015-09-28,27.50,27.74,26.389999,26.459999,8071800,25.744475
2015-09-25,27.629999,27.85,27.379999,27.76,5531200,27.009322
2015-09-24,27.27,27.48,26.780001,27.34,5445400,26.600679
2015-09-23,28.200001,28.33,27.40,27.42,4016900,26.678516
2015-09-22,27.91,28.389999,27.780001,28.030001,4789200,27.272021
2015-09-21,28.049999,28.51,27.91,28.26,3447100,27.495801
2015-09-18,28.049999,28.219999,27.77,27.92,6951300,27.164995
2015-09-17,28.370001,29.01,28.25,28.50,5361100,27.729311
2015-09-16,27.879999,28.43,27.879999,28.35,5348700,27.583367
2015-09-15,27.25,27.83,27.16,27.799999,6587200,27.048239
2015-09-14,27.15,27.389999,26.860001,27.129999,3836600,26.396357
2015-09-11,27.870001,28.33,26.98,27.280001,5598800,26.542302
2015-09-10,28.120001,28.280001,27.59,27.889999,6503200,27.135805
2015-09-09,28.76,28.83,27.809999,27.85,7044500,27.096888
2015-09-08,28.24,28.76,28.09,28.67,4622100,27.894714
2015-09-04,27.74,28.040001,27.59,27.870001,3766100,27.116348
2015-09-03,28.219999,28.940001,27.98,28.24,4872900,27.476341
2015-09-02,28.26,28.34,27.540001,28.049999,4154900,27.291479
2015-09-01,28.23,28.48,27.709999,27.92,6285100,27.164995
2015-08-31,28.639999,29.219999,28.07,29.07,6095500,28.283897
2015-08-28,28.07,29.110001,28.07,28.879999,8628700,28.099034
2015-08-27,27.540001,28.41,27.51,28.139999,8086400,27.379045
2015-08-26,26.91,27.18,26.32,27.139999,8296600,26.406087
2015-08-25,27.559999,27.620001,26.120001,26.129999,7688700,25.423399
2015-08-24,26.780001,27.860001,26.00,26.639999,10354500,25.919608
2015-08-21,28.08,28.459999,27.559999,27.719999,7465600,26.970402
2015-08-20,28.950001,29.09,28.18,28.219999,4772900,27.456882
2015-08-19,29.379999,29.49,28.58,28.959999,4273300,28.176871
2015-08-18,29.950001,29.969999,29.26,29.459999,4398500,28.66335
2015-08-17,30.040001,30.120001,29.65,29.950001,4619000,29.140101
2015-08-14,30.129999,30.35,29.889999,30.10,2767500,29.286044
2015-08-13,30.879999,30.98,30.00,30.129999,4605900,29.315232
2015-08-12,29.950001,30.799999,29.809999,30.790001,5663200,29.957386
2015-08-11,29.629999,30.02,29.27,29.99,5023700,29.179018
2015-08-10,28.91,30.139999,28.889999,30.049999,5671100,29.237395
2015-08-07,29.120001,29.92,29.110001,29.200001,7349300,28.050388
2015-08-06,29.040001,29.59,28.17,29.33,6589300,28.175269
2015-08-05,29.469999,30.85,28.809999,28.959999,11634300,27.819835
2015-08-04,29.41,29.459999,28.709999,28.969999,4665300,27.829442
2015-08-03,30.02,30.030001,29.190001,29.27,4325200,28.117632
2015-07-31,30.27,30.639999,30.16,30.26,3822600,29.068655
2015-07-30,30.51,30.73,30.120001,30.360001,4219100,29.164718
2015-07-29,29.93,30.59,29.870001,30.530001,4332900,29.328025
2015-07-28,29.26,30.25,29.26,30.040001,4972400,28.857317
2015-07-27,29.00,29.469999,28.82,29.209999,3908800,28.059993
2015-07-24,29.719999,29.719999,29.049999,29.309999,6805300,28.156056
2015-07-23,29.549999,29.73,29.389999,29.67,4283900,28.501883
2015-07-22,29.98,30.040001,29.18,29.459999,5264900,28.30015
2015-07-21,30.00,30.389999,29.90,30.08,3919100,28.895741
2015-07-20,30.440001,30.59,29.90,30.00,4124400,28.818891
