Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,29.125,29.125,29.125,29.125,000,29.125
2016-04-01,29.125,29.125,29.125,29.125,000,29.125
2016-03-31,29.125,29.125,29.125,29.125,000,29.125
2016-03-30,29.125,29.125,29.125,29.125,000,29.125
2016-03-29,29.125,29.125,29.125,29.125,000,29.125
2016-03-28,29.125,29.125,29.125,29.125,000,29.125
2016-03-24,29.125,29.125,29.125,29.125,000,29.125
2016-03-23,29.125,29.125,29.125,29.125,000,29.125
2016-03-22,29.125,29.125,29.125,29.125,000,29.125
2016-03-21,29.125,29.125,29.125,29.125,000,29.125
2016-03-18,29.125,29.125,29.125,29.125,000,29.125
2016-03-17,29.125,29.125,29.125,29.125,000,29.125
2016-03-16,29.125,29.125,29.125,29.125,000,29.125
2016-03-15,29.125,29.125,29.125,29.125,000,29.125
2016-03-14,29.125,29.125,29.125,29.125,000,29.125
2016-03-11,29.125,29.125,29.125,29.125,000,29.125
2016-03-10,29.125,29.125,29.125,29.125,000,29.125
2016-03-09,29.125,29.125,29.125,29.125,000,29.125
2016-03-08,29.125,29.125,29.125,29.125,000,29.125
2016-03-07,29.125,29.125,29.125,29.125,000,29.125
2016-03-04,29.125,29.125,29.125,29.125,000,29.125
2016-03-03,29.125,29.125,29.125,29.125,000,29.125
2016-03-02,29.125,29.125,29.125,29.125,000,29.125
2016-03-01,29.125,29.125,29.125,29.125,000,29.125
2016-02-29,29.125,29.125,29.125,29.125,000,29.125
2016-02-26,29.125,29.125,29.125,29.125,000,29.125
2016-02-25,29.125,29.125,29.125,29.125,000,29.125
2016-02-24,29.125,29.125,29.125,29.125,000,29.125
2016-02-23,29.125,29.125,29.125,29.125,000,29.125
2016-02-22,29.125,29.125,29.125,29.125,000,29.125
2016-02-19,29.125,29.125,29.125,29.125,000,29.125
2016-02-18,29.125,29.125,29.125,29.125,000,29.125
2016-02-17,29.125,29.125,29.125,29.125,000,29.125
2016-02-16,29.125,29.125,29.125,29.125,000,29.125
2016-02-15,29.125,29.125,29.125,29.125,000,29.125
2016-02-12,29.125,29.125,29.125,29.125,000,29.125
2016-02-11,29.125,29.125,29.125,29.125,000,29.125
2016-02-10,29.125,29.125,29.125,29.125,000,29.125
2016-02-09,29.125,29.125,29.125,29.125,000,29.125
2016-02-08,29.125,29.125,29.125,29.125,000,29.125
2016-02-05,29.125,29.125,29.125,29.125,000,29.125
2016-02-04,29.125,29.125,29.125,29.125,000,29.125
2016-02-03,29.125,29.125,29.125,29.125,000,29.125
2016-02-02,29.125,29.125,29.125,29.125,000,29.125
2016-02-01,29.125,29.125,29.125,29.125,000,29.125
2016-01-29,29.125,29.125,29.125,29.125,000,29.125
2016-01-28,29.125,29.125,29.125,29.125,000,29.125
2016-01-27,29.125,29.125,29.125,29.125,000,29.125
2016-01-26,29.125,29.125,29.125,29.125,000,29.125
2016-01-25,29.125,29.125,29.125,29.125,000,29.125
2016-01-22,28.50,30.00,28.38,29.125,98900,29.125
2016-01-21,26.25,29.726,24.306,28.875,237500,28.875
2016-01-20,31.00,34.00,27.75,29.125,136400,29.125
2016-01-19,34.00,34.00,31.50,32.875,81400,32.875
2016-01-18,28.50,33.75,26.50,32.375,335700,32.375
2016-01-15,27.25,28.94,27.25,27.25,60000,27.25
2016-01-14,28.00,29.75,27.755,28.625,50600,28.625
