Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,68.440002,68.440002,67.019997,67.260002,1057900,67.260002
2016-04-01,65.309998,67.470001,64.970001,67.410004,1743200,67.410004
2016-03-31,64.949997,66.769997,64.860001,65.50,1950800,65.50
2016-03-30,65.50,66.059998,64.599998,64.830002,619600,64.830002
2016-03-29,64.309998,64.940002,64.059998,64.790001,578000,64.790001
2016-03-28,64.099998,65.059998,63.68,64.639999,732300,64.639999
2016-03-24,62.970001,64.050003,62.290001,64.010002,798000,64.010002
2016-03-23,64.160004,64.419998,63.130001,63.48,954500,63.48
2016-03-22,64.449997,64.959999,63.75,64.110001,1206100,64.110001
2016-03-21,65.349998,65.989998,64.470001,64.919998,1140300,64.919998
2016-03-18,65.68,66.989998,64.800003,64.989998,3607900,64.989998
2016-03-17,65.650002,66.120003,65.230003,65.300003,1234900,65.300003
2016-03-16,65.629997,66.660004,64.75,65.540001,880900,65.540001
2016-03-15,65.190002,65.190002,65.190002,65.190002,000,65.190002
2016-03-14,64.410004,65.599998,64.050003,65.190002,1016100,65.190002
2016-03-11,64.00,65.00,63.880001,64.660004,798600,64.660004
2016-03-10,64.50,64.50,62.389999,63.34,653900,63.34
2016-03-09,63.560001,64.339996,63.150002,64.120003,704900,64.120003
2016-03-08,63.900002,64.279999,62.529999,63.139999,1614000,63.139999
2016-03-07,62.91,64.50,62.75,64.400002,1745200,64.400002
2016-03-04,63.119999,64.379997,62.139999,62.919998,2507600,62.919998
2016-03-03,61.00,63.490002,60.639999,62.939999,1550200,62.939999
2016-03-02,61.279999,61.34,59.869999,60.970001,1734100,60.970001
2016-03-01,60.119999,61.810001,59.889999,61.259998,1458700,61.259998
2016-02-29,59.580002,60.599998,59.00,59.240002,1264300,59.240002
2016-02-26,58.09,59.580002,57.880001,59.41,1343800,59.41
2016-02-25,57.860001,58.27,57.049999,57.799999,1552900,57.799999
2016-02-24,58.00,58.299999,56.560001,57.950001,1780200,57.700001
2016-02-23,57.130001,59.400002,56.34,58.040001,2856300,57.789613
2016-02-22,55.50,56.84,55.470001,55.830002,2418300,55.589148
2016-02-19,55.299999,55.82,54.450001,55.130001,849900,54.892167
2016-02-18,55.880001,56.509998,54.099998,55.32,1172500,55.081346
2016-02-17,54.200001,56.060001,54.200001,55.91,1529800,55.6688
2016-02-16,54.279999,54.52,52.619999,53.810001,2208400,53.577862
2016-02-12,53.689999,54.040001,52.650002,53.720001,1160600,53.48825
2016-02-11,53.080002,53.790001,52.209999,53.130001,2036900,52.900795
2016-02-10,53.98,54.849998,52.00,53.919998,2815700,53.687384
2016-02-09,58.439999,58.459999,54.869999,55.00,2705700,54.762726
2016-02-08,60.650002,60.98,57.860001,59.52,1658900,59.263227
