Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,47.049999,47.150002,46.709999,46.990002,2334600,46.990002
2016-04-01,46.57,47.150002,46.419998,47.080002,4026500,47.080002
2016-03-31,46.619999,46.900002,46.52,46.73,3230500,46.73
2016-03-30,46.18,46.779999,46.099998,46.630001,2940100,46.630001
2016-03-29,46.25,46.580002,46.029999,46.459999,3694500,46.15
2016-03-28,46.259998,46.470001,46.139999,46.240002,2512700,45.931471
2016-03-24,46.240002,46.419998,46.099998,46.240002,4348000,45.931471
2016-03-23,46.169998,46.59,46.09,46.349998,2954700,46.040734
2016-03-22,46.25,46.650002,46.16,46.34,3959300,46.030802
2016-03-21,46.41,46.689999,46.279999,46.349998,3504800,46.040734
2016-03-18,46.130001,46.66,46.009998,46.630001,9478200,46.318868
2016-03-17,46.080002,46.470001,45.869999,46.110001,3563000,45.802337
2016-03-16,45.790001,46.169998,45.580002,46.040001,2901500,45.732804
2016-03-15,45.599998,46.16,45.509998,45.869999,3683800,45.563937
2016-03-14,45.630001,45.93,45.529999,45.799999,3880600,45.494404
2016-03-11,45.549999,46.169998,45.43,45.84,4269900,45.534138
2016-03-10,45.27,45.610001,44.709999,45.099998,6682700,44.799074
2016-03-09,44.869999,45.419998,44.790001,45.040001,3558600,44.739477
2016-03-08,45.040001,45.389999,44.77,44.869999,3167400,44.570609
2016-03-07,44.810001,45.18,44.689999,45.09,2504800,44.789142
2016-03-04,44.810001,45.34,44.720001,45.02,2653000,44.71961
2016-03-03,44.799999,45.049999,44.639999,45.00,2667300,44.699743
2016-03-02,44.43,45.07,44.259998,45.029999,3551200,44.729541
2016-03-01,44.59,44.790001,44.360001,44.57,4581600,44.272612
2016-02-29,43.349998,44.32,43.09,44.130001,6310100,43.835549
2016-02-26,43.549999,43.740002,42.77,43.259998,3888100,42.971351
2016-02-25,43.110001,43.709999,43.00,43.560001,3631100,43.269352
2016-02-24,42.77,43.150002,42.50,43.099998,3690300,42.812419
2016-02-23,42.849998,43.150002,42.48,42.900002,5375400,42.613756
2016-02-22,44.549999,44.880001,42.049999,42.790001,16023100,42.50449
2016-02-19,44.360001,45.110001,44.34,44.990002,5328900,44.689811
2016-02-18,44.400002,44.540001,44.080002,44.52,4169600,44.222946
2016-02-17,43.93,44.529999,43.66,44.380001,4533400,44.083881
2016-02-16,43.279999,43.939999,43.209999,43.759998,5512600,43.468015
2016-02-12,42.77,43.330002,42.57,43.209999,4838600,42.921685
2016-02-11,42.470001,42.82,42.279999,42.610001,4739100,42.32569
2016-02-10,42.950001,43.380001,42.610001,42.709999,6945600,42.425022
2016-02-09,42.779999,43.150002,42.560001,42.610001,6732300,42.32569
2016-02-08,42.75,43.209999,42.560001,43.119999,6192900,42.832286
2016-02-05,43.880001,43.970001,42.950001,43.07,7310500,42.78262
2016-02-04,43.16,43.740002,43.00,43.439999,6663100,43.15015
2016-02-03,43.310001,43.560001,42.740002,43.23,9384600,42.941552
2016-02-02,42.52,43.240002,42.349998,42.790001,13275900,42.50449
2016-02-01,41.75,43.349998,41.400002,43.150002,19429100,42.862088
2016-01-29,39.57,39.959999,39.41,39.810001,6410100,39.544374
2016-01-28,39.43,39.759998,39.130001,39.50,4967800,39.236441
2016-01-27,39.310001,39.599998,39.07,39.310001,3412100,39.04771
2016-01-26,39.169998,39.610001,39.049999,39.25,3829700,38.988109
2016-01-25,39.610001,39.639999,38.970001,39.099998,6492600,38.839108
2016-01-22,39.77,39.77,39.330002,39.59,4372000,39.325841
2016-01-21,39.799999,39.869999,38.959999,39.400002,6134100,39.13711
2016-01-20,39.57,40.00,38.84,39.66,4772900,39.395373
2016-01-19,40.139999,40.310001,39.57,39.959999,4386200,39.693371
2016-01-15,39.299999,39.970001,39.169998,39.860001,6213600,39.594039
2016-01-14,40.169998,40.41,39.830002,40.130001,5017600,39.862238
2016-01-13,40.700001,40.869999,40.00,40.040001,4812900,39.772839
2016-01-12,40.310001,40.709999,40.209999,40.700001,4564000,40.428435
2016-01-11,39.860001,40.330002,39.810001,40.119999,4573400,39.852303
2016-01-08,39.939999,40.18,39.75,39.799999,4311100,39.534438
2016-01-07,39.709999,40.23,39.709999,39.790001,5704400,39.524507
2016-01-06,40.02,40.290001,39.84,40.189999,7391200,39.921836
2016-01-05,40.630001,40.759998,40.32,40.639999,3855100,40.060902
2016-01-04,40.529999,40.669998,40.279999,40.610001,5885400,40.031331
2015-12-31,41.25,41.330002,40.950001,41.00,3417800,40.415773
2015-12-30,41.549999,41.75,41.41,41.459999,2203000,40.869217
2015-12-29,41.639999,41.82,41.470001,41.529999,2133100,40.938219
2015-12-28,41.23,41.59,41.189999,41.509998,2137200,40.918504
2015-12-24,41.43,41.540001,41.299999,41.299999,938900,40.711497
2015-12-23,41.48,41.66,41.259998,41.549999,2436800,40.957935
2015-12-22,40.98,41.380001,40.880001,41.27,4612100,40.681926
2015-12-21,40.740002,40.990002,40.509998,40.860001,3511700,40.277768
2015-12-18,41.02,41.139999,40.549999,40.549999,7196400,39.972184
2015-12-17,41.540001,41.540001,41.209999,41.25,4054700,40.66221
2015-12-16,41.369999,41.610001,41.02,41.540001,3492200,40.948079
2015-12-15,40.939999,41.299999,40.93,41.139999,4271900,40.553777
2015-12-14,40.970001,41.25,40.77,41.209999,4547600,40.62278
2015-12-11,40.84,41.080002,40.759998,40.91,4634200,40.327055
2015-12-10,41.139999,41.279999,40.869999,41.110001,3610900,40.524206
2015-12-09,40.919998,41.369999,40.740002,41.130001,4496700,40.543921
2015-12-08,40.779999,41.310001,40.560001,41.169998,4457900,40.583349
2015-12-07,41.130001,41.330002,40.799999,41.07,4952000,40.484775
2015-12-04,40.650002,41.439999,40.650002,41.099998,5312400,40.514346
2015-12-03,41.07,41.290001,40.389999,40.509998,5370700,39.932753
2015-12-02,41.049999,41.23,40.919998,41.009998,2721400,40.425629
2015-12-01,41.34,41.41,40.98,41.040001,5645900,40.455204
2015-11-30,41.52,41.619999,41.09,41.099998,4553300,40.514346
2015-11-27,41.52,41.630001,41.290001,41.549999,1413200,40.957935
2015-11-25,41.32,41.740002,41.310001,41.50,2689800,40.908648
2015-11-24,41.189999,41.549999,41.00,41.32,4800700,40.731213
2015-11-23,41.02,41.509998,40.990002,41.400002,4785500,40.810075
2015-11-20,41.580002,41.689999,40.880001,40.919998,3563200,40.336911
2015-11-19,41.41,42.00,41.259998,41.400002,5467200,40.810075
2015-11-18,40.470001,41.209999,40.41,41.150002,3280100,40.563637
2015-11-17,40.599998,40.93,40.34,40.48,2900500,39.903182
2015-11-16,39.970001,40.619999,39.869999,40.59,3517500,40.011615
2015-11-13,40.130001,40.259998,39.689999,39.970001,7653500,39.400451
2015-11-12,40.18,40.369999,39.900002,40.220001,4659200,39.646889
2015-11-11,40.50,40.529999,40.290001,40.360001,4247100,39.784893
2015-11-10,40.400002,40.720001,40.299999,40.529999,2659900,39.952469
2015-11-09,40.77,40.919998,40.130001,40.470001,4330700,39.893326
2015-11-06,40.810001,41.009998,40.650002,40.93,3101600,40.346771
2015-11-05,40.790001,41.16,40.669998,41.060001,2414500,40.474919
2015-11-04,41.240002,41.470001,40.639999,40.790001,3340200,40.208766
2015-11-03,40.880001,41.009998,40.549999,40.959999,5389800,40.376342
2015-11-02,40.98,41.209999,40.200001,41.040001,6554800,40.455204
2015-10-30,41.650002,41.860001,41.25,41.25,6045500,40.66221
2015-10-29,41.470001,41.950001,41.369999,41.790001,2923300,41.194517
2015-10-28,41.619999,41.860001,41.150002,41.57,3540000,40.97765
2015-10-27,41.18,41.66,41.150002,41.630001,3624000,41.036797
2015-10-26,41.790001,41.799999,41.470001,41.490002,3580000,40.898792
2015-10-23,41.830002,41.939999,41.509998,41.759998,3490200,41.164942
2015-10-22,41.720001,42.029999,41.669998,41.709999,4269000,41.115655
2015-10-21,41.18,41.869999,41.00,41.540001,3696100,40.948079
2015-10-20,41.360001,41.529999,41.040001,41.09,3055700,40.50449
2015-10-19,41.290001,41.459999,41.110001,41.419998,2577100,40.829786
2015-10-16,40.880001,41.459999,40.810001,41.43,3114000,40.839646
2015-10-15,40.59,40.869999,40.419998,40.790001,2733500,40.208766
2015-10-14,41.139999,41.259998,40.299999,40.450001,4294500,39.873611
2015-10-13,41.009998,41.52,41.009998,41.240002,4876700,40.652355
2015-10-12,40.93,41.240002,40.869999,41.240002,2845300,40.652355
2015-10-09,41.00,41.07,40.73,40.93,4582800,40.346771
2015-10-08,40.509998,40.959999,40.279999,40.950001,4653400,40.366486
2015-10-07,40.139999,40.560001,40.029999,40.560001,4868700,39.982044
2015-10-06,40.139999,40.259998,39.799999,40.080002,6607000,39.508884
2015-10-05,39.599998,40.23,39.470001,40.209999,7938000,39.637029
2015-10-02,38.360001,39.41,38.34,39.400002,4810100,38.838573
2015-10-01,38.720001,38.900002,38.41,38.610001,5010000,38.05983
2015-09-30,39.029999,39.23,38.73,38.970001,4911000,38.4147
2015-09-29,38.880001,39.139999,38.720001,38.93,5080100,38.079543
2015-09-28,39.639999,39.84,38.709999,38.720001,6512900,37.874131
2015-09-25,39.889999,40.200001,39.41,39.73,7571400,38.862065
2015-09-24,39.32,39.810001,39.209999,39.709999,7543500,38.842502
2015-09-23,39.439999,39.490002,39.189999,39.450001,4591500,38.588183
2015-09-22,39.52,39.630001,39.240002,39.349998,5134900,38.490366
2015-09-21,39.509998,39.939999,39.41,39.849998,4925600,38.979443
2015-09-18,38.98,39.73,38.98,39.48,12607400,38.617527
2015-09-17,39.599998,39.860001,39.240002,39.509998,6160000,38.64687
2015-09-16,39.509998,39.59,39.099998,39.529999,7832100,38.666434
2015-09-15,39.970001,40.029999,39.029999,39.459999,8726000,38.597963
2015-09-14,39.830002,39.93,39.50,39.880001,4038100,39.00879
2015-09-11,39.470001,39.970001,39.169998,39.950001,5034200,39.07726
2015-09-10,39.52,39.73,39.220001,39.369999,7886700,38.509929
2015-09-09,40.27,40.310001,39.529999,39.599998,3918200,38.734904
2015-09-08,40.169998,40.169998,39.77,40.07,6046400,39.194638
2015-09-04,39.560001,39.740002,39.32,39.57,4840700,38.705561
2015-09-03,39.689999,40.119999,39.689999,39.91,5137000,39.038133
2015-09-02,39.360001,39.77,39.16,39.77,4627200,38.901192
2015-09-01,39.389999,39.389999,38.860001,39.080002,9320700,38.226267
2015-08-31,39.919998,39.990002,39.580002,39.869999,7574700,38.999006
2015-08-28,40.25,40.419998,39.740002,39.91,5344200,39.038133
2015-08-27,40.200001,40.529999,39.610001,40.299999,5485000,39.419613
2015-08-26,39.799999,40.040001,39.119999,39.950001,8679300,39.07726
2015-08-25,39.98,40.189999,39.040001,39.040001,9560900,38.18714
2015-08-24,38.740002,39.830002,38.119999,39.259998,13531300,38.402332
2015-08-21,40.48,40.68,39.669998,39.700001,7892600,38.832722
2015-08-20,40.75,41.02,40.52,40.549999,6354800,39.664151
2015-08-19,41.099998,41.150002,40.689999,40.959999,6957500,40.065194
2015-08-18,41.139999,41.34,41.02,41.150002,6704900,40.251046
2015-08-17,40.810001,41.369999,40.700001,41.150002,11117400,40.251046
2015-08-14,38.52,41.869999,38.419998,41.380001,30108300,40.476021
2015-08-13,38.689999,38.790001,38.240002,38.52,7792200,37.6785
2015-08-12,37.860001,38.77,37.650002,38.630001,8207700,37.786097
2015-08-11,37.419998,38.119999,37.380001,37.970001,9812300,37.140516
2015-08-10,37.189999,37.950001,36.91,37.59,14246200,36.768816
2015-08-07,35.759998,36.939999,35.73,36.93,11239700,36.123234
2015-08-06,36.599998,36.610001,35.970001,36.25,11785500,35.458089
2015-08-05,36.630001,36.860001,36.549999,36.759998,6263900,35.956946
2015-08-04,36.279999,36.470001,36.00,36.450001,8687200,35.653721
2015-08-03,36.02,36.360001,35.889999,36.27,2464100,35.477653
2015-07-31,36.23,36.50,36.139999,36.310001,3099200,35.51678
2015-07-30,36.099998,36.119999,35.919998,36.060001,3172500,35.272241
2015-07-29,36.07,36.34,35.990002,36.25,2742700,35.458089
2015-07-28,35.84,36.049999,35.619999,36.02,3925400,35.233114
2015-07-27,35.889999,35.889999,35.549999,35.779999,4181500,34.998355
2015-07-24,36.139999,36.139999,35.889999,36.00,3058800,35.213551
2015-07-23,36.200001,36.330002,36.07,36.139999,3469900,35.350492
2015-07-22,36.290001,36.41,36.139999,36.220001,3357600,35.428746
2015-07-21,36.25,36.419998,36.139999,36.299999,4290800,35.506996
2015-07-20,36.32,36.32,36.029999,36.27,2839500,35.477653
2015-07-17,36.09,36.360001,35.959999,36.349998,3565700,35.555903
2015-07-16,36.110001,36.220001,35.98,36.139999,2213000,35.350492
2015-07-15,36.18,36.310001,35.970001,36.029999,2385400,35.242894
2015-07-14,36.110001,36.23,36.009998,36.169998,2633400,35.379835
2015-07-13,36.16,36.32,36.07,36.119999,2975400,35.330928
2015-07-10,36.259998,36.32,36.009998,36.049999,2521100,35.262458
2015-07-09,36.41,36.470001,36.00,36.00,4578500,35.213551
2015-07-08,35.849998,36.220001,35.700001,36.049999,5114100,35.262458
2015-07-07,35.68,36.139999,35.450001,36.029999,4365700,35.242894
2015-07-06,35.700001,35.919998,35.50,35.68,8391000,34.900542
2015-07-02,36.00,36.09,35.740002,35.919998,5430200,35.135296
2015-07-01,35.900002,36.169998,35.77,35.990002,11503100,35.203771
2015-06-30,37.25,37.27,35.970001,36.099998,16803700,35.311364
2015-06-29,38.419998,38.419998,37.419998,37.540001,11969300,36.426464
2015-06-26,38.209999,38.43,38.099998,38.369999,10551300,37.231842
2015-06-25,38.700001,38.709999,38.060001,38.299999,9127700,37.163919
2015-06-24,37.209999,38.990002,37.130001,38.75,15418800,37.600572
2015-06-23,37.59,37.610001,37.450001,37.59,1965500,36.47498
2015-06-22,37.50,37.66,37.43,37.599998,2041700,36.484682
2015-06-19,37.290001,37.580002,37.27,37.380001,3980200,36.27121
2015-06-18,37.419998,37.700001,37.360001,37.400002,3026000,36.290618
2015-06-17,37.25,37.369999,37.00,37.310001,3743800,36.203287
2015-06-16,37.009998,37.290001,37.009998,37.25,2199600,36.145066
2015-06-15,36.709999,37.080002,36.68,37.009998,3488900,35.912183
2015-06-12,37.130001,37.189999,36.919998,36.919998,5712200,35.824852
2015-06-11,37.25,37.459999,37.119999,37.130001,6312100,36.028626
2015-06-10,37.23,37.439999,37.18,37.23,3804900,36.125658
2015-06-09,37.599998,37.599998,37.080002,37.099998,3119600,35.999514
2015-06-08,37.049999,37.189999,37.00,37.060001,2749200,35.960703
2015-06-05,37.439999,37.470001,37.029999,37.09,5086200,35.989812
2015-06-04,37.57,37.610001,37.349998,37.52,6661500,36.407057
2015-06-03,37.459999,37.599998,37.16,37.57,3835300,36.455573
2015-06-02,37.220001,37.41,37.040001,37.299999,3209500,36.193582
2015-06-01,37.209999,37.419998,37.07,37.23,4107900,36.125658
2015-05-29,37.240002,37.310001,37.099998,37.16,4846300,36.057735
2015-05-28,37.540001,37.57,37.209999,37.25,2315900,36.145066
2015-05-27,37.48,37.610001,37.310001,37.549999,1610100,36.436166
2015-05-26,37.580002,37.720001,37.389999,37.48,2623100,36.368243
2015-05-22,37.990002,38.029999,37.669998,37.669998,1985100,36.552605
2015-05-21,38.02,38.240002,37.790001,38.099998,2262700,36.969851
2015-05-20,38.310001,38.349998,37.93,38.07,2864600,36.940742
2015-05-19,38.209999,38.48,37.950001,38.299999,6950000,37.163919
2015-05-18,37.279999,37.580002,37.16,37.490002,2639400,36.377948
2015-05-15,37.360001,37.48,37.259998,37.27,3141100,36.164473
2015-05-14,37.00,37.48,36.919998,37.43,3854900,36.319727
2015-05-13,36.619999,36.939999,36.610001,36.849998,3188200,35.756929
2015-05-12,36.360001,36.700001,36.310001,36.610001,2430000,35.52405
2015-05-11,36.52,36.709999,36.369999,36.490002,2177900,35.407611
2015-05-08,36.59,36.709999,36.509998,36.610001,2663400,35.52405
2015-05-07,35.970001,36.560001,35.860001,36.369999,3509300,35.291168
2015-05-06,36.16,36.240002,35.84,35.970001,5775700,34.903035
2015-05-05,36.50,36.52,36.02,36.119999,8045900,35.048583
2015-05-04,36.799999,37.450001,36.599998,36.669998,5410400,35.582268
2015-05-01,37.119999,37.240002,36.849998,37.16,3928200,36.057735
2015-04-30,37.380001,37.459999,36.849998,37.029999,4295200,35.93159
2015-04-29,37.59,37.709999,37.380001,37.43,2383500,36.319727
2015-04-28,37.73,37.91,37.52,37.720001,1672500,36.601125
2015-04-27,37.93,38.130001,37.73,37.77,2814600,36.649641
2015-04-24,37.950001,38.07,37.740002,37.93,2925200,36.804895
2015-04-23,37.599998,38.099998,37.509998,37.950001,3361100,36.824302
2015-04-22,37.619999,37.73,37.32,37.630001,3977200,36.513795
2015-04-21,37.330002,37.700001,37.279999,37.599998,2353200,36.484682
2015-04-20,37.470001,37.84,37.279999,37.299999,2862300,36.193582
2015-04-17,37.080002,37.419998,37.009998,37.330002,3618700,36.222694
2015-04-16,37.50,37.650002,37.169998,37.32,2812700,36.212989
2015-04-15,37.810001,38.00,37.630001,37.66,1683300,36.542904
2015-04-14,37.630001,37.830002,37.529999,37.799999,2013500,36.67875
2015-04-13,38.110001,38.169998,37.57,37.610001,4033700,36.494388
2015-04-10,38.16,38.310001,38.040001,38.169998,2557900,37.037774
2015-04-09,38.099998,38.279999,38.040001,38.169998,2190700,37.037774
2015-04-08,37.970001,38.27,37.950001,38.150002,2822500,37.018371
2015-04-07,37.860001,38.240002,37.84,37.970001,2843900,36.84371
2015-04-06,37.549999,37.959999,37.52,37.830002,3914800,36.707863
2015-04-02,37.540001,38.029999,37.509998,37.639999,2986800,36.523497
2015-04-01,37.509998,37.549999,37.099998,37.529999,3717800,36.416759
2015-03-31,37.91,37.98,37.709999,37.73,3112500,36.610827
2015-03-30,38.189999,38.34,38.029999,38.259998,2859900,36.834002
2015-03-27,37.869999,38.299999,37.869999,38.16,3763800,36.737731
2015-03-26,38.00,38.07,37.810001,37.880001,2960100,36.468168
2015-03-25,38.400002,38.59,37.990002,38.00,3431500,36.583694
2015-03-24,38.66,38.869999,38.240002,38.240002,2950500,36.814751
2015-03-23,38.619999,38.900002,38.59,38.66,2766300,37.219095
2015-03-20,38.310001,38.75,38.310001,38.619999,4746200,37.180585
2015-03-19,38.459999,38.459999,38.009998,38.200001,3086800,36.776241
2015-03-18,38.48,38.73,38.009998,38.549999,4607400,37.113194
2015-03-17,38.509998,38.700001,38.419998,38.540001,2045900,37.103569
2015-03-16,38.68,38.740002,38.490002,38.709999,3000800,37.267231
2015-03-13,38.66,38.700001,38.310001,38.57,2864800,37.132449
2015-03-12,38.459999,38.799999,38.459999,38.799999,3087400,37.353877
2015-03-11,38.419998,38.509998,38.209999,38.400002,3029200,36.968787
2015-03-10,38.759998,38.759998,38.389999,38.450001,3507600,37.016923
2015-03-09,38.650002,39.040001,38.630001,38.939999,3909500,37.488658
2015-03-06,38.810001,38.889999,38.509998,38.650002,4098000,37.20947
2015-03-05,39.060001,39.279999,38.889999,39.119999,5057800,37.66195
2015-03-04,38.860001,39.029999,38.59,38.810001,5112100,37.363506
2015-03-03,38.869999,38.900002,38.639999,38.900002,3770200,37.450152
2015-03-02,38.990002,39.09,38.759998,38.970001,4895900,37.517542
2015-02-27,39.16,39.439999,38.959999,38.990002,4243400,37.536797
2015-02-26,39.470001,39.529999,39.099998,39.139999,4417500,37.681205
2015-02-25,39.720001,39.779999,39.330002,39.470001,2123000,37.998907
2015-02-24,39.48,39.630001,39.25,39.540001,3188800,38.066298
2015-02-23,39.700001,39.830002,39.50,39.599998,4582500,38.124059
2015-02-20,38.470001,39.700001,38.41,39.66,12301200,38.181824
2015-02-19,39.82,39.849998,38.490002,38.560001,9784400,37.122824
2015-02-18,39.610001,40.130001,39.50,39.91,5376700,38.422506
2015-02-17,39.360001,39.66,39.09,39.57,2842900,38.095178
2015-02-13,39.529999,39.639999,39.380001,39.540001,2609200,38.066298
2015-02-12,38.93,39.779999,38.919998,39.66,6681600,38.181824
2015-02-11,39.810001,39.959999,38.669998,38.919998,11706700,37.469403
2015-02-10,40.23,40.419998,39.740002,39.799999,5001000,38.316605
2015-02-09,40.34,40.48,39.990002,40.099998,4322000,38.605423
2015-02-06,39.759998,40.310001,39.700001,40.25,5019500,38.749834
2015-02-05,39.91,40.220001,39.77,39.869999,3796500,38.383996
2015-02-04,39.50,40.25,39.50,39.860001,4728700,38.37437
2015-02-03,38.73,39.639999,38.689999,39.540001,7456900,38.066298
2015-02-02,39.34,39.560001,38.02,38.43,9498600,36.997668
2015-01-30,39.66,39.810001,39.139999,39.169998,5121900,37.710085
2015-01-29,39.93,40.119999,39.650002,39.900002,4653300,38.412881
2015-01-28,40.880001,41.09,40.009998,40.099998,3069100,38.605423
2015-01-27,40.57,40.880001,40.299999,40.700001,2969600,39.183063
2015-01-26,40.900002,41.07,40.709999,40.93,2546200,39.40449
2015-01-23,40.740002,41.240002,40.57,40.98,3494200,39.452626
2015-01-22,40.560001,40.91,40.27,40.689999,4210600,39.173433
2015-01-21,39.50,40.400002,39.450001,40.290001,5527900,38.788344
2015-01-20,40.09,40.34,39.419998,39.560001,6785700,38.085553
2015-01-16,40.150002,40.540001,39.98,40.02,6454100,38.528407
2015-01-15,40.27,40.599998,40.18,40.259998,3347900,38.75946
2015-01-14,40.57,40.599998,40.02,40.27,4778000,38.769089
2015-01-13,41.060001,41.41,40.419998,40.75,3107800,39.231199
