Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,27.540001,27.540001,27.48,27.49,1333900,27.49
2016-04-01,27.51,27.559999,27.49,27.559999,2688400,27.559999
2016-03-31,27.51,27.530001,27.48,27.530001,2086500,27.530001
2016-03-30,27.52,27.530001,27.469999,27.530001,2211800,27.530001
2016-03-29,27.51,27.540001,27.49,27.52,2786200,27.52
2016-03-28,27.51,27.540001,27.450001,27.51,2590000,27.51
2016-03-24,27.459999,27.52,27.459999,27.51,1862700,27.51
2016-03-23,27.450001,27.50,27.43,27.49,970000,27.49
2016-03-22,27.469999,27.49,27.43,27.440001,2423600,27.440001
2016-03-21,27.450001,27.530001,27.43,27.49,1489500,27.49
2016-03-18,27.50,27.540001,27.43,27.459999,5595700,27.459999
2016-03-17,27.51,27.57,27.450001,27.549999,3175200,27.549999
2016-03-16,27.450001,27.549999,27.43,27.540001,3470700,27.540001
2016-03-15,27.450001,27.48,27.43,27.48,2033500,27.48
2016-03-14,27.440001,27.51,27.43,27.48,2061000,27.48
2016-03-11,27.469999,27.48,27.43,27.43,1932500,27.43
2016-03-10,27.459999,27.49,27.42,27.459999,3415000,27.459999
2016-03-09,27.469999,27.49,27.440001,27.459999,2021200,27.459999
2016-03-08,27.49,27.49,27.450001,27.459999,1894700,27.459999
2016-03-07,27.459999,27.52,27.43,27.52,1913900,27.52
2016-03-04,27.450001,27.51,27.43,27.50,2892100,27.50
2016-03-03,27.440001,27.49,27.42,27.49,1998100,27.49
2016-03-02,27.49,27.50,27.42,27.469999,2593200,27.469999
2016-03-01,27.50,27.540001,27.43,27.49,2509300,27.49
2016-02-29,27.49,27.52,27.370001,27.469999,10418900,27.469999
2016-02-26,27.49,27.530001,27.299999,27.459999,3471000,27.459999
2016-02-25,27.49,27.50,27.42,27.48,2423600,27.48
2016-02-24,27.43,27.50,27.42,27.49,2446800,27.49
2016-02-23,27.52,27.530001,27.43,27.440001,1673500,27.440001
2016-02-22,27.42,27.540001,27.42,27.540001,2166400,27.540001
2016-02-19,27.40,27.450001,27.25,27.450001,3335800,27.450001
2016-02-18,27.23,27.450001,27.23,27.43,3773400,27.43
2016-02-17,27.219999,27.32,27.15,27.24,2848500,27.24
2016-02-16,27.299999,27.299999,27.129999,27.190001,4393100,27.190001
2016-02-12,27.129999,27.34,27.09,27.18,2499700,27.18
2016-02-11,27.120001,27.23,27.059999,27.09,2310900,27.09
2016-02-10,27.17,27.360001,27.09,27.129999,2168700,27.129999
2016-02-09,27.15,27.43,27.15,27.360001,2782900,27.13
2016-02-08,27.25,27.280001,27.09,27.18,2121600,26.951513
2016-02-05,27.309999,27.41,27.18,27.280001,3116400,27.050672
2016-02-04,27.33,27.40,27.309999,27.370001,1415400,27.139916
2016-02-03,27.379999,27.450001,27.309999,27.34,1896800,27.110168
2016-02-02,27.309999,27.450001,27.280001,27.309999,2456000,27.080419
2016-02-01,27.190001,27.389999,27.15,27.389999,2385600,27.159746
2016-01-29,27.33,27.41,27.10,27.120001,3934700,26.892018
2016-01-28,27.200001,27.440001,27.129999,27.309999,2630800,27.080419
2016-01-27,27.01,27.219999,26.969999,27.219999,1984400,26.991175
2016-01-26,26.99,27.18,26.98,27.049999,1823800,26.822604
2016-01-25,27.00,27.07,26.940001,26.98,1754800,26.753193
2016-01-22,26.99,27.09,26.969999,27.040001,1582600,26.81269
2016-01-21,26.870001,27.02,26.780001,26.99,1694200,26.763109
2016-01-20,26.93,27.040001,26.690001,26.92,3423700,26.693698
2016-01-19,26.889999,27.110001,26.879999,27.09,1747400,26.862269
2016-01-15,26.84,26.98,26.780001,26.91,1950300,26.683782
2016-01-14,26.870001,27.02,26.860001,26.92,1779700,26.693698
2016-01-13,26.889999,26.98,26.76,26.860001,2213800,26.634203
2016-01-12,26.92,27.00,26.690001,26.969999,1771000,26.743277
2016-01-11,26.75,26.99,26.75,26.92,1479100,26.693698
2016-01-08,26.940001,26.98,26.66,26.68,1843500,26.455716
2016-01-07,26.76,26.940001,26.76,26.90,1599700,26.673866
2016-01-06,26.809999,27.00,26.75,26.90,976200,26.673866
2016-01-05,26.799999,27.07,26.73,26.99,1535400,26.763109
2016-01-04,26.559999,26.809999,26.50,26.809999,1333800,26.584622
2015-12-31,26.75,26.799999,26.559999,26.65,1880600,26.425967
2015-12-30,26.709999,26.93,26.709999,26.82,878900,26.594538
2015-12-29,26.66,26.799999,26.65,26.77,1017700,26.54496
2015-12-28,26.639999,26.690001,26.620001,26.65,881900,26.425967
2015-12-24,26.66,26.799999,26.639999,26.719999,336900,26.495379
2015-12-23,26.540001,26.76,26.540001,26.709999,986700,26.485463
2015-12-22,26.389999,26.58,26.25,26.52,2097000,26.297061
2015-12-21,26.459999,26.559999,26.26,26.389999,2123100,26.168153
2015-12-18,26.780001,26.82,26.35,26.42,11230400,26.197901
2015-12-17,26.860001,26.969999,26.77,26.780001,1296800,26.554876
2015-12-16,26.83,26.99,26.709999,26.870001,1813200,26.644119
2015-12-15,26.75,26.83,26.66,26.809999,1381800,26.584622
2015-12-14,26.65,26.73,26.559999,26.620001,1634800,26.396221
2015-12-11,26.610001,26.77,26.59,26.66,1297100,26.435884
2015-12-10,26.629999,26.809999,26.559999,26.74,3583100,26.515211
2015-12-09,26.60,26.73,26.50,26.700001,987800,26.475548
