Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,82.889999,83.360001,82.120003,82.300003,3753600,82.300003
2016-04-01,81.760002,83.190002,81.760002,82.760002,4265300,82.760002
2016-03-31,82.50,83.150002,80.980003,82.279999,9456100,82.279999
2016-03-30,83.419998,83.900002,82.970001,83.599998,3190900,83.599998
2016-03-29,82.860001,83.269997,82.120003,82.970001,3561300,82.970001
2016-03-28,82.379997,83.440002,82.309998,82.800003,5692900,82.800003
2016-03-24,81.360001,82.18,81.18,82.040001,4304900,82.040001
2016-03-23,81.730003,82.349998,81.50,81.50,4715900,81.50
2016-03-22,82.389999,82.620003,81.650002,81.699997,5252100,81.699997
2016-03-21,82.50,82.900002,82.129997,82.199997,4653800,82.199997
2016-03-18,83.370003,84.00,82.699997,82.709999,7680400,82.709999
2016-03-17,82.260002,83.32,82.260002,83.019997,5689900,83.019997
2016-03-16,81.889999,82.449997,80.959999,82.389999,4059800,82.389999
2016-03-15,81.360001,81.889999,81.18,81.650002,3213000,81.650002
2016-03-14,81.849998,82.099998,81.269997,81.769997,3542400,81.769997
2016-03-11,81.889999,82.449997,81.519997,81.870003,4089000,81.870003
2016-03-10,81.610001,82.029999,80.300003,81.50,5694800,81.50
2016-03-09,81.00,81.50,80.589996,81.209999,3573100,81.209999
2016-03-08,80.550003,81.400002,80.459999,80.529999,3964800,80.529999
2016-03-07,80.529999,81.199997,80.25,80.82,4644200,80.82
2016-03-04,80.07,81.599998,79.459999,81.129997,6057400,81.129997
2016-03-03,80.510002,80.690002,78.57,79.709999,11348800,79.709999
2016-03-02,80.940002,81.639999,80.18,81.099998,9188700,81.099998
2016-03-01,79.120003,81.050003,78.879997,80.959999,7157900,80.959999
2016-02-29,78.269997,79.169998,78.019997,78.449997,5131200,78.449997
2016-02-26,78.900002,78.970001,77.32,78.43,5183500,78.43
2016-02-25,77.00,78.82,76.160004,78.669998,8360100,78.669998
2016-02-24,74.389999,77.00,73.400002,76.940002,14917400,76.940002
2016-02-23,72.830002,74.379997,72.669998,73.989998,5755900,73.989998
2016-02-22,72.32,73.25,72.260002,72.470001,4760300,72.470001
2016-02-19,72.199997,72.32,70.559998,72.32,4384600,72.32
2016-02-18,70.949997,72.669998,69.50,72.529999,5383500,72.529999
2016-02-17,72.199997,72.650002,71.519997,72.099998,4923100,72.099998
2016-02-16,70.620003,71.559998,69.699997,71.50,3922400,71.50
2016-02-12,68.029999,69.980003,67.43,69.949997,4651800,69.949997
2016-02-11,68.32,69.169998,67.650002,68.050003,3846100,67.490002
2016-02-10,70.43,70.699997,68.57,68.760002,4691200,68.194158
2016-02-09,69.800003,70.470001,68.970001,69.860001,5110600,69.285105
2016-02-08,69.18,70.290001,68.239998,70.00,5392400,69.423952
2016-02-05,70.040001,70.75,69.449997,69.559998,3764200,68.987571
2016-02-04,70.669998,70.669998,69.129997,70.040001,7650400,69.463624
2016-02-03,73.860001,73.940002,71.599998,72.57,5444900,71.972803
2016-02-02,72.709999,73.410004,72.32,73.309998,4635500,72.706711
2016-02-01,71.25,73.209999,70.330002,72.830002,4714900,72.230665
2016-01-29,71.139999,72.529999,71.019997,72.419998,5184500,71.824035
2016-01-28,71.309998,71.440002,70.18,70.989998,4073300,70.405803
2016-01-27,70.209999,71.870003,70.080002,70.690002,3961400,70.108276
2016-01-26,69.389999,70.650002,69.010002,70.440002,4052600,69.860334
2016-01-25,69.769997,69.989998,68.849998,68.919998,5312200,68.352838
2016-01-22,69.18,69.980003,69.139999,69.720001,3740800,69.146258
2016-01-21,68.07,69.669998,67.540001,68.639999,6869300,68.075143
2016-01-20,68.220001,68.620003,66.459999,67.589996,9395700,67.033781
2016-01-19,69.849998,70.559998,68.699997,69.239998,5645400,68.670204
2016-01-15,68.830002,70.589996,68.830002,70.080002,7435800,69.503296
2016-01-14,71.620003,71.639999,70.00,70.410004,6283200,69.830582
2016-01-13,73.290001,73.75,71.550003,71.639999,5963500,71.050456
2016-01-12,72.970001,73.550003,72.629997,73.360001,4851100,72.756302
2016-01-11,71.529999,72.75,70.510002,72.419998,6369700,71.824035
2016-01-08,74.209999,74.790001,71.269997,71.379997,7749000,70.792593
2016-01-07,73.580002,76.00,73.489998,73.879997,11289900,73.27202
