Date,Open,High,Low,Close,Volume,Adj Close
2016-04-05,13600.00,14900.00,13600.00,14600.00,102300,14600.00
2016-04-04,14500.00,14800.00,14000.00,14000.00,57300,14000.00
2016-04-01,13600.00,14800.00,13600.00,14200.00,27200,14200.00
2016-03-31,13400.00,15000.00,13400.00,14100.00,39700,14100.00
2016-03-30,14100.00,14900.00,13800.00,14100.00,70400,14100.00
2016-03-29,15300.00,15400.00,14400.00,14500.00,26900,14500.00
2016-03-28,15500.00,15500.00,14500.00,15300.00,56800,15300.00
2016-03-25,15500.00,15500.00,15000.00,15500.00,459400,15500.00
2016-03-24,14500.00,14500.00,14500.00,14500.00,8500,14500.00
2016-03-23,13600.00,13600.00,13600.00,13600.00,63000,13600.00
2016-03-22,12800.00,12800.00,12700.00,12800.00,125200,12800.00
2016-03-21,12000.00,12000.00,12000.00,12000.00,4855500,12000.00
2016-03-18,12000.00,12000.00,11300.00,11300.00,192900,11300.00
2016-03-17,11300.00,11300.00,11300.00,11300.00,17000,11300.00
2016-03-16,10600.00,11200.00,10600.00,10600.00,36100,10600.00
2016-03-15,10500.00,11000.00,10500.00,10500.00,11300,10500.00
2016-03-14,11000.00,11200.00,10600.00,10600.00,5300,10600.00
2016-03-11,11300.00,11300.00,10700.00,10700.00,1700,10700.00
2016-03-10,11700.00,11700.00,11300.00,11300.00,4600,11300.00
2016-03-09,11600.00,11600.00,11000.00,11200.00,13900,11200.00
2016-03-08,12200.00,12200.00,11700.00,11700.00,3200,11700.00
2016-03-07,11700.00,12500.00,11700.00,11700.00,1900,11700.00
2016-03-04,11500.00,12100.00,11500.00,11700.00,101800,11700.00
2016-03-03,11400.00,11400.00,11400.00,11400.00,7900,11400.00
2016-03-02,11200.00,11300.00,10700.00,10700.00,28500,10700.00
2016-03-01,11400.00,11400.00,10600.00,10600.00,1700,10600.00
2016-02-29,11200.00,11200.00,10900.00,11100.00,700,11100.00
2016-02-26,11200.00,11200.00,10900.00,10900.00,1100,10900.00
2016-02-25,11400.00,11400.00,11000.00,11000.00,1500,11000.00
2016-02-24,11200.00,11200.00,11200.00,11200.00,000,11200.00
2016-02-23,11000.00,11300.00,11000.00,11000.00,4000,11000.00
2016-02-22,10600.00,11000.00,10600.00,11000.00,9500,11000.00
2016-02-19,10800.00,10800.00,10800.00,10800.00,000,10800.00
2016-02-18,11000.00,11000.00,11000.00,11000.00,000,11000.00
2016-02-17,11100.00,11100.00,11100.00,11100.00,000,11100.00
2016-02-16,11100.00,11100.00,11100.00,11100.00,000,11100.00
2016-02-15,11100.00,11100.00,11100.00,11100.00,000,11100.00
2016-02-12,11000.00,11000.00,11000.00,11000.00,000,11000.00
2016-02-11,11000.00,11000.00,11000.00,11000.00,000,11000.00
2016-02-10,11000.00,11000.00,11000.00,11000.00,000,11000.00
2016-02-09,11000.00,11000.00,11000.00,11000.00,000,11000.00
2016-02-08,11000.00,11000.00,11000.00,11000.00,000,11000.00
2016-02-05,11300.00,11300.00,11000.00,11000.00,2600,11000.00
2016-02-04,11000.00,11000.00,11000.00,11000.00,000,11000.00
2016-02-03,11000.00,11000.00,11000.00,11000.00,000,11000.00
2016-02-02,11000.00,11000.00,11000.00,11000.00,000,11000.00
2016-02-01,11000.00,11000.00,11000.00,11000.00,000,11000.00
2016-01-29,10800.00,11000.00,10800.00,11000.00,400,11000.00
2016-01-28,10900.00,10900.00,10900.00,10900.00,000,10900.00
2016-01-27,10900.00,10900.00,10900.00,10900.00,000,10900.00
2016-01-26,10900.00,10900.00,10900.00,10900.00,000,10900.00
2016-01-25,10400.00,10400.00,10400.00,10400.00,000,10400.00
2016-01-22,9500.00,10000.00,9500.00,10000.00,1300,10000.00
2016-01-21,10200.00,10200.00,10200.00,10200.00,000,10200.00
2016-01-20,10300.00,10300.00,10200.00,10300.00,1300,10300.00
2016-01-19,10900.00,10900.00,10900.00,10900.00,000,10900.00
2016-01-18,10900.00,10900.00,10900.00,10900.00,000,10900.00
2016-01-15,10900.00,10900.00,10900.00,10900.00,000,10900.00
2016-01-14,10900.00,10900.00,10900.00,10900.00,000,10900.00
2016-01-13,10900.00,10900.00,10700.00,10900.00,300,10900.00
2016-01-12,11400.00,11400.00,11400.00,11400.00,000,11400.00
2016-01-11,10300.00,10800.00,10300.00,10800.00,300,10800.00
2016-01-08,10800.00,10800.00,10800.00,10800.00,000,10800.00
2016-01-07,10800.00,10800.00,10800.00,10800.00,000,10800.00
2016-01-06,11000.00,11000.00,10800.00,10800.00,000,10800.00
2016-01-05,10600.00,10700.00,10600.00,10700.00,4500,10700.00
2016-01-04,10600.00,10600.00,10600.00,10600.00,100,10600.00
2016-01-01,10700.00,10700.00,10700.00,10700.00,000,10700.00
2015-12-31,10700.00,10700.00,10700.00,10700.00,2500,10700.00
2015-12-30,10700.00,10700.00,10700.00,10700.00,000,10700.00
2015-12-29,10900.00,10900.00,10700.00,10700.00,000,10700.00
2015-12-28,10200.00,10600.00,10200.00,10600.00,13300,10600.00
2015-12-25,10200.00,10400.00,10200.00,10400.00,200,10400.00
2015-12-24,10300.00,10500.00,10200.00,10500.00,5500,10500.00
2015-12-23,10600.00,10600.00,10600.00,10600.00,000,10600.00
2015-12-22,10500.00,10600.00,10500.00,10600.00,300,10600.00
2015-12-21,10400.00,10600.00,10300.00,10300.00,20100,10300.00
2015-12-18,11000.00,11000.00,11000.00,11000.00,500,11000.00
2015-12-17,11800.00,11800.00,10700.00,11100.00,6000,11100.00
2015-12-16,11300.00,11300.00,11300.00,11300.00,000,11300.00
2015-12-15,11000.00,11300.00,11000.00,11300.00,2200,11300.00
2015-12-14,11200.00,11200.00,11200.00,11200.00,000,11200.00
2015-12-11,11000.00,11200.00,11000.00,11200.00,500,11200.00
2015-12-10,11100.00,11100.00,11100.00,11100.00,000,11100.00
2015-12-09,10800.00,11100.00,10700.00,11100.00,5000,11100.00
2015-12-08,11300.00,11300.00,11300.00,11300.00,000,11300.00
