Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,81.839996,85.00,81.769997,83.830002,2095900,83.830002
2016-04-01,85.010002,85.389999,82.150002,82.949997,3067300,82.949997
2016-03-31,85.959999,86.910004,83.339996,86.010002,3460400,86.010002
2016-03-30,90.760002,91.059998,85.75,86.470001,2582300,86.470001
2016-03-29,89.32,90.150002,87.510002,89.720001,1724700,89.720001
2016-03-28,92.00,92.839996,89.410004,90.010002,2356300,90.010002
2016-03-24,90.050003,93.50,89.849998,92.489998,2742900,92.489998
2016-03-23,91.360001,92.269997,89.980003,90.620003,1913200,90.620003
2016-03-22,88.779999,93.489998,88.779999,91.589996,1953100,91.589996
2016-03-21,89.519997,90.650002,89.199997,89.57,1374700,89.57
2016-03-18,88.029999,91.349998,87.279999,89.760002,2867400,89.760002
2016-03-17,86.519997,88.68,84.720001,87.699997,2463900,87.699997
2016-03-16,86.910004,88.150002,86.150002,87.910004,1927300,87.910004
2016-03-15,85.720001,86.629997,83.769997,86.610001,1910400,86.610001
2016-03-14,87.879997,88.910004,85.260002,86.730003,3994300,86.730003
2016-03-11,86.919998,89.330002,85.230003,88.860001,2096600,88.860001
2016-03-10,88.50,88.580002,84.489998,86.080002,2662500,86.080002
2016-03-09,84.919998,90.089996,84.839996,88.50,2858900,88.50
2016-03-08,85.330002,86.25,83.860001,84.00,1922200,84.00
2016-03-07,83.68,87.370003,83.00,85.629997,2087800,85.629997
2016-03-04,86.699997,86.800003,84.089996,84.800003,2582400,84.800003
2016-03-03,83.599998,86.470001,83.040001,85.989998,2975400,85.989998
2016-03-02,83.43,84.459999,80.029999,82.190002,2356500,82.190002
2016-03-01,81.019997,83.660004,79.019997,83.620003,2855800,83.620003
2016-02-29,80.669998,82.279999,79.889999,80.68,2449100,80.68
2016-02-26,78.900002,81.989998,78.410004,80.349998,2699500,80.349998
2016-02-25,78.559998,79.110001,76.110001,77.75,2819800,77.75
2016-02-24,74.839996,79.080002,74.540001,78.949997,3405600,78.449998
2016-02-23,75.589996,78.599998,75.25,75.519997,3587100,75.04172
2016-02-22,73.779999,77.230003,73.32,76.32,4178100,75.836657
2016-02-19,68.290001,72.459999,68.040001,72.160004,5236300,71.703006
2016-02-18,71.470001,71.540001,67.800003,68.639999,3347100,68.205295
2016-02-17,70.980003,71.959999,69.529999,70.519997,3916500,70.073386
2016-02-16,72.540001,72.790001,68.769997,70.43,3198200,69.983959
2016-02-12,73.300003,74.220001,70.050003,71.07,3540300,70.619905
2016-02-11,72.889999,73.849998,70.599998,72.010002,2740000,71.553955
2016-02-10,73.989998,75.25,70.699997,74.010002,2987700,73.541288
2016-02-09,71.93,75.239998,71.720001,73.620003,2716400,73.153759
2016-02-08,74.57,74.57,70.480003,72.949997,3643400,72.487996
2016-02-05,79.260002,80.739998,75.980003,76.239998,3025600,75.757161
2016-02-04,79.120003,82.00,77.18,79.790001,3655400,79.284682
2016-02-03,81.110001,81.110001,75.809998,79.209999,4808200,78.708353
2016-02-02,85.269997,85.760002,79.349998,80.529999,4693600,80.019993
2016-02-01,86.389999,88.290001,85.25,87.760002,2308700,87.204208
2016-01-29,84.120003,87.25,83.00,87.25,2283700,86.697436
2016-01-28,84.800003,85.800003,82.419998,83.75,2189100,83.219602
2016-01-27,86.150002,86.150002,82.410004,82.809998,2853500,82.285553
2016-01-26,86.690002,86.919998,84.720001,86.50,2185200,85.952186
2016-01-25,89.519997,90.510002,85.629997,85.720001,1982500,85.177127
2016-01-22,87.550003,92.290001,86.809998,90.730003,2859100,90.1554
2016-01-21,86.699997,87.18,83.900002,85.239998,2783400,84.700163
2016-01-20,86.949997,88.610001,83.300003,87.190002,3657800,86.637818
2016-01-19,93.639999,95.120003,87.75,89.599998,3149600,89.032552
2016-01-15,92.849998,94.370003,91.360001,92.709999,3342000,92.122856
2016-01-14,92.110001,96.870003,89.300003,96.489998,3298600,95.878916
2016-01-13,104.169998,104.169998,90.809998,91.919998,5325400,91.337858
2016-01-12,102.160004,105.18,101.650002,104.650002,1943100,103.987241
2016-01-11,101.550003,103.75,99.150002,101.07,3020400,100.429912
2016-01-08,107.190002,108.00,101.110001,101.620003,4842200,100.976432
2016-01-07,104.199997,107.290001,103.900002,107.029999,2670100,106.352166
2016-01-06,104.089996,106.959999,103.949997,106.370003,2759600,105.69635
2016-01-05,106.940002,108.099998,105.059998,106.279999,2233000,105.606916
2016-01-04,104.830002,109.239998,104.779999,107.099998,2987700,106.421722
2015-12-31,103.730003,106.93,103.440002,105.370003,1785500,104.702683
2015-12-30,102.230003,105.360001,101.660004,104.279999,1315500,103.619582
2015-12-29,103.669998,104.25,102.269997,102.879997,1105400,102.228447
2015-12-28,103.589996,104.07,101.389999,102.419998,1147400,101.771361
2015-12-24,104.459999,105.160004,102.989998,104.470001,543000,103.808381
2015-12-23,104.769997,105.139999,102.660004,105.040001,1351000,104.374771
2015-12-22,105.199997,105.970001,102.459999,102.940002,1426800,102.288072
2015-12-21,104.82,105.949997,103.300003,105.18,1323100,104.513884
2015-12-18,105.949997,107.230003,104.32,104.32,3083100,103.659329
2015-12-17,105.300003,107.699997,104.290001,105.949997,2072700,105.279004
2015-12-16,102.440002,106.580002,102.440002,104.790001,2116500,104.126354
2015-12-15,102.220001,103.900002,100.610001,101.940002,2180500,101.294405
2015-12-14,99.989998,102.029999,98.07,101.830002,2650100,101.185101
2015-12-11,105.360001,105.370003,100.239998,100.599998,2985300,99.962887
2015-12-10,106.589996,108.669998,105.440002,107.050003,2796900,106.372043
2015-12-09,112.18,112.489998,107.139999,107.769997,2553700,107.087477
2015-12-08,108.730003,113.589996,108.50,112.269997,2370500,111.558978
2015-12-07,111.330002,113.610001,108.620003,110.559998,1969600,109.859809
2015-12-04,110.559998,113.099998,110.199997,112.370003,1747300,111.658351
2015-12-03,113.169998,114.120003,109.699997,110.230003,1764800,109.531904
2015-12-02,117.00,118.260002,112.379997,112.75,1875100,112.035942
2015-12-01,115.889999,117.860001,114.080002,117.809998,1720600,117.063894
2015-11-30,117.980003,118.089996,113.50,115.169998,2101100,114.440614
2015-11-27,116.779999,118.099998,115.959999,117.220001,499200,116.477634
2015-11-25,117.629997,118.690002,116.699997,117.300003,1339200,116.557129
2015-11-24,117.220001,119.669998,115.919998,118.239998,2217700,116.994339
2015-11-23,114.489998,117.860001,113.709999,117.589996,1712400,116.351186
2015-11-20,113.949997,115.199997,113.730003,114.440002,1219100,113.234377
2015-11-19,114.029999,115.139999,112.18,113.790001,1741100,112.591223
2015-11-18,113.489998,114.480003,110.919998,113.75,1771500,112.551644
2015-11-17,113.43,114.580002,113.040001,113.449997,1344200,112.254801
2015-11-16,111.690002,113.550003,110.940002,113.43,1270900,112.235015
2015-11-13,111.470001,113.919998,110.900002,111.660004,1876500,110.483665
2015-11-12,113.410004,114.330002,110.879997,111.620003,1888100,110.444086
2015-11-11,115.18,116.449997,114.00,114.580002,1486000,113.372901
2015-11-10,112.43,115.839996,110.75,115.099998,1643600,113.88742
2015-11-09,113.760002,114.870003,111.540001,112.68,1528900,111.492916
2015-11-06,115.00,116.519997,112.57,113.690002,1847900,112.492278
2015-11-05,114.779999,116.889999,114.010002,115.400002,2132800,114.184262
2015-11-04,112.959999,115.059998,112.18,114.580002,2611200,113.372901
2015-11-03,111.400002,113.199997,109.629997,112.529999,2066500,111.344495
2015-11-02,107.339996,112.150002,107.00,111.349998,2922700,110.176926
2015-10-30,109.190002,109.580002,106.879997,106.93,2522600,105.803493
2015-10-29,105.779999,109.849998,104.650002,108.989998,2898500,107.841788
2015-10-28,104.610001,107.110001,102.75,105.279999,2858300,104.170874
2015-10-27,102.769997,104.629997,102.599998,104.489998,1543600,103.389196
2015-10-26,103.519997,104.559998,102.720001,103.440002,1078900,102.350262
2015-10-23,101.82,105.160004,101.389999,103.629997,1385000,102.538255
2015-10-22,101.00,101.949997,99.889999,101.529999,1751000,100.46038
2015-10-21,101.260002,101.559998,99.589996,100.239998,1668600,99.183969
2015-10-20,102.139999,102.18,99.099998,100.910004,1625100,99.846917
2015-10-19,104.330002,104.50,102.18,102.540001,1527000,101.459742
2015-10-16,103.639999,104.940002,102.769997,104.889999,1848700,103.784983
2015-10-15,99.879997,103.580002,99.330002,103.510002,2036000,102.419524
2015-10-14,100.190002,100.470001,98.339996,98.989998,2146500,97.947138
2015-10-13,103.230003,104.040001,99.959999,100.07,2034300,99.015762
2015-10-12,103.529999,104.610001,102.730003,103.629997,1487700,102.538255
2015-10-09,104.110001,104.889999,100.910004,103.400002,2554800,102.310682
2015-10-08,102.809998,104.980003,102.139999,104.410004,2555700,103.310044
2015-10-07,103.669998,104.309998,100.169998,102.970001,3508900,101.885212
2015-10-06,104.550003,105.00,101.370003,103.099998,3622300,102.01384
2015-10-05,102.690002,105.540001,101.93,104.849998,2846500,103.745404
2015-10-02,99.309998,101.610001,97.860001,101.540001,2347400,100.470277
2015-10-01,97.040001,100.540001,95.370003,100.290001,3110300,99.233446
2015-09-30,99.43,100.559998,96.199997,97.239998,4291900,96.215574
2015-09-29,98.879997,100.879997,97.389999,98.330002,2069300,97.294095
2015-09-28,100.57,103.040001,96.309998,98.379997,3220800,97.343564
2015-09-25,100.879997,103.050003,99.739998,101.529999,2668600,100.46038
2015-09-24,98.660004,100.93,97.339996,100.400002,3067400,99.342287
2015-09-23,94.790001,99.260002,94.75,98.980003,4381200,97.937249
2015-09-22,92.610001,95.050003,92.080002,94.360001,2064700,93.365918
2015-09-21,93.239998,96.00,92.660004,93.68,2488000,92.693081
