Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,205.949997,206.660004,205.039993,205.990005,1757700,205.990005
2016-04-01,204.50,206.520004,204.059998,205.029999,1736600,205.029999
2016-03-31,205.880005,206.00,203.550003,204.619995,1533000,204.619995
2016-03-30,205.50,205.880005,203.880005,205.789993,1244000,205.789993
2016-03-29,203.520004,205.970001,203.490005,205.279999,1705900,204.530003
2016-03-28,202.789993,203.630005,202.300003,203.169998,1585400,202.427711
2016-03-24,204.449997,204.529999,201.869995,202.699997,1499500,201.959427
2016-03-23,205.229996,205.75,204.320007,204.449997,1650700,203.703034
2016-03-22,204.100006,205.639999,203.350006,205.229996,1917800,204.480183
2016-03-21,202.970001,204.580002,202.429993,204.330002,1786000,203.583477
2016-03-18,203.520004,204.369995,202.830002,202.899994,3121300,202.158693
2016-03-17,202.089996,204.130005,201.809998,203.309998,3021100,202.567199
2016-03-16,196.720001,203.320007,196.720001,202.190002,5792400,201.451296
2016-03-15,194.279999,195.740005,193.880005,195.679993,1002400,194.965071
2016-03-14,195.899994,196.00,195.00,195.070007,1420500,194.357314
2016-03-11,196.00,196.00,194.509995,195.910004,1294400,195.194241
2016-03-10,195.350006,195.979996,193.029999,194.470001,2216600,193.7595
2016-03-09,194.679993,195.479996,193.679993,195.479996,2291600,194.765804
2016-03-08,194.610001,195.410004,193.449997,193.470001,1832200,192.763153
2016-03-07,194.669998,195.669998,193.869995,195.229996,1130800,194.516718
2016-03-04,194.679993,195.399994,193.520004,195.330002,1775100,194.616359
2016-03-03,193.460007,195.740005,192.839996,194.429993,2291200,193.719638
2016-03-02,192.559998,194.160004,192.199997,193.410004,2826900,192.703375
2016-03-01,192.600006,194.490005,190.839996,194.490005,3615400,193.779431
2016-02-29,192.619995,194.410004,190.860001,190.860001,3492200,190.162689
2016-02-26,193.490005,194.110001,192.119995,192.50,2038300,191.796696
2016-02-25,190.470001,194.00,189.860001,193.470001,3498300,192.763153
2016-02-24,189.429993,190.149994,187.229996,189.860001,1552400,189.166342
2016-02-23,190.220001,191.419998,189.360001,189.429993,1782300,188.737905
2016-02-22,190.00,191.229996,189.279999,190.759995,2504700,190.063048
2016-02-19,186.740005,189.240005,185.389999,188.839996,1862800,188.150064
2016-02-18,187.160004,189.449997,186.600006,187.75,1949800,187.06405
2016-02-17,184.960007,188.490005,184.600006,187.679993,2060600,186.994299
2016-02-16,182.649994,186.550003,182.649994,186.089996,1783900,185.410112
2016-02-12,179.949997,185.25,179.279999,184.990005,2238000,184.31414
2016-02-11,176.990005,179.860001,176.490005,179.350006,3239000,178.694746
2016-02-10,180.00,181.820007,178.860001,179.199997,1842700,178.545285
2016-02-09,177.240005,180.589996,175.720001,180.589996,2265600,179.930206
2016-02-08,179.740005,180.360001,173.410004,177.729996,2978100,177.080655
2016-02-05,182.720001,183.309998,178.860001,181.479996,2116800,180.816954
2016-02-04,186.00,188.309998,181.550003,183.440002,2285800,182.7698
2016-02-03,183.100006,185.800003,181.949997,185.75,1507000,185.071357
2016-02-02,182.960007,184.830002,181.460007,182.089996,1937100,181.424726
2016-02-01,182.449997,184.759995,179.419998,184.309998,1330700,183.636616
2016-01-29,179.720001,182.820007,178.429993,182.009995,2158200,181.345016
2016-01-28,174.779999,178.679993,174.779999,178.479996,2175900,177.827914
2016-01-27,179.009995,180.419998,175.529999,175.639999,2338800,174.998294
2016-01-26,179.979996,181.130005,179.169998,179.169998,2011800,178.515396
2016-01-25,182.149994,182.619995,179.770004,179.800003,1460200,179.143099
2016-01-22,180.869995,182.559998,180.020004,182.039993,2217800,181.374905
2016-01-21,180.009995,181.119995,177.850006,179.289993,1597600,178.634953
2016-01-20,175.899994,180.949997,174.669998,180.229996,2410400,179.571521
2016-01-19,178.160004,179.00,176.539993,177.630005,1714800,176.981029
2016-01-15,178.279999,179.910004,175.330002,177.029999,2845200,176.383215
2016-01-14,179.770004,183.429993,179.660004,181.960007,1179800,181.295211
2016-01-13,183.460007,184.350006,178.660004,179.570007,1472500,178.913944
2016-01-12,184.00,185.240005,181.649994,183.580002,1037200,182.909287
2016-01-11,183.720001,184.309998,181.690002,183.300003,964800,182.630312
2016-01-08,182.25,186.220001,181.559998,182.929993,2114400,182.261653
2016-01-07,179.809998,183.449997,179.149994,181.199997,1353300,180.537978
2016-01-06,181.169998,182.679993,180.360001,181.869995,883400,181.205528
2016-01-05,183.520004,183.520004,181.570007,182.929993,1239800,182.261653
2016-01-04,183.630005,184.770004,181.059998,183.080002,1667000,182.411114
2015-12-31,184.970001,186.820007,184.940002,185.589996,651000,184.911938
2015-12-30,186.259995,186.529999,185.199997,185.770004,637600,185.091289
2015-12-29,185.889999,187.449997,185.279999,187.229996,866200,185.798687
2015-12-28,184.25,185.199997,182.389999,185.050003,589100,183.63536
2015-12-24,184.00,184.820007,183.50,184.50,257300,183.089561
2015-12-23,183.580002,184.449997,182.759995,184.100006,777800,182.692625
2015-12-22,183.149994,183.339996,180.830002,183.139999,1089700,181.739958
2015-12-21,181.389999,182.100006,180.410004,181.970001,1117400,180.578904
2015-12-18,184.289993,184.289993,180.570007,181.130005,2948400,179.745329
2015-12-17,184.979996,186.289993,183.850006,184.509995,1098200,183.09948
2015-12-16,182.149994,185.610001,181.300003,185.059998,2190000,183.645278
2015-12-15,179.710007,182.660004,179.309998,181.080002,1400800,179.695708
2015-12-14,181.570007,181.649994,177.869995,178.809998,1883100,177.443057
2015-12-11,181.869995,183.119995,178.869995,180.50,2344400,179.12014
2015-12-10,183.860001,184.820007,183.00,183.509995,1370400,182.107124
2015-12-09,184.270004,186.550003,183.539993,183.919998,1661900,182.513994
2015-12-08,185.020004,186.649994,184.070007,184.880005,1240900,183.466661
2015-12-07,184.039993,186.759995,183.679993,185.610001,1929000,184.191077
2015-12-04,182.039993,185.190002,181.380005,185.190002,1810400,183.774289
2015-12-03,184.630005,185.410004,180.800003,181.380005,1987700,179.993418
2015-12-02,186.210007,186.449997,184.580002,184.619995,2201800,183.208639
2015-12-01,185.860001,187.259995,185.020004,186.50,1108300,185.074272
2015-11-30,185.429993,185.770004,183.589996,184.770004,1335500,183.357502
2015-11-27,184.039993,185.880005,183.470001,185.259995,283000,183.843746
2015-11-25,183.880005,184.770004,183.029999,183.800003,588400,182.394916
2015-11-24,183.380005,185.610001,182.899994,183.649994,856400,182.246053
