Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,36.77,36.869999,36.50,36.509998,1448000,36.509998
2016-04-01,36.459999,36.889999,36.220001,36.810001,2046800,36.810001
2016-03-31,36.610001,36.830002,36.43,36.709999,2905300,36.709999
2016-03-30,36.450001,36.810001,36.240002,36.619999,3574700,36.619999
2016-03-29,36.00,36.299999,35.91,36.16,3022600,36.16
2016-03-28,36.169998,36.380001,36.099998,36.169998,2150200,36.169998
2016-03-24,35.619999,36.029999,35.389999,36.009998,2094700,36.009998
2016-03-23,36.060001,36.189999,35.68,35.720001,2535100,35.720001
2016-03-22,36.360001,36.509998,36.060001,36.169998,3354400,36.169998
2016-03-21,36.639999,36.639999,36.360001,36.509998,2221800,36.509998
2016-03-18,36.810001,36.93,36.509998,36.560001,5277400,36.560001
2016-03-17,36.389999,36.799999,36.32,36.68,2088300,36.68
2016-03-16,35.91,36.509998,35.740002,36.349998,1233900,36.349998
2016-03-15,36.130001,36.139999,35.869999,36.09,1122000,36.09
2016-03-14,36.23,36.52,36.169998,36.439999,1244700,36.439999
2016-03-11,35.619999,36.310001,35.619999,36.279999,1620800,36.279999
2016-03-10,36.040001,36.259998,35.27,35.419998,2263300,35.419998
2016-03-09,35.939999,36.119999,35.91,35.990002,1593500,35.990002
2016-03-08,36.169998,36.25,35.650002,35.790001,3016800,35.790001
2016-03-07,36.169998,36.41,35.939999,36.330002,1983200,36.330002
2016-03-04,36.119999,36.380001,35.91,36.299999,3036600,36.299999
2016-03-03,35.720001,36.16,35.68,36.119999,2325300,36.119999
2016-03-02,36.00,36.110001,35.709999,35.869999,2567900,35.869999
2016-03-01,35.439999,36.02,35.369999,36.02,4233400,36.02
2016-02-29,35.34,35.43,35.060001,35.18,5620900,35.18
2016-02-26,35.00,35.48,34.939999,35.41,3788900,35.41
2016-02-25,34.549999,34.889999,34.049999,34.880001,5036500,34.880001
2016-02-24,33.549999,34.450001,33.009998,34.400002,4841200,34.400002
2016-02-23,34.00,34.380001,33.68,33.82,3316600,33.82
2016-02-22,33.619999,34.25,33.619999,34.169998,4392900,34.169998
2016-02-19,34.439999,34.50,33.150002,33.57,8035400,33.57
2016-02-18,34.959999,35.049999,34.439999,34.50,4011200,34.50
2016-02-17,34.200001,35.060001,34.16,34.950001,3504200,34.950001
2016-02-16,34.00,34.349998,33.720001,34.200001,3348700,34.200001
2016-02-12,33.529999,33.619999,33.00,33.52,5050600,33.52
2016-02-11,33.619999,33.860001,32.919998,33.25,2983800,33.25
2016-02-10,34.700001,35.00,34.049999,34.099998,4518900,34.099998
2016-02-09,34.459999,34.849998,34.389999,34.650002,3353600,34.650002
2016-02-08,34.689999,34.849998,34.369999,34.73,3224300,34.73
2016-02-05,34.639999,35.00,34.470001,34.98,5330400,34.98
2016-02-04,33.990002,35.02,33.869999,34.700001,4711000,34.700001
2016-02-03,34.029999,34.57,33.790001,34.279999,5414700,34.279999
2016-02-02,33.759998,33.84,33.540001,33.75,4562800,33.75
2016-02-01,34.189999,34.490002,33.630001,34.080002,3735800,34.080002
