Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,40.68,40.849998,40.419998,40.68,4685300,40.68
2016-04-01,40.310001,40.779999,40.00,40.700001,5202800,40.700001
2016-03-31,40.860001,41.029999,40.470001,40.59,6532900,40.59
2016-03-30,40.610001,41.209999,40.540001,40.990002,6293200,40.990002
2016-03-29,40.310001,40.470001,39.790001,40.389999,5840700,40.389999
2016-03-28,40.84,40.959999,40.52,40.689999,4147000,40.434999
2016-03-24,40.73,40.84,40.459999,40.779999,6331000,40.524435
2016-03-23,41.200001,41.529999,41.060001,41.189999,6761800,40.931865
2016-03-22,41.02,41.540001,40.810001,41.32,5769700,41.061052
2016-03-21,41.23,41.490002,41.060001,41.380001,5207100,41.120677
2016-03-18,41.00,41.419998,40.860001,41.32,10078900,41.061052
2016-03-17,40.380001,40.779999,40.049999,40.689999,6841300,40.434999
2016-03-16,40.639999,41.119999,40.369999,40.540001,6001700,40.285941
2016-03-15,40.139999,40.84,40.07,40.790001,7049600,40.534374
2016-03-14,40.470001,40.59,39.970001,40.490002,6349500,40.236255
2016-03-11,39.93,40.490002,39.610001,40.459999,7774800,40.206441
2016-03-10,39.939999,40.189999,39.080002,39.509998,7442900,39.262393
2016-03-09,40.139999,40.139999,39.619999,39.759998,5476200,39.510827
2016-03-08,40.220001,40.380001,39.740002,39.849998,6094400,39.600263
2016-03-07,40.650002,40.93,40.490002,40.77,4287500,40.514499
2016-03-04,40.91,41.209999,40.610001,41.029999,6128000,40.772868
2016-03-03,40.48,40.779999,40.220001,40.77,5694800,40.514499
2016-03-02,39.990002,40.529999,39.84,40.529999,7465500,40.276002
2016-03-01,38.689999,39.900002,38.689999,39.900002,6569500,39.649953
2016-02-29,39.25,39.310001,38.509998,38.52,7400600,38.2786
2016-02-26,39.490002,39.77,39.09,39.290001,7200000,39.043775
2016-02-25,38.619999,39.139999,38.470001,39.139999,6335600,38.894713
2016-02-24,38.27,38.540001,37.48,38.439999,9220400,38.199099
2016-02-23,39.950001,40.080002,38.82,38.869999,9226400,38.626405
2016-02-22,39.459999,40.389999,39.459999,40.23,8157300,39.977882
2016-02-19,39.279999,39.73,39.060001,39.459999,10983400,39.212708
