Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,62.82,63.810001,62.549999,63.290001,3466400,63.290001
2016-04-01,63.59,63.68,62.509998,62.91,4407700,62.91
2016-03-31,64.00,65.139999,62.849998,64.139999,5638900,64.139999
2016-03-30,64.739998,65.699997,63.59,63.98,4909400,63.98
2016-03-29,65.110001,65.550003,64.370003,65.279999,3548000,65.279999
2016-03-28,65.800003,66.290001,64.919998,65.239998,3289300,65.239998
2016-03-24,64.540001,65.870003,64.339996,65.839996,4222900,65.839996
2016-03-23,66.089996,66.720001,64.709999,64.900002,4236000,64.900002
2016-03-22,65.599998,66.889999,65.209999,66.07,4005900,66.07
2016-03-21,65.43,66.290001,64.970001,65.849998,4828600,65.849998
2016-03-18,63.849998,65.660004,63.130001,65.160004,9633800,65.160004
2016-03-17,65.699997,66.00,63.73,64.18,6433200,64.18
2016-03-16,64.800003,66.279999,64.730003,65.940002,4897200,65.940002
2016-03-15,63.709999,64.959999,63.240002,64.940002,4645100,64.940002
2016-03-14,65.080002,65.599998,63.66,64.389999,4233100,64.389999
2016-03-11,64.339996,65.400002,63.400002,65.370003,4944600,65.370003
2016-03-10,64.870003,64.870003,63.02,64.18,5399000,64.18
2016-03-09,63.630001,65.849998,63.029999,64.800003,6001600,64.800003
2016-03-08,62.779999,63.880001,62.279999,62.330002,5105700,62.330002
2016-03-07,63.150002,63.720001,62.68,63.25,5171400,63.25
2016-03-04,64.50,64.660004,62.139999,63.889999,6946000,63.889999
2016-03-03,62.990002,64.169998,62.810001,63.84,6194400,63.84
2016-03-02,61.580002,62.990002,60.759998,62.080002,5287700,62.080002
2016-03-01,60.169998,61.599998,59.16,61.59,4485300,61.59
2016-02-29,60.23,60.779999,59.599998,60.080002,5211800,60.080002
2016-02-26,61.330002,61.869999,59.549999,59.66,5373500,59.66
2016-02-25,60.880001,61.220001,59.169998,60.689999,5293300,60.689999
2016-02-24,56.91,60.709999,56.50,60.610001,8392600,60.610001
2016-02-23,59.400002,59.400002,57.349998,57.490002,5696000,57.490002
2016-02-22,57.259998,58.970001,57.009998,58.68,5021200,58.68
2016-02-19,55.029999,57.080002,54.950001,57.049999,5519800,57.049999
2016-02-18,58.369999,58.450001,55.02,55.560001,6811500,55.560001
2016-02-17,57.849998,58.630001,56.98,57.77,5931500,57.77
2016-02-16,58.950001,59.00,56.299999,57.349998,6971300,57.349998
2016-02-12,56.950001,58.040001,56.240002,57.75,6679100,57.75
2016-02-11,53.830002,56.02,53.389999,55.57,8152200,55.57
2016-02-10,54.529999,55.77,53.00,54.880001,6784100,54.880001
2016-02-09,54.369999,56.279999,53.889999,54.82,6624900,54.82
2016-02-08,56.41,56.41,52.549999,54.82,11497000,54.82
2016-02-05,61.00,61.77,56.93,57.119999,9175800,57.119999
2016-02-04,61.23,62.830002,60.200001,61.790001,10085800,61.190001
2016-02-03,65.440002,65.779999,59.400002,60.939999,12704000,60.348252
2016-02-02,67.360001,67.50,64.93,65.279999,6879800,64.64611
2016-02-01,68.199997,69.129997,66.459999,68.699997,5461400,68.032899
2016-01-29,65.029999,67.93,63.25,67.870003,7275200,67.210964
2016-01-28,67.330002,67.57,62.16,64.540001,10704300,63.913297
2016-01-27,68.330002,68.489998,65.25,65.989998,7529000,65.349214
2016-01-26,66.489998,67.739998,65.510002,67.709999,5989200,67.052514
2016-01-25,67.550003,69.349998,65.059998,65.139999,6063300,64.50747
2016-01-22,65.089996,68.489998,64.720001,67.860001,9274700,67.201059
2016-01-21,65.120003,65.160004,63.07,63.43,8961700,62.814075
2016-01-20,64.959999,66.459999,63.810001,65.480003,7963100,64.844172
2016-01-19,67.080002,68.510002,65.32,66.540001,7105800,65.893877
2016-01-15,64.870003,67.00,64.470001,66.410004,8629600,65.765142
2016-01-14,65.300003,67.940002,63.52,67.32,8700200,66.666302
2016-01-13,70.330002,70.650002,63.049999,65.029999,13534500,64.398537
2016-01-12,69.870003,72.059998,69.309998,71.190002,8173800,70.498725
2016-01-11,68.260002,69.43,66.849998,69.07,6680300,68.399308
2016-01-08,72.199997,72.489998,68.099998,68.260002,10241900,67.597176
2016-01-07,69.599998,72.220001,69.57,72.089996,9149200,71.38998
2016-01-06,69.879997,71.980003,69.800003,70.660004,7666200,69.973873
2016-01-05,70.139999,71.360001,69.769997,71.160004,5152500,70.469018
2016-01-04,70.379997,71.669998,68.709999,69.940002,6629200,69.260863
2015-12-31,71.150002,71.75,70.269997,70.709999,3231400,70.023383
2015-12-30,70.959999,72.440002,70.800003,71.580002,5064000,70.884938
2015-12-29,71.529999,71.639999,70.529999,71.089996,2536000,70.39969
2015-12-28,71.150002,71.589996,70.150002,70.620003,3179800,69.93426
2015-12-24,71.900002,72.449997,70.769997,71.93,1727500,71.231538
2015-12-23,71.989998,72.019997,70.010002,71.830002,6009700,71.13251
2015-12-22,71.330002,72.239998,71.139999,71.480003,4507000,70.78591
2015-12-21,70.349998,71.260002,69.910004,71.110001,4806400,70.4195
2015-12-18,71.410004,71.949997,69.93,70.029999,10995600,69.349986
2015-12-17,70.889999,72.699997,70.389999,71.68,7334700,70.983965
2015-12-16,68.290001,70.650002,68.00,70.199997,9256700,69.518333
2015-12-15,68.300003,69.300003,67.279999,68.309998,6447100,67.646686
2015-12-14,67.00,67.68,65.040001,67.550003,7947700,66.894071
2015-12-11,70.129997,70.650002,67.32,67.510002,7725300,66.854459
2015-12-10,70.50,72.32,69.440002,71.379997,5106000,70.686875
2015-12-09,70.580002,71.089996,68.910004,69.879997,5092500,69.201441
2015-12-08,69.650002,71.580002,69.650002,70.529999,5428500,69.84513
2015-12-07,70.849998,71.720001,69.519997,70.790001,7435000,70.102608
2015-12-04,70.209999,71.720001,69.75,71.389999,6189800,70.69678
2015-12-03,72.019997,72.459999,69.75,69.989998,6506400,69.310373
2015-12-02,72.43,73.699997,71.339996,71.690002,4252000,70.99387
2015-12-01,72.480003,72.900002,71.260002,72.57,4562100,71.865322
2015-11-30,72.949997,73.07,71.25,71.860001,7250600,71.162218
2015-11-27,72.599998,73.199997,72.379997,72.940002,1767400,72.231732
2015-11-25,72.809998,73.800003,72.660004,72.93,3637900,72.221827
2015-11-24,72.629997,73.879997,71.839996,73.029999,5702700,72.320855
2015-11-23,72.220001,73.00,71.169998,72.68,5119900,71.974255
2015-11-20,71.300003,72.199997,71.139999,71.980003,4114800,71.281055
2015-11-19,70.43,71.629997,70.010002,71.139999,5569200,70.449208
2015-11-18,70.120003,70.760002,69.169998,70.660004,3790200,69.478729
2015-11-17,69.589996,70.50,69.309998,70.00,3394700,68.829759
2015-11-16,68.790001,69.739998,68.199997,69.669998,3558300,68.505274
2015-11-13,69.360001,69.849998,68.610001,68.959999,3844100,67.807144
2015-11-12,70.480003,70.760002,68.860001,69.410004,5271800,68.249626
2015-11-11,71.339996,72.00,70.489998,71.169998,3308700,69.980197
2015-11-10,70.32,71.760002,69.75,71.32,4309200,70.127691
2015-11-09,72.040001,72.699997,70.110001,70.489998,4808400,69.311565
2015-11-06,71.629997,72.660004,71.029999,71.949997,4803000,70.747156
2015-11-05,70.959999,72.349998,70.620003,71.93,6613300,70.727494
2015-11-04,69.800003,71.389999,69.699997,71.099998,8324300,69.911368
2015-11-03,67.980003,70.040001,67.610001,69.599998,6467800,68.436444
2015-11-02,65.779999,68.379997,65.459999,68.029999,5043200,66.892691
2015-10-30,66.18,66.510002,65.529999,65.919998,5787000,64.817965
2015-10-29,63.279999,65.970001,63.209999,65.809998,7268200,64.709804
2015-10-28,62.50,64.470001,61.669998,63.419998,7538500,62.35976
2015-10-27,61.639999,62.73,61.349998,62.459999,6828900,61.41581
2015-10-26,61.720001,62.41,61.279999,61.900002,4486300,60.865174
