Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,63.439999,63.84,63.18,63.580002,1736100,63.580002
2016-04-01,62.73,63.369999,62.389999,63.23,2292200,63.23
2016-03-31,62.810001,63.630001,62.48,62.959999,3133000,62.959999
2016-03-30,63.41,63.41,62.779999,62.959999,2036700,62.959999
2016-03-29,61.689999,63.240002,61.389999,63.220001,2419000,63.220001
2016-03-28,61.459999,61.98,61.02,61.830002,2120400,61.830002
2016-03-24,60.27,61.07,59.580002,60.959999,2202200,60.959999
2016-03-23,61.549999,61.619999,60.990002,61.189999,2198100,61.189999
2016-03-22,61.07,61.639999,60.669998,61.549999,2738100,61.549999
2016-03-21,61.599998,62.240002,61.330002,61.450001,3251700,61.450001
2016-03-18,62.18,62.189999,61.450001,61.849998,4061100,61.849998
2016-03-17,61.330002,62.130001,60.709999,62.009998,2383200,62.009998
2016-03-16,60.560001,61.200001,59.709999,61.080002,2150000,61.080002
2016-03-15,60.07,60.939999,59.75,60.740002,2646600,60.740002
2016-03-14,59.68,60.630001,59.57,60.529999,3303500,60.529999
2016-03-11,57.889999,59.82,57.810001,59.779999,8332500,59.779999
2016-03-10,57.299999,58.18,56.169998,57.279999,4587500,57.279999
2016-03-09,56.669998,57.57,56.50,56.779999,1697800,56.779999
2016-03-08,57.540001,57.68,56.23,56.450001,2147600,56.450001
2016-03-07,56.650002,57.490002,56.259998,57.23,2175900,57.23
2016-03-04,56.869999,57.07,55.91,56.75,3457900,56.75
2016-03-03,58.18,58.189999,56.27,56.709999,5490400,56.709999
2016-03-02,57.360001,58.470001,57.259998,58.41,2159700,57.680001
2016-03-01,56.470001,57.580002,55.98,57.57,2101200,56.850499
2016-02-29,55.470001,56.580002,55.389999,55.669998,2823300,54.974243
2016-02-26,55.080002,55.990002,54.990002,55.389999,2114200,54.697744
2016-02-25,54.049999,55.099998,53.889999,55.080002,2104100,54.391621
2016-02-24,53.32,53.98,52.970001,53.849998,1662200,53.17699
2016-02-23,52.990002,54.119999,52.709999,53.41,2183500,52.74249
2016-02-22,52.720001,53.259998,52.50,52.990002,1590900,52.327741
2016-02-19,51.43,52.68,50.919998,52.189999,2765900,51.537736
2016-02-18,50.52,51.959999,50.290001,51.599998,2126300,50.95511
2016-02-17,49.82,50.939999,49.73,50.48,2444700,49.849108
2016-02-16,48.759998,49.860001,47.939999,49.720001,3818000,49.098608
2016-02-12,48.75,49.91,46.869999,48.43,5134600,47.82473
2016-02-11,49.310001,49.57,47.849998,48.720001,6501600,48.111106
2016-02-10,50.240002,51.080002,49.950001,50.00,4127600,49.375108
2016-02-09,52.950001,53.080002,49.540001,50.080002,5726900,49.45411
2016-02-08,56.32,56.59,52.75,53.709999,4871700,53.03874
2016-02-05,56.360001,56.689999,55.68,56.32,2748200,55.616121
2016-02-04,55.790001,56.59,55.169998,56.369999,1645500,55.665496
2016-02-03,55.110001,56.43,54.700001,56.00,2715100,55.300121
2016-02-02,55.32,55.48,54.330002,54.759998,2921700,54.075616
2016-02-01,54.860001,55.950001,54.43,55.48,2198400,54.786619
2016-01-29,54.450001,55.98,54.07,55.32,4209400,54.628619
2016-01-28,54.09,54.73,53.549999,53.790001,2441300,53.117742
2016-01-27,55.66,55.950001,53.59,53.790001,2824100,53.117742
2016-01-26,55.029999,56.119999,55.029999,55.939999,2386300,55.240869
2016-01-25,55.50,55.880001,54.82,54.98,2744300,54.292868
2016-01-22,54.779999,56.349998,54.43,55.50,3808700,54.80637
2016-01-21,53.23,54.630001,52.599998,54.00,2731600,53.325117
2016-01-20,55.209999,55.389999,51.509998,52.919998,5098100,52.258612
2016-01-19,55.110001,55.990002,54.990002,55.630001,2556700,54.934746
2016-01-15,53.830002,54.790001,53.599998,54.689999,2527400,54.006492
2016-01-14,54.369999,55.07,54.07,54.639999,2795400,53.957117
2016-01-13,56.07,56.669998,54.450001,54.540001,2917100,53.858369
2016-01-12,56.790001,56.790001,55.419998,55.889999,2178500,55.191495
2016-01-11,56.48,56.970001,56.419998,56.580002,3295500,55.872874
2016-01-08,56.380001,56.84,56.009998,56.259998,3097700,55.55687
2016-01-07,56.630001,57.080002,56.009998,56.209999,2580500,55.507495
2016-01-06,57.669998,57.779999,56.73,57.209999,2960300,56.494998
2016-01-05,56.799999,58.029999,56.66,57.740002,2014300,57.018376
2016-01-04,56.00,56.799999,55.509998,56.740002,2820900,56.030874
2015-12-31,56.650002,56.950001,56.259998,56.43,2056200,55.724747
2015-12-30,56.490002,56.91,56.360001,56.630001,1329900,55.922248
2015-12-29,56.119999,56.709999,56.009998,56.509998,1481400,55.803745
2015-12-28,55.599998,56.009998,55.299999,55.860001,1414000,55.161871
2015-12-24,55.43,55.599998,55.130001,55.52,755700,54.82612
2015-12-23,54.630001,55.459999,54.50,55.400002,1694100,54.707621
2015-12-22,54.209999,54.900002,54.07,54.470001,1741500,53.789244
2015-12-21,54.369999,54.75,53.73,54.040001,1986500,53.364618
2015-12-18,54.610001,54.610001,53.639999,53.919998,4255700,53.246115
2015-12-17,55.00,55.189999,54.560001,54.810001,2083500,54.124995
2015-12-16,54.709999,55.84,54.360001,55.720001,3827600,54.302745
2015-12-15,54.669998,54.98,54.459999,54.48,2877800,53.094283
2015-12-14,54.240002,54.650002,53.91,54.43,2980700,53.045555
2015-12-11,53.450001,54.400002,53.299999,54.380001,4076200,52.996828
2015-12-10,54.00,54.169998,53.43,53.630001,2529200,52.265904
2015-12-09,53.650002,54.299999,53.23,53.82,1752100,52.45107
2015-12-08,53.98,54.32,53.349998,54.02,2647400,52.645984
2015-12-07,53.209999,53.91,52.900002,53.82,2847600,52.45107
2015-12-04,52.330002,53.369999,52.330002,53.200001,3073200,51.846841
2015-12-03,53.02,53.189999,51.790001,52.080002,3449600,50.75533
2015-12-02,53.799999,54.150002,52.849998,52.919998,3263700,51.573961
2015-12-01,53.68,54.330002,53.630001,53.959999,3773300,52.587509
2015-11-30,53.759998,54.299999,53.16,53.34,5118500,51.98328
2015-11-27,53.099998,53.849998,53.009998,53.669998,1136800,52.304884
2015-11-25,52.790001,53.130001,52.740002,53.00,1357800,51.651928
2015-11-24,53.150002,53.400002,52.490002,52.790001,2571900,51.44727
2015-11-23,52.720001,53.549999,52.66,53.360001,3447100,52.002771
2015-11-20,51.849998,52.790001,51.669998,52.740002,3128300,51.398542
2015-11-19,51.23,51.799999,50.959999,51.59,2216700,50.277792
2015-11-18,50.41,51.18,50.200001,51.099998,2585500,49.800253
2015-11-17,50.389999,50.709999,49.959999,50.060001,2203600,48.786709
2015-11-16,49.689999,50.599998,49.619999,50.52,2154400,49.235008
2015-11-13,50.41,50.560001,49.639999,49.68,2544000,48.416373
2015-11-12,49.790001,50.23,49.540001,49.990002,2476000,48.71849
2015-11-11,50.220001,50.400002,49.68,49.880001,2277200,48.611287
2015-11-10,49.77,50.580002,49.540001,50.150002,3468000,48.87442
2015-11-09,50.830002,51.00,49.310001,49.77,4156700,48.504084
2015-11-06,53.419998,53.419998,50.50,50.82,6970900,49.527376
2015-11-05,53.27,54.200001,53.240002,54.189999,2619300,52.811658
2015-11-04,53.630001,53.869999,53.240002,53.439999,3075700,52.080735
2015-11-03,54.279999,54.439999,53.32,53.610001,2458600,52.246413
2015-11-02,53.759998,54.50,53.50,54.490002,2437900,53.104031
2015-10-30,54.93,55.09,53.599998,53.720001,3620300,52.353615
2015-10-29,54.66,54.990002,54.09,54.880001,2552000,53.48411
2015-10-28,55.25,55.369999,53.84,54.919998,3348300,53.52309
2015-10-27,55.00,55.18,54.299999,55.150002,2613400,53.747243
2015-10-26,54.439999,55.32,53.84,55.080002,3898800,53.679024
2015-10-23,58.599998,58.599998,54.880001,55.130001,4255600,53.727751
2015-10-22,58.41,58.73,57.869999,58.380001,2273400,56.895087
2015-10-21,58.09,58.59,57.700001,58.279999,1931700,56.797628
2015-10-20,57.810001,58.09,57.419998,57.73,1798100,56.261618
2015-10-19,56.970001,58.049999,56.880001,58.029999,1955400,56.553987
2015-10-16,56.169998,57.130001,56.16,56.970001,2619400,55.520951
2015-10-15,56.080002,56.34,55.459999,55.990002,2727200,54.565878
2015-10-14,57.119999,58.119999,55.799999,55.93,2421300,54.507402
2015-10-13,57.200001,57.580002,56.91,56.990002,1687500,55.540442
2015-10-12,57.57,58.049999,57.389999,57.549999,1522700,56.086196
2015-10-09,57.75,57.959999,57.290001,57.650002,1881700,56.183655
2015-10-08,57.59,57.939999,57.02,57.84,2264100,56.368821
2015-10-07,57.16,57.580002,56.950001,57.57,2477200,56.105688
