Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,0.253,0.253,0.253,0.253,000,0.253
2016-04-01,0.43,0.43,0.43,0.43,000,0.43
2016-03-31,0.512,0.512,0.512,0.512,000,0.512
2016-03-30,0.51,0.51,0.51,0.51,000,0.51
2016-03-29,0.886,0.886,0.886,0.886,000,0.886
2016-03-28,1.135,1.135,1.135,1.135,000,1.135
2016-03-25,1.135,1.135,1.135,1.135,000,1.135
2016-03-24,1.135,1.135,1.135,1.135,000,1.135
2016-03-23,1.19,1.19,1.19,1.19,000,1.19
2016-03-22,1.793,1.793,1.793,1.793,000,1.793
2016-03-21,1.874,1.874,1.874,1.874,000,1.874
2016-03-18,1.826,1.826,1.826,1.826,000,1.826
2016-03-17,1.834,1.834,1.75,1.75,400,1.75
2016-03-16,1.83,1.83,1.83,1.83,000,1.83
2016-03-15,1.907,1.907,1.907,1.907,000,1.907
2016-03-14,1.708,1.986,1.708,1.986,11100,1.986
2016-03-11,1.60,1.60,1.60,1.60,000,1.60
2016-03-10,1.77,1.77,1.77,1.77,000,1.77
2016-03-09,1.805,1.90,1.805,1.90,2300,1.90
2016-03-08,1.69,1.69,1.69,1.69,000,1.69
2016-03-07,1.609,1.609,1.609,1.609,000,1.609
2016-03-04,1.408,1.408,1.408,1.408,000,1.408
2016-03-03,1.455,1.455,1.455,1.455,000,1.455
2016-03-02,1.40,1.40,1.40,1.40,000,1.40
2016-03-01,1.51,1.51,1.51,1.51,000,1.51
2016-02-29,2.085,2.085,2.085,2.085,000,2.085
2016-02-26,2.041,2.041,2.041,2.041,000,2.041
2016-02-25,1.15,1.15,1.15,1.15,000,1.15
2016-02-24,1.232,1.232,1.232,1.232,000,1.232
2016-02-23,1.306,1.306,1.306,1.306,000,1.306
2016-02-22,1.302,1.348,1.302,1.348,8000,1.348
2016-02-19,1.33,1.33,1.33,1.33,000,1.33
2016-02-18,1.35,1.35,1.35,1.35,000,1.35
2016-02-17,1.474,1.474,1.46,1.46,000,1.46
2016-02-16,1.295,1.508,1.295,1.508,000,1.508
2016-02-15,1.28,1.28,1.28,1.28,000,1.28
2016-02-12,1.836,2.00,1.836,2.00,2000,2.00
2016-02-11,2.086,2.086,2.086,2.086,000,2.086
2016-02-10,2.201,2.201,2.201,2.201,000,2.201
2016-02-09,2.052,2.28,2.052,2.28,000,2.28
2016-02-08,2.47,2.47,2.47,2.47,000,2.47
2016-02-05,2.518,2.518,2.518,2.518,000,2.518
2016-02-04,2.524,2.524,2.524,2.524,000,2.524
2016-02-03,2.514,2.514,2.514,2.514,000,2.514
2016-02-02,2.724,2.724,2.724,2.724,000,2.724
2016-02-01,2.91,2.91,2.91,2.91,400,2.91
2016-01-29,2.76,2.76,2.76,2.76,000,2.76
2016-01-28,3.08,3.08,3.08,3.08,000,3.08
2016-01-27,2.79,2.79,2.79,2.79,000,2.79
2016-01-26,2.48,2.48,2.48,2.48,000,2.48
2016-01-25,2.512,2.512,2.512,2.512,000,2.512
2016-01-22,2.45,2.45,2.45,2.45,000,2.45
2016-01-21,2.142,2.142,2.142,2.142,000,2.142
2016-01-20,2.199,2.199,2.199,2.199,000,2.199
2016-01-19,2.518,2.518,2.518,2.518,000,2.518
2016-01-18,2.49,2.49,2.49,2.49,000,2.49
2016-01-15,2.559,2.559,2.559,2.559,000,2.559
2016-01-14,2.60,2.60,2.60,2.60,000,2.60
2016-01-13,2.81,2.81,2.81,2.81,000,2.81
2016-01-12,3.05,3.05,3.05,3.05,000,3.05
2016-01-11,3.10,3.10,3.10,3.10,000,3.10
2016-01-08,3.16,3.23,3.16,3.23,300,3.23
2016-01-07,4.862,4.862,4.862,4.862,000,4.862
2016-01-06,5.185,5.185,5.185,5.185,000,5.185
2016-01-05,5.248,5.248,5.248,5.248,000,5.248
2016-01-04,4.50,4.50,4.50,4.50,000,4.50
2016-01-01,4.678,4.678,4.678,4.678,000,4.678
2015-12-31,4.678,4.678,4.678,4.678,000,4.678
2015-12-30,4.521,4.678,4.521,4.678,000,4.678
2015-12-29,4.926,4.926,4.926,4.926,000,4.926
2015-12-28,5.53,5.53,5.53,5.53,000,5.53
2015-12-25,4.779,4.779,4.779,4.779,000,4.779
2015-12-24,4.779,4.779,4.779,4.779,000,4.779
2015-12-23,4.779,4.779,4.779,4.779,000,4.779
2015-12-22,6.104,6.104,6.104,6.104,000,6.104
2015-12-21,5.902,5.902,5.902,5.902,000,5.902
2015-12-18,5.661,5.661,5.661,5.661,000,5.661
2015-12-17,5.80,5.80,5.80,5.80,000,5.80
2015-12-16,4.453,4.453,4.453,4.453,000,4.453
2015-12-15,3.921,3.921,3.921,3.921,000,3.921
2015-12-14,3.77,3.77,3.77,3.77,000,3.77
2015-12-11,3.96,3.96,3.96,3.96,000,3.96
2015-12-10,3.552,3.552,3.552,3.552,000,3.552
2015-12-09,3.12,3.12,3.12,3.12,000,3.12
2015-12-08,3.186,3.186,3.186,3.186,000,3.186
2015-12-07,3.326,3.326,3.326,3.326,000,3.326
2015-12-04,3.436,3.436,3.436,3.436,000,3.436
2015-12-03,3.356,3.356,3.356,3.356,000,3.356
2015-12-02,3.244,3.244,3.244,3.244,000,3.244
2015-12-01,2.984,2.984,2.984,2.984,000,2.984
2015-11-30,3.131,3.131,3.131,3.131,000,3.131
2015-11-27,3.036,3.036,3.036,3.036,000,3.036
2015-11-26,3.10,3.10,3.10,3.10,000,3.10
2015-11-25,3.82,3.82,3.82,3.82,000,3.82
2015-11-24,2.92,2.92,2.92,2.92,000,2.92
2015-11-23,2.65,2.65,2.65,2.65,000,2.65
2015-11-20,2.675,2.675,2.675,2.675,000,2.675
2015-11-19,2.73,2.73,2.73,2.73,000,2.73
2015-11-18,2.85,2.85,2.85,2.85,000,2.85
2015-11-17,4.265,4.265,4.265,4.265,000,4.265
2015-11-16,4.50,4.50,4.50,4.50,000,4.50
2015-11-13,4.225,4.225,4.225,4.225,000,4.225
2015-11-12,4.48,4.48,4.48,4.48,000,4.48
2015-11-11,5.285,5.285,5.285,5.285,000,5.285
2015-11-10,6.505,6.505,6.505,6.505,000,6.505
2015-11-09,6.902,6.902,6.902,6.902,000,6.902
2015-11-06,6.79,6.79,6.79,6.79,000,6.79
2015-11-05,7.205,7.205,7.205,7.205,000,7.205
2015-11-04,7.146,7.146,7.146,7.146,000,7.146
2015-11-03,6.906,6.906,6.906,6.906,000,6.906
2015-11-02,6.605,6.605,6.605,6.605,000,6.605
2015-10-30,7.465,7.465,7.465,7.465,000,7.465
2015-10-29,7.00,7.00,7.00,7.00,000,7.00
2015-10-28,6.30,6.30,6.30,6.30,000,6.30
2015-10-27,6.904,6.904,6.904,6.904,000,6.904
2015-10-26,6.897,6.897,6.897,6.897,000,6.897
2015-10-23,7.015,7.015,7.015,7.015,000,7.015
2015-10-22,6.805,6.805,6.805,6.805,000,6.805
2015-10-21,7.785,7.785,7.785,7.785,000,7.785
2015-10-20,7.832,7.832,7.832,7.832,000,7.832
2015-10-19,7.771,7.771,7.771,7.771,000,7.771
2015-10-16,8.005,8.005,8.005,8.005,000,8.005
2015-10-15,7.945,7.945,7.945,7.945,000,7.945
2015-10-14,7.665,7.665,7.665,7.665,000,7.665
2015-10-13,7.736,7.736,7.736,7.736,000,7.736
2015-10-12,7.973,7.973,7.973,7.973,000,7.973
2015-10-09,7.958,7.958,7.958,7.958,000,7.958
2015-10-08,8.465,8.465,8.465,8.465,000,8.465
2015-10-07,7.63,7.63,7.63,7.63,000,7.63
