Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,69.00,69.370003,68.919998,69.099998,6823400,69.099998
2016-04-01,68.019997,69.199997,68.019997,69.059998,6594600,69.059998
2016-03-31,68.75,69.190002,68.470001,68.489998,6235200,68.489998
2016-03-30,68.330002,69.00,68.290001,68.800003,7198700,68.800003
2016-03-29,68.150002,68.209999,67.43,68.029999,6472100,68.029999
2016-03-28,67.93,68.580002,67.93,68.120003,5596700,68.120003
2016-03-24,67.43,68.040001,67.379997,68.00,6293600,68.00
2016-03-23,68.010002,68.099998,67.440002,67.459999,6092800,67.459999
2016-03-22,68.00,68.68,67.790001,67.870003,7497600,67.870003
2016-03-21,67.029999,68.379997,66.970001,67.970001,8978500,67.970001
2016-03-18,67.480003,68.029999,66.75,66.949997,22837600,66.949997
2016-03-17,67.82,68.919998,67.260002,67.449997,11823000,67.449997
2016-03-16,67.940002,68.339996,67.25,67.989998,8205100,67.989998
2016-03-15,67.00,68.349998,67.00,68.089996,7552300,68.089996
2016-03-14,67.150002,67.669998,66.959999,67.360001,6656200,67.360001
2016-03-11,67.769997,67.940002,66.800003,67.169998,8250800,67.169998
2016-03-10,67.550003,68.040001,66.400002,67.410004,9635600,67.410004
2016-03-09,67.790001,67.989998,67.120003,67.529999,7806000,67.529999
2016-03-08,67.730003,68.470001,67.489998,68.040001,10067900,67.540002
2016-03-07,66.620003,68.480003,66.269997,67.889999,12825400,67.391103
2016-03-04,66.139999,67.279999,66.089996,66.779999,10010500,66.289259
2016-03-03,65.949997,66.199997,64.879997,66.139999,11846800,65.653963
2016-03-02,66.209999,66.669998,66.00,66.209999,9165600,65.723448
2016-03-01,66.650002,66.889999,66.00,66.459999,10429500,65.971611
2016-02-29,66.629997,66.949997,66.220001,66.339996,9345200,65.85249
2016-02-26,68.080002,68.199997,66.300003,66.510002,10984300,66.021247
2016-02-25,67.449997,68.129997,67.330002,68.040001,9581300,67.540002
2016-02-24,66.190002,67.330002,65.720001,67.120003,10291200,66.626765
2016-02-23,65.839996,66.599998,65.279999,66.480003,11432000,65.991469
2016-02-22,64.660004,66.139999,64.660004,65.629997,10587300,65.147709
2016-02-19,63.889999,64.769997,63.439999,64.660004,15562300,64.184843
2016-02-18,63.740002,64.779999,62.349998,64.120003,27894600,63.648811
2016-02-17,66.099998,66.610001,65.809998,66.110001,12426700,65.624185
2016-02-16,66.610001,66.800003,65.50,65.900002,11360500,65.415729
2016-02-12,65.519997,66.25,64.870003,66.18,9695500,65.69367
2016-02-11,65.019997,65.760002,64.779999,65.32,11186700,64.839989
2016-02-10,66.190002,66.589996,65.650002,65.790001,9709300,65.306537
2016-02-09,65.489998,66.410004,64.68,65.809998,14642400,65.326386
2016-02-08,66.50,67.150002,65.160004,66.900002,20743600,66.40838
2016-02-05,66.860001,67.529999,65.879997,67.00,14196500,66.507644
2016-02-04,65.760002,66.550003,65.010002,66.419998,12833400,65.931904
2016-02-03,67.309998,67.50,65.07,66.269997,12315600,65.783005
2016-02-02,67.300003,67.839996,66.279999,66.860001,13585900,66.368673
2016-02-01,65.910004,67.93,65.889999,67.50,14728400,67.00397
2016-01-29,64.75,66.529999,64.739998,66.360001,16439100,65.872348
2016-01-28,64.029999,64.510002,63.43,64.220001,11278300,63.748074
2016-01-27,64.099998,65.18,63.889999,63.950001,10214300,63.480058
2016-01-26,63.360001,64.470001,63.259998,64.00,9441200,63.52969
2016-01-25,62.779999,63.82,62.549999,63.450001,12823400,62.983732
2016-01-22,62.439999,63.259998,62.130001,62.689999,9197500,62.229315
2016-01-21,60.98,62.790001,60.91,61.880001,12089200,61.42527
2016-01-20,61.799999,62.330002,60.200001,60.84,17369100,60.392912
2016-01-19,62.25,62.799999,62.009998,62.560001,13051300,62.100273
2016-01-15,61.549999,62.470001,61.259998,61.93,15174400,61.474902
2016-01-14,62.00,63.619999,61.82,63.060001,12934900,62.596599
2016-01-13,63.73,63.73,61.830002,61.919998,13725700,61.464973
2016-01-12,64.379997,64.730003,63.43,63.619999,12195900,63.152481
2016-01-11,63.759998,64.470001,63.630001,64.220001,12653800,63.748074
2016-01-08,65.080002,65.410004,63.41,63.540001,17767900,63.073071
2016-01-07,62.970001,65.230003,62.919998,65.029999,26430000,64.55212
2016-01-06,62.48,63.950001,62.470001,63.549999,16564600,63.082996
2016-01-05,62.029999,63.049999,61.849998,62.919998,13326000,62.457624
2016-01-04,60.50,61.490002,60.360001,61.459999,11989200,61.008354
2015-12-31,61.330002,61.720001,61.169998,61.299999,6575100,60.84953
2015-12-30,61.66,61.869999,61.490002,61.68,5716700,61.226739
2015-12-29,61.00,61.75,60.98,61.610001,7883600,61.157254
2015-12-28,60.580002,60.970001,60.50,60.75,5421700,60.303573
2015-12-24,60.779999,61.099998,60.68,60.830002,2482800,60.382987
2015-12-23,61.00,61.119999,60.439999,61.09,7519800,60.641074
2015-12-22,59.790001,60.700001,59.610001,60.540001,9266300,60.095117
2015-12-21,58.82,59.580002,58.669998,59.549999,9645500,59.11239
2015-12-18,58.93,59.400002,58.75,58.849998,16256700,58.417534
2015-12-17,60.330002,60.330002,58.970001,58.98,12976100,58.546579
2015-12-16,60.110001,60.650002,59.700001,60.299999,9960500,59.856879
2015-12-15,60.639999,60.84,59.57,59.639999,14607000,59.201729
2015-12-14,59.299999,60.439999,59.07,60.389999,14524900,59.946218
2015-12-11,59.049999,59.529999,58.810001,59.360001,9745000,58.923788
2015-12-10,59.130001,60.09,59.09,59.560001,11359400,59.122319
2015-12-09,59.259998,60.110001,58.900002,59.130001,8981700,58.695479
2015-12-08,60.07,60.490002,59.50,59.610001,10377600,59.171951
2015-12-07,59.57,60.73,59.57,60.50,11595900,60.05541
2015-12-04,59.049999,59.849998,59.029999,59.66,10435300,59.221583
2015-12-03,58.689999,59.66,58.599998,59.040001,15844100,58.60614
