Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,19.50,19.58,19.33,19.389999,2908900,19.389999
2016-04-01,19.15,19.50,19.110001,19.49,3470300,19.49
2016-03-31,19.33,19.52,19.27,19.290001,4726900,19.290001
2016-03-30,19.209999,19.40,19.139999,19.33,4451500,19.33
2016-03-29,18.780001,19.190001,18.780001,19.139999,3204400,19.139999
2016-03-28,18.889999,19.059999,18.82,18.85,3128600,18.85
2016-03-24,18.68,18.85,18.610001,18.780001,4246200,18.780001
2016-03-23,18.90,18.969999,18.709999,18.799999,3734500,18.799999
2016-03-22,18.940001,19.110001,18.860001,18.90,5608400,18.90
2016-03-21,19.07,19.309999,18.92,19.10,3291000,19.10
2016-03-18,19.030001,19.26,18.92,19.129999,8611400,19.129999
2016-03-17,18.67,19.09,18.65,19.00,4262100,19.00
2016-03-16,18.440001,18.719999,18.41,18.65,3799900,18.65
2016-03-15,18.809999,18.83,18.42,18.48,4219500,18.48
2016-03-14,19.07,19.16,18.959999,19.10,2772600,18.940001
2016-03-11,18.93,19.139999,18.879999,19.110001,3564600,18.949917
2016-03-10,19.26,19.41,18.59,18.76,7924000,18.602849
2016-03-09,19.07,19.389999,19.059999,19.219999,5324400,19.058994
2016-03-08,19.42,19.450001,19.08,19.110001,6521000,18.949917
2016-03-07,19.10,19.610001,19.10,19.52,4958000,19.356482
2016-03-04,19.059999,19.459999,19.049999,19.25,6084400,19.088744
2016-03-03,18.67,19.15,18.610001,19.09,5842300,18.930084
2016-03-02,18.52,18.59,18.280001,18.459999,4467300,18.30536
2016-03-01,18.440001,18.68,18.299999,18.620001,4289100,18.464022
2016-02-29,18.389999,18.60,18.25,18.26,4403000,18.107037
2016-02-26,18.48,18.57,18.389999,18.459999,4449200,18.30536
2016-02-25,18.209999,18.370001,18.02,18.35,3823600,18.196283
2016-02-24,17.780001,18.219999,17.52,18.129999,4516900,17.978125
2016-02-23,18.129999,18.379999,17.940001,17.950001,5589300,17.799634
2016-02-22,18.24,18.379999,18.200001,18.360001,6544600,18.2062
2016-02-19,18.129999,18.290001,18.08,18.190001,6143800,18.037624
2016-02-18,18.469999,18.48,18.16,18.209999,5808700,18.057455
2016-02-17,18.52,18.790001,18.24,18.49,6157000,18.33511
2016-02-16,17.799999,18.49,17.799999,18.40,8626500,18.245864
2016-02-12,17.09,17.74,17.059999,17.559999,5008500,17.4129
2016-02-11,16.59,17.030001,16.48,16.879999,8706500,16.738596
2016-02-10,16.24,17.49,16.23,17.01,8090200,16.867508
2016-02-09,17.049999,17.27,16.889999,17.00,7041800,16.857592
2016-02-08,17.379999,17.50,16.860001,17.41,9625200,17.264157
2016-02-05,17.549999,17.82,17.35,17.559999,6838500,17.4129
2016-02-04,17.309999,17.620001,17.129999,17.549999,3567100,17.402984
2016-02-03,17.24,17.370001,16.940001,17.280001,4721700,17.135247
2016-02-02,17.389999,17.49,16.99,17.08,5565700,16.936922
2016-02-01,17.66,17.73,17.52,17.639999,5949200,17.49223
2016-01-29,17.190001,17.889999,17.17,17.84,7118200,17.690555
2016-01-28,17.02,17.190001,16.77,17.120001,4701300,16.976587
2016-01-27,17.17,17.440001,16.790001,16.85,5151400,16.708849
2016-01-26,16.99,17.360001,16.940001,17.299999,2909400,17.155078
2016-01-25,17.35,17.40,16.889999,16.940001,5482600,16.798095
2016-01-22,17.26,17.42,17.110001,17.41,6242100,17.264157
2016-01-21,16.540001,17.139999,16.42,16.91,6919900,16.768346
2016-01-20,16.16,16.66,16.02,16.50,6444800,16.36178
2016-01-19,16.889999,16.90,16.26,16.440001,5758500,16.302283
2016-01-15,16.66,16.83,16.35,16.639999,5332800,16.500607
2016-01-14,16.700001,17.209999,16.52,17.129999,5083700,16.986502
2016-01-13,17.09,17.10,16.51,16.59,4489800,16.451026
2016-01-12,17.07,17.219999,16.690001,17.030001,3809300,16.887341
2016-01-11,17.01,17.07,16.66,16.870001,3320600,16.728682
2016-01-08,17.09,17.280001,16.85,16.91,4534800,16.768346
2016-01-07,16.809999,17.17,16.809999,17.049999,5841000,16.907172
2016-01-06,17.32,17.360001,17.10,17.15,4842100,17.006335
2016-01-05,17.66,17.77,17.440001,17.549999,3689300,17.402984
2016-01-04,17.559999,17.639999,17.379999,17.620001,5887800,17.472399
2015-12-31,18.10,18.190001,17.91,17.91,2210000,17.759969
2015-12-30,18.41,18.469999,18.23,18.24,2416300,18.087204
2015-12-29,18.32,18.530001,18.32,18.43,2079200,18.275613
2015-12-28,18.440001,18.50,18.209999,18.24,2183600,18.087204
2015-12-24,18.49,18.66,18.450001,18.50,1418100,18.345026
2015-12-23,18.370001,18.530001,18.35,18.51,2534200,18.354943
2015-12-22,18.07,18.299999,18.02,18.26,2684000,18.107037
2015-12-21,17.92,18.120001,17.860001,18.01,2866700,17.859131
2015-12-18,18.059999,18.09,17.75,17.799999,6063400,17.650889
2015-12-17,18.57,18.639999,18.129999,18.129999,3442800,17.978125
2015-12-16,18.27,18.559999,18.190001,18.52,3760800,18.364859
