Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,31.110001,31.450001,30.950001,31.190001,5358900,31.190001
2016-04-01,30.82,31.290001,30.709999,31.15,6146800,31.15
2016-03-31,31.00,31.33,30.82,30.98,6785300,30.98
2016-03-30,31.200001,31.379999,30.93,31.049999,4651900,31.049999
2016-03-29,30.57,31.16,30.360001,31.030001,5086300,31.030001
2016-03-28,30.42,30.809999,30.25,30.620001,4895900,30.620001
2016-03-24,30.139999,30.389999,29.83,30.34,4454500,30.34
2016-03-23,30.50,30.719999,30.24,30.24,4334200,30.24
2016-03-22,30.02,30.82,30.02,30.59,4995900,30.59
2016-03-21,30.07,30.549999,30.01,30.27,5282700,30.27
2016-03-18,30.139999,30.33,29.860001,30.09,8003200,30.09
2016-03-17,29.49,30.49,29.43,30.08,9898800,30.08
2016-03-16,29.17,29.620001,29.049999,29.450001,6313700,29.450001
2016-03-15,28.84,29.379999,28.68,29.33,7125500,29.33
2016-03-14,28.530001,29.23,28.530001,29.08,6936500,29.08
2016-03-11,28.32,28.799999,28.299999,28.719999,6836300,28.719999
2016-03-10,27.65,28.10,27.549999,28.059999,6374900,28.059999
2016-03-09,27.719999,27.82,27.469999,27.57,4900300,27.57
2016-03-08,27.51,27.83,27.469999,27.49,7057400,27.49
2016-03-07,27.33,27.719999,27.27,27.629999,7171700,27.629999
2016-03-04,26.92,27.91,26.860001,27.440001,7072100,27.440001
2016-03-03,27.309999,27.389999,27.02,27.26,6718300,26.95
2016-03-02,26.540001,27.09,26.50,27.07,6339500,26.76216
2016-03-01,26.129999,26.75,26.09,26.65,7432200,26.346937
2016-02-29,25.58,26.43,25.50,25.98,12182400,25.684556
2016-02-26,25.469999,26.00,25.25,25.59,8375800,25.298991
2016-02-25,25.129999,25.440001,24.700001,25.360001,7486600,25.071607
2016-02-24,24.00,25.370001,24.00,25.00,13042500,24.715701
2016-02-23,23.57,24.59,23.290001,24.25,11825100,23.97423
2016-02-22,23.190001,23.67,23.110001,23.58,14405600,23.311849
2016-02-19,23.74,23.74,22.66,22.870001,23395800,22.609924
2016-02-18,24.18,24.26,23.530001,23.84,7295700,23.568892
2016-02-17,23.85,24.440001,23.74,24.18,8967900,23.905026
2016-02-16,22.969999,24.00,22.860001,23.77,7093100,23.499689
2016-02-12,22.50,22.75,22.35,22.60,6614300,22.342994
2016-02-11,22.35,22.530001,22.059999,22.219999,8462800,21.967314
2016-02-10,23.290001,23.49,22.620001,22.68,4817300,22.422084
2016-02-09,23.17,23.52,22.67,23.08,6016500,22.817535
2016-02-08,23.860001,23.879999,22.93,23.40,7657500,23.133896
2016-02-05,25.60,25.639999,23.90,23.99,8204100,23.717186
2016-02-04,25.389999,26.040001,25.379999,25.74,6348900,25.447285
2016-02-03,25.48,25.67,24.76,25.459999,4905300,25.170469
2016-02-02,25.92,25.92,25.309999,25.33,4895600,25.041948
2016-02-01,25.440001,26.219999,25.15,26.09,7992600,25.793305
2016-01-29,24.67,25.620001,24.620001,25.610001,10958800,25.318764
2016-01-28,24.73,24.91,24.26,24.42,7185900,24.142297
2016-01-27,24.719999,24.91,24.34,24.52,6402500,24.24116
2016-01-26,24.67,24.969999,24.50,24.75,4763200,24.468544
2016-01-25,25.299999,25.379999,24.450001,24.51,3745800,24.231273
2016-01-22,25.360001,25.629999,24.99,25.42,4667100,25.130925
2016-01-21,24.700001,25.459999,24.51,25.00,5425600,24.715701
2016-01-20,25.23,25.299999,23.73,24.60,10461800,24.32025
2016-01-19,26.23,26.25,25.280001,25.469999,6689400,25.180355
2016-01-15,25.92,26.17,25.530001,25.82,5296800,25.526375
2016-01-14,26.889999,26.959999,26.370001,26.41,5583800,26.109666
2016-01-13,27.120001,27.66,26.709999,26.75,5326900,26.4458
2016-01-12,27.93,27.940001,26.700001,27.02,8042200,26.71273
2016-01-11,27.98,28.139999,27.51,27.610001,5552500,27.296021
2016-01-08,28.23,28.40,27.84,27.90,5022600,27.582722
2016-01-07,28.92,28.950001,28.10,28.16,4917400,27.839765
2016-01-06,29.629999,29.639999,29.120001,29.24,4843200,28.907483
2016-01-05,29.940001,30.030001,29.629999,29.90,2722800,29.559978
2016-01-04,29.51,29.860001,29.440001,29.83,3556800,29.490774
2015-12-31,30.33,30.34,29.84,29.98,2302900,29.639068
2015-12-30,30.60,30.719999,30.32,30.34,1998300,29.994975
2015-12-29,30.83,30.93,30.48,30.610001,2261400,30.261905
2015-12-28,30.639999,30.68,30.34,30.57,2360400,30.222359
2015-12-24,30.58,30.870001,30.48,30.719999,1470100,30.370652
2015-12-23,30.27,30.68,30.190001,30.620001,3872300,30.271791
2015-12-22,29.870001,30.32,29.65,30.15,2981300,29.807135
2015-12-21,29.68,29.809999,29.27,29.690001,3958300,29.352367
2015-12-18,30.379999,30.389999,29.51,29.51,7028600,29.174413
2015-12-17,30.860001,31.01,30.389999,30.639999,3945700,30.291562
2015-12-16,30.24,30.940001,30.07,30.870001,3822800,30.518948
2015-12-15,30.219999,30.309999,29.92,30.10,4199600,29.757704
2015-12-14,30.40,30.610001,29.85,30.01,4741500,29.668727
2015-12-11,30.639999,30.92,30.33,30.48,3145900,30.133382
2015-12-10,31.209999,31.280001,30.82,30.93,3188200,30.578265
2015-12-09,31.450001,31.790001,31.10,31.190001,3791500,30.835309
2015-12-08,31.58,31.77,31.43,31.549999,2168000,31.191214
2015-12-07,31.950001,31.98,31.57,31.77,3182300,31.408713
2015-12-04,31.59,32.150002,31.459999,32.049999,4881400,31.685528
2015-12-03,31.75,31.82,31.209999,31.459999,3700200,31.102237
2015-12-02,32.099998,32.189999,31.700001,31.76,2887300,31.398826
2015-12-01,32.369999,32.720001,32.00,32.139999,7141000,31.774504
2015-11-30,32.330002,32.50,32.09,32.169998,5049800,31.804162
2015-11-27,32.279999,32.549999,32.240002,32.369999,1858500,32.001888
2015-11-25,32.150002,32.330002,32.049999,32.279999,3254400,31.912912
2015-11-24,31.780001,32.189999,31.58,32.169998,3384800,31.804162
2015-11-23,32.150002,32.299999,31.82,31.959999,3426900,31.596551
2015-11-20,32.220001,32.290001,31.98,32.189999,4954400,31.823935
2015-11-19,32.00,32.099998,31.719999,31.93,5244700,31.566893
2015-11-18,30.85,31.940001,30.26,31.93,8781600,31.566893
2015-11-17,30.139999,31.120001,30.00,30.75,8472200,30.400312
2015-11-16,29.25,30.24,29.24,30.139999,7608600,29.797248
2015-11-13,29.60,29.700001,29.120001,29.25,5870100,28.91737
2015-11-12,29.719999,29.75,29.389999,29.389999,5182900,29.055777
2015-11-11,29.25,29.950001,29.10,29.809999,8244700,29.471001
2015-11-10,29.440001,29.549999,29.190001,29.24,7685600,28.907483
2015-11-09,28.76,29.870001,28.719999,29.50,17175600,29.164527
2015-11-06,30.73,30.91,30.33,30.40,4238500,30.054292
2015-11-05,30.92,31.24,30.76,31.08,3259600,30.726559
2015-11-04,31.129999,31.17,30.799999,30.92,4064100,30.568379
2015-11-03,30.610001,31.49,30.50,31.059999,6502100,30.706786
2015-11-02,29.790001,30.77,29.440001,30.75,6585500,30.400312
2015-10-30,29.17,29.66,29.07,29.33,3846300,28.99646
2015-10-29,29.110001,29.32,28.83,29.17,4078300,28.83828
2015-10-28,28.77,29.32,28.74,29.280001,4450000,28.947029
2015-10-27,29.120001,29.26,28.799999,29.030001,3459500,28.393398
2015-10-26,30.059999,30.08,29.18,29.280001,3290800,28.637915
2015-10-23,30.09,30.309999,29.77,30.030001,3597300,29.371468
2015-10-22,29.440001,30.07,29.33,30.01,3499800,29.351907
2015-10-21,29.200001,29.32,28.98,29.219999,2304000,28.57923
2015-10-20,29.200001,29.34,28.99,29.139999,2336100,28.500984
2015-10-19,29.34,29.49,29.09,29.25,2233400,28.608573
2015-10-16,29.08,29.469999,29.040001,29.42,4725200,28.774845
2015-10-15,28.879999,29.00,28.530001,28.940001,3144100,28.305371
2015-10-14,28.879999,29.129999,28.73,28.77,2251300,28.139099
2015-10-13,28.549999,29.120001,28.540001,28.879999,3022500,28.246685
2015-10-12,28.77,29.040001,28.620001,28.75,2786400,28.119537
2015-10-09,28.74,28.879999,28.450001,28.85,3782900,28.217345
2015-10-08,28.129999,28.60,28.08,28.549999,2719800,27.923922
2015-10-07,27.92,28.24,27.92,28.15,3132300,27.532694
2015-10-06,27.959999,28.01,27.77,27.83,2650400,27.219712
2015-10-05,27.530001,27.98,27.50,27.969999,3286600,27.356641
2015-10-02,26.84,27.459999,26.73,27.450001,2846400,26.848046
2015-10-01,27.620001,27.620001,26.75,27.00,3270800,26.407913
2015-09-30,27.290001,27.41,27.110001,27.34,2837500,26.740457
2015-09-29,26.85,27.219999,26.82,27.059999,3053000,26.466597
2015-09-28,27.110001,27.190001,26.76,26.870001,3079600,26.280765
2015-09-25,27.389999,27.50,27.059999,27.200001,3157400,26.603528
2015-09-24,27.42,27.450001,27.040001,27.25,2832300,26.652431
2015-09-23,27.700001,27.74,27.309999,27.59,2631400,26.984975
