Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,42.009998,42.040001,41.419998,41.860001,2278300,41.860001
2016-04-01,41.689999,42.02,41.540001,41.939999,2826900,41.939999
2016-03-31,41.610001,41.849998,41.490002,41.82,3192800,41.82
2016-03-30,41.630001,41.700001,41.32,41.560001,2063300,41.560001
2016-03-29,41.25,41.689999,41.110001,41.66,2798000,41.66
2016-03-28,41.34,41.599998,41.049999,41.16,1506800,41.16
2016-03-24,41.119999,41.389999,40.939999,41.23,2178100,41.23
2016-03-23,40.790001,41.290001,40.580002,41.119999,2546700,41.119999
2016-03-22,41.049999,41.200001,40.759998,40.77,2403900,40.77
2016-03-21,40.990002,41.27,40.59,41.049999,2199200,41.049999
2016-03-18,41.52,41.610001,41.060001,41.060001,4792600,41.060001
2016-03-17,41.00,41.59,40.720001,41.50,3086500,41.50
2016-03-16,40.380001,41.040001,40.09,40.919998,2343200,40.919998
2016-03-15,40.290001,40.790001,40.290001,40.50,2464900,40.50
2016-03-14,40.369999,40.57,40.16,40.419998,3367900,40.419998
2016-03-11,40.50,40.759998,40.290001,40.380001,3199700,40.380001
2016-03-10,40.68,40.869999,40.330002,40.740002,3408200,40.400002
2016-03-09,40.639999,40.939999,40.52,40.720001,3557800,40.380168
2016-03-08,40.200001,40.68,39.93,40.66,4230900,40.320668
2016-03-07,39.889999,40.209999,39.75,40.060001,4124200,39.725676
2016-03-04,39.349998,40.080002,39.080002,39.939999,5117600,39.606675
2016-03-03,39.529999,39.630001,39.040001,39.599998,3127800,39.269513
2016-03-02,39.240002,39.630001,38.259998,39.59,5011000,39.259598
2016-03-01,39.669998,39.900002,39.040001,39.459999,4788700,39.130682
2016-02-29,39.209999,39.919998,39.209999,39.540001,5545000,39.210016
2016-02-26,39.970001,40.099998,39.139999,39.27,5065200,38.942269
2016-02-25,39.950001,40.419998,39.810001,40.200001,2922500,39.864507
2016-02-24,39.860001,40.299999,39.580002,39.91,2831300,39.576927
2016-02-23,39.540001,39.900002,39.360001,39.830002,2925500,39.497596
2016-02-22,39.48,39.759998,39.27,39.669998,2395800,39.338928
2016-02-19,39.720001,39.720001,39.220001,39.330002,4361600,39.001769
