Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,37.200001,37.220001,36.73,36.790001,1217100,36.790001
2016-04-01,36.779999,37.23,36.59,37.16,1803200,37.16
2016-03-31,36.790001,36.869999,36.52,36.799999,2543300,36.799999
2016-03-30,37.00,37.220001,36.740002,36.889999,1606100,36.889999
2016-03-29,36.869999,36.990002,36.560001,36.869999,1414300,36.869999
2016-03-28,36.650002,36.939999,36.59,36.900002,1018000,36.900002
2016-03-24,36.700001,36.810001,36.419998,36.610001,1923300,36.610001
2016-03-23,36.93,37.130001,36.759998,37.049999,1677600,37.049999
2016-03-22,36.799999,37.139999,36.669998,36.91,1357000,36.91
2016-03-21,36.77,37.040001,36.709999,36.830002,1423800,36.830002
2016-03-18,36.080002,36.799999,36.009998,36.77,2985200,36.77
2016-03-17,35.77,36.400002,35.669998,36.299999,2713000,36.299999
2016-03-16,35.75,35.939999,35.630001,35.720001,1357100,35.720001
2016-03-15,35.299999,35.93,35.25,35.889999,1494800,35.889999
2016-03-14,35.630001,35.650002,35.310001,35.560001,1516900,35.560001
2016-03-11,35.310001,35.810001,35.209999,35.799999,1717700,35.799999
2016-03-10,35.240002,35.48,34.599998,35.130001,1732000,34.930001
2016-03-09,35.400002,35.490002,35.09,35.23,1637700,35.02943
2016-03-08,35.110001,35.709999,35.029999,35.259998,2150800,35.059258
2016-03-07,35.139999,35.59,35.049999,35.380001,2406200,35.178578
2016-03-04,35.650002,35.650002,35.00,35.32,3389000,35.118918
2016-03-03,35.810001,35.98,35.630001,35.849998,2195400,35.645899
2016-03-02,35.490002,36.060001,35.349998,35.919998,2604000,35.715501
2016-03-01,34.610001,35.560001,34.580002,35.560001,2674500,35.357553
2016-02-29,34.549999,34.709999,34.240002,34.380001,2123600,34.184271
2016-02-26,34.799999,34.950001,34.419998,34.639999,2313900,34.442789
2016-02-25,34.509998,34.68,34.32,34.650002,1593800,34.452734
2016-02-24,34.099998,34.419998,33.98,34.369999,2124800,34.174326
2016-02-23,34.209999,34.439999,33.93,34.310001,1743500,34.11467
2016-02-22,34.50,34.709999,34.07,34.279999,1874700,34.084838
2016-02-19,34.049999,34.360001,33.91,34.279999,2258900,34.084838
2016-02-18,34.27,34.360001,33.950001,34.080002,2730600,33.88598
2016-02-17,34.790001,34.939999,34.110001,34.220001,3977300,34.025182
2016-02-16,35.09,35.09,34.529999,34.650002,2112400,34.452734
2016-02-12,33.700001,34.630001,33.59,34.580002,2085400,34.383133
2016-02-11,33.080002,33.490002,33.060001,33.200001,2696300,33.010989
2016-02-10,34.400002,34.650002,33.720001,33.73,2981000,33.53797
2016-02-09,34.540001,35.169998,34.509998,34.759998,2015400,34.562105
2016-02-08,34.43,34.830002,34.259998,34.720001,2475200,34.522335
2016-02-05,34.470001,35.09,34.470001,34.84,2129600,34.641651
2016-02-04,33.970001,35.07,33.950001,34.630001,3641700,34.432848
2016-02-03,35.950001,36.009998,35.02,35.619999,2429200,35.417209
2016-02-02,36.00,36.060001,35.580002,35.700001,2438100,35.496756
2016-02-01,36.02,36.529999,35.880001,36.349998,1800800,36.143053
2016-01-29,35.439999,36.290001,35.32,36.259998,2518700,36.053565
2016-01-28,34.860001,35.34,34.639999,35.189999,1952500,34.989657
2016-01-27,34.740002,35.310001,34.439999,34.619999,1902100,34.422903
2016-01-26,34.740002,35.130001,34.709999,34.919998,2261800,34.721194
2016-01-25,35.209999,35.27,34.709999,34.740002,2581200,34.542222
2016-01-22,35.48,35.549999,35.080002,35.310001,2366300,35.108977
2016-01-21,34.880001,35.439999,34.77,34.990002,2990200,34.790799
2016-01-20,34.900002,35.150002,34.119999,34.880001,2199300,34.681424
